code,ticker,prefixed,name,date,type,zone,status,dif,dea,hist,close,chg%,days_ago
SMCIUS,SMCI,usSMCI.OQ,超微电脑,2026-09-08,金叉,0轴上,0轴上金叉,1.819,1.795,0.047,40.26,1.69,0
NBISUS,NBIS,usNBIS.OQ,Nebius Group ...,2026-09-08,金叉,0轴上,0轴上金叉,1.4,0.565,1.669,243.88,7.73,0
AESUS,AES,usAES.N,爱依斯电力,2026-09-08,金叉,0轴上,0轴上金叉,0.035,0.033,0.004,14.83,0.27,0
LITEUS,LITE,usLITE.OQ,Lumentum Hold...,2026-09-08,金叉,0轴上,0轴上金叉,22.667,22.023,1.289,978.54,11.04,0
BRK_BUS,BRK_B,usBRK_B.N,伯克希尔哈撒...,2026-09-08,金叉,0轴上,0轴上金叉,0.34,0.313,0.053,505.83,-0.04,0
CRWVUS,CRWV,usCRWV.OQ,CoreWeave Inc...,2026-09-08,金叉,0轴上,0轴上金叉,0.19,-0.139,0.659,99.83,11.72,0
PSIXUS,PSIX,usPSIX.OQ,国际电力解决...,2026-09-04,金叉,0轴上,0轴上金叉,0.529,0.516,0.025,40.49,11.18,1
TSMUS,TSM,usTSM.N,台积电,2026-09-04,金叉,0轴上,0轴上金叉,0.557,-0.056,1.226,428.91,2.85,1
ORCLUS,ORCL,usORCL.N,甲骨文,2026-09-03,金叉,0轴上,0轴上金叉,1.713,1.327,0.773,154.04,5.69,2
APHUS,APH,usAPH.N,安费诺,2026-09-03,金叉,0轴上,0轴上金叉,0.066,0.055,0.021,82.07,2.54,2
DELLUS,DELL,usDELL.N,戴尔科技,2026-09-03,金叉,0轴上,0轴上金叉,12.023,9.349,5.349,516.39,4.91,2
CBRSUS,CBRS,usCBRS.OQ,Cerebras Syst...,2026-09-08,金叉,0轴下,0轴下金叉,-5.444,-5.825,0.762,199.77,-4.89,0
MKSIUS,MKSI,usMKSI.OQ,MKS Inc,2026-09-08,金叉,0轴下,0轴下金叉,-15.917,-16.301,0.768,265.5,1.99,0
VNETUS,VNET,usVNET.OQ,世纪互联,2026-09-08,金叉,0轴下,0轴下金叉,-0.297,-0.313,0.034,6.75,5.97,0
INIOUS,INIO,usINIO.OQ,INNIO NV,2026-09-08,金叉,0轴下,0轴下金叉,-1.942,-1.952,0.019,21.82,5.06,0
ENPHUS,ENPH,usENPH.OQ,Enphase Energ...,2026-09-08,金叉,0轴下,0轴下金叉,-1.101,-1.229,0.256,38.83,6.76,0
POETUS,POET,usPOET.OQ,POET Technolo...,2026-09-08,金叉,0轴下,0轴下金叉,-0.235,-0.253,0.037,8.31,4.92,0
PLUGUS,PLUG,usPLUG.OQ,普拉格能源,2026-09-08,金叉,0轴下,0轴下金叉,-0.026,-0.034,0.015,2.26,4.15,0
KEYSUS,KEYS,usKEYS.N,是德科技,2026-09-08,金叉,0轴下,0轴下金叉,-1.496,-1.907,0.822,333.42,1.9,0
OKLOUS,OKLO,usOKLO.N,Oklo Inc-A,2026-09-08,金叉,0轴下,0轴下金叉,-1.048,-1.265,0.434,43.31,4.94,0
RMBSUS,RMBS,usRMBS.OQ,Rambus Inc,2026-09-08,金叉,0轴下,0轴下金叉,-4.253,-4.373,0.24,86.89,1.67,0
VICRUS,VICR,usVICR.OQ,Vicor Corp,2026-09-08,金叉,0轴下,0轴下金叉,-12.839,-12.965,0.251,193.32,2.53,0
LRCXUS,LRCX,usLRCX.OQ,拉姆研究,2026-09-08,金叉,0轴下,0轴下金叉,-4.063,-4.373,0.621,320.42,4.15,0
APLDUS,APLD,usAPLD.OQ,Applied Digit...,2026-09-08,金叉,0轴下,0轴下金叉,-1.089,-1.221,0.264,28.31,7.36,0
ORAUS,ORA,usORA.N,奥玛特科技,2026-09-08,金叉,0轴下,0轴下金叉,-0.766,-0.856,0.179,107.97,2.39,0
FRMIUS,FRMI,usFRMI.OQ,Fermi Inc,2026-09-08,金叉,0轴下,0轴下金叉,-0.379,-0.382,0.004,5.71,11.52,0
TXNUS,TXN,usTXN.OQ,德州仪器,2026-09-08,金叉,0轴下,0轴下金叉,-6.728,-6.75,0.045,258.92,0.19,0
STXUS,STX,usSTX.OQ,希捷科技,2026-09-08,金叉,0轴下,0轴下金叉,-4.591,-7.496,5.81,904.38,6.49,0
RLXUS,RLX,usRLX.N,雾芯科技,2026-09-08,金叉,0轴下,0轴下金叉,-0.043,-0.043,0.0,1.79,-0.56,0
UVIXUS,UVIX,usUVIX.AM,二倍做多恐慌...,2026-09-08,金叉,0轴下,0轴下金叉,-4.08,-4.127,0.094,39.19,3.62,0
ASTSUS,ASTS,usASTS.OQ,AST SpaceMobi...,2026-09-08,金叉,0轴下,0轴下金叉,-1.565,-1.848,0.567,66.12,6.11,0
VSATUS,VSAT,usVSAT.OQ,卫讯公司,2026-09-08,金叉,0轴下,0轴下金叉,-1.174,-1.343,0.338,77.75,3.23,0
TQQQUS,TQQQ,usTQQQ.OQ,三倍做多纳斯...,2026-09-08,金叉,0轴下,0轴下金叉,-0.053,-0.08,0.055,72.16,-0.29,0
VIXYUS,VIXY,usVIXY.AM,恐慌指数期货...,2026-09-08,金叉,0轴下,0轴下金叉,-0.82,-0.831,0.021,17.3,1.76,0
ARMUS,ARM,usARM.OQ,Arm Holdings ...,2026-09-04,金叉,0轴下,0轴下金叉,-9.264,-10.245,1.962,252.09,3.92,1
GLWUS,GLW,usGLW.N,康宁,2026-09-04,金叉,0轴下,0轴下金叉,-3.751,-4.177,0.853,154.3,5.68,1
AMKRUS,AMKR,usAMKR.OQ,艾马克技术,2026-09-04,金叉,0轴下,0轴下金叉,-3.279,-3.4,0.242,47.77,1.77,1
CATUS,CAT,usCAT.N,卡特彼勒,2026-09-04,金叉,0轴下,0轴下金叉,-19.167,-19.923,1.511,813.94,1.72,1
TELUS,TEL,usTEL.N,泰科电子,2026-09-04,金叉,0轴下,0轴下金叉,-0.313,-0.486,0.345,208.65,-0.36,1
XNETUS,XNET,usXNET.OQ,迅雷,2026-09-04,金叉,0轴下,0轴下金叉,-0.124,-0.124,0.001,4.88,-0.41,1
AMDUS,AMD,usAMD.OQ,超威半导体,2026-09-04,金叉,0轴下,0轴下金叉,-8.444,-8.693,0.498,477.57,4.69,1
BXDCUS,BXDC,usBXDC.N,Blackstone Di...,2026-09-03,金叉,0轴下,0轴下金叉,-0.054,-0.064,0.02,20.55,1.58,2
INTCUS,INTC,usINTC.OQ,英特尔,2026-09-03,金叉,0轴下,0轴下金叉,-3.092,-3.317,0.451,91.67,1.8,2
VRTUS,VRT,usVRT.N,Vertiv Holdin...,2026-09-03,金叉,0轴下,0轴下金叉,-6.379,-7.009,1.26,268.83,4.73,2
WMTUS,WMT,usWMT.OQ,沃尔玛,2026-09-03,金叉,0轴下,0轴下金叉,-1.908,-1.929,0.043,108.42,2.2,2
LOGIUS,LOGI,usLOGI.OQ,罗技,2026-09-03,金叉,0轴下,0轴下金叉,-1.076,-1.296,0.44,101.71,2.59,2
BEKEUS,BEKE,usBEKE.N,贝壳,2026-09-08,死叉,0轴上,0轴上死叉,0.254,0.301,-0.093,17.27,-3.63,0
MRNAUS,MRNA,usMRNA.OQ,Moderna Inc,2026-09-08,死叉,0轴上,0轴上死叉,20.569,20.983,-0.83,140.33,-3.59,0
TALUS,TAL,usTAL.N,好未来,2026-09-08,死叉,0轴上,0轴上死叉,0.21,0.229,-0.038,11.82,-4.68,0
SLIUS,SLI,usSLI.AM,Standard Lith...,2026-09-08,死叉,0轴上,0轴上死叉,0.016,0.018,-0.005,2.4,-0.83,0
TFXUS,TFX,usTFX.N,泰利福,2026-09-08,死叉,0轴上,0轴上死叉,1.3,1.477,-0.354,137.0,-0.98,0
SGMLUS,SGML,usSGML.OQ,Sigma Lithium...,2026-09-08,死叉,0轴上,0轴上死叉,0.187,0.251,-0.129,10.43,-15.82,0
JNJUS,JNJ,usJNJ.N,强生,2026-09-08,死叉,0轴上,0轴上死叉,4.17,4.195,-0.051,269.12,-2.22,0
CRWDUS,CRWD,usCRWD.OQ,CrowdStrike H...,2026-09-08,死叉,0轴上,0轴上死叉,3.553,3.662,-0.217,210.02,-1.45,0
SNAPUS,SNAP,usSNAP.N,Snap Inc-A,2026-09-04,死叉,0轴上,0轴上死叉,0.139,0.141,-0.004,5.47,-4.04,1
ZTSUS,ZTS,usZTS.N,硕腾,2026-09-04,死叉,0轴上,0轴上死叉,0.248,0.249,-0.002,75.81,-0.63,1
TEAMUS,TEAM,usTEAM.OQ,Atlassian Cor...,2026-09-04,死叉,0轴上,0轴上死叉,19.051,19.483,-0.864,189.58,-2.62,1
SNPSUS,SNPS,usSNPS.OQ,新思科技,2026-09-04,死叉,0轴上,0轴上死叉,1.42,2.096,-1.352,393.84,-5.4,1
MRKUS,MRK,usMRK.N,默沙东,2026-09-04,死叉,0轴上,0轴上死叉,5.499,5.708,-0.418,150.33,-1.32,1
SQMUS,SQM,usSQM.N,智利矿业化工,2026-09-04,死叉,0轴上,0轴上死叉,1.879,1.979,-0.201,75.0,-4.28,1
PFEUS,PFE,usPFE.N,辉瑞,2026-09-04,死叉,0轴上,0轴上死叉,0.807,0.818,-0.022,28.45,-1.25,1
FNGUUS,FNGU,usFNGU.AM,三倍做多FANG+...,2026-09-04,死叉,0轴上,0轴上死叉,0.955,0.97,-0.03,33.02,-3.11,1
NFLXUS,NFLX,usNFLX.OQ,奈飞,2026-09-04,死叉,0轴上,0轴上死叉,1.673,1.753,-0.16,78.25,-5.35,1
ALBUS,ALB,usALB.N,美国雅保,2026-09-03,死叉,0轴上,0轴上死叉,1.848,1.901,-0.107,132.16,-4.06,2
ADBEUS,ADBE,usADBE.OQ,奥多比,2026-09-03,死叉,0轴上,0轴上死叉,10.751,10.88,-0.258,285.75,2.13,2
CARUS,CAR,usCAR.OQ,安飞士,2026-09-08,死叉,0轴下,0轴下死叉,-3.1,-3.033,-0.134,133.84,-3.52,0
UPSUS,UPS,usUPS.N,联合包裹服务,2026-09-08,死叉,0轴下,0轴下死叉,-0.861,-0.763,-0.194,100.48,-1.77,0
NVOUS,NVO,usNVO.N,诺和诺德,2026-09-08,死叉,0轴下,0轴下死叉,-0.223,-0.22,-0.007,45.16,-3.09,0
LULUUS,LULU,usLULU.OQ,lululemon ath...,2026-09-04,死叉,0轴下,0轴下死叉,-1.474,-0.305,-2.337,100.61,-17.38,1
BERZUS,BERZ,usBERZ.AM,MicroSectors ...,2026-09-04,死叉,0轴下,0轴下死叉,-1.036,-1.009,-0.053,19.17,-2.14,1
CDNSUS,CDNS,usCDNS.OQ,铿腾电子,2026-09-03,死叉,0轴下,0轴下死叉,-6.593,-5.874,-1.439,304.88,-0.58,2
LACUS,LAC,usLAC.N,Lithium Ameri...,2026-09-03,死叉,0轴下,0轴下死叉,-0.06,-0.056,-0.007,2.97,-1.33,2
