industry,得分,股票数,平均分,代表股
一般零售,192,30,6.4,"国芳集团(8/8,+82%)、百大集团(8/8,+54%)、新华百货(8/8,+36%)、宁波中百(8/8,+28%)、大连友谊(8/8,+17%)、杭州解百(8/8,+12%)、南宁百货(8/8,+10%)、富森美(8/8,+4%)、大商股份(8/8,+3%)、茂业商业(7/8,+27%)"
银行Ⅱ,160,26,6.15,"齐鲁银行(8/8,+14%)、长沙银行(8/8,+9%)、苏州银行(8/8,+9%)、青岛银行(8/8,+8%)、杭州银行(8/8,+7%)、交通银行(8/8,+5%)、渝农商行(8/8,+4%)、中信银行(7/8,+18%)、北京银行(7/8,+11%)、成都银行(7/8,+9%)"
农化制品,184,31,5.94,"红四方(8/8,+39%)、四川美丰(8/8,+31%)、天禾股份(8/8,+26%)、农心科技(8/8,+16%)、安道麦A(8/8,+12%)、润丰股份(8/8,+12%)、新农股份(7/8,+24%)、诺 普 信(7/8,+18%)、先达股份(7/8,+16%)、富邦科技(7/8,+14%)"
化学原料,134,24,5.58,"金牛化工(8/8,+63%)、江苏索普(8/8,+10%)、鲁北化工(8/8,+7%)、宝丰能源(8/8,+4%)、金瑞矿业(7/8,+50%)、江天化学(7/8,+43%)、华昌化工(7/8,+21%)、英 力 特(7/8,+19%)、新疆天业(7/8,+9%)、卫星化学(7/8,+7%)"
化学制品,276,50,5.52,"集泰股份(8/8,+69%)、华宝股份(8/8,+44%)、赞宇科技(8/8,+27%)、金丹科技(8/8,+17%)、先锋新材(8/8,+16%)、吉华集团(8/8,+14%)、三元生物(8/8,+13%)、金禾实业(8/8,+10%)、恒兴新材(8/8,+8%)、北化股份(8/8,+1%)"
软件开发,154,29,5.31,"龙软科技(8/8,+16%)、佳发教育(8/8,+16%)、财富趋势(8/8,+5%)、理工能科(7/8,+19%)、和仁科技(7/8,+15%)、英方软件(7/8,+15%)、ST创意(7/8,+10%)、宝兰德(7/8,+8%)、友车科技(7/8,+8%)、长亮科技(7/8,+7%)"
航空装备Ⅱ,138,26,5.31,"航发科技(8/8,+35%)、威海广泰(8/8,+5%)、航亚科技(7/8,+16%)、洪都航空(7/8,+15%)、航发动力(7/8,+14%)、中航西飞(7/8,+12%)、安达维尔(7/8,+9%)、中航沈飞(7/8,+8%)、航发控制(7/8,+8%)、中航成飞(7/8,+7%)"
服装家纺,138,26,5.31,"九牧王(8/8,+27%)、地素时尚(8/8,+15%)、比音勒芬(8/8,+1%)、中胤时尚(7/8,+25%)、众望布艺(7/8,+22%)、奥康国际(7/8,+21%)、开润股份(7/8,+13%)、洪兴股份(7/8,+10%)、欣贺股份(7/8,+8%)、盛泰集团(7/8,+7%)"
专用设备,294,56,5.25,"大宏立(8/8,+37%)、森赫股份(8/8,+37%)、润邦股份(8/8,+23%)、梅轮电梯(8/8,+20%)、一拖股份(8/8,+14%)、浩洋股份(8/8,+13%)、天鹅股份(8/8,+12%)、鸿铭股份(8/8,+10%)、斯莱克(7/8,+33%)、威马农机(7/8,+17%)"
汽车零部件,334,64,5.22,"光洋股份(8/8,+52%)、威迈斯(8/8,+21%)、宁波方正(8/8,+21%)、旷达科技(8/8,+13%)、科华控股(8/8,+10%)、合力科技(8/8,+10%)、飞龙股份(7/8,+48%)、福赛科技(7/8,+32%)、新朋股份(7/8,+29%)、艾可蓝(7/8,+27%)"
通用设备,310,60,5.17,"海鸥股份(8/8,+69%)、冠龙节能(8/8,+30%)、联讯仪器(8/8,+29%)、皖仪科技(8/8,+16%)、华之杰(8/8,+12%)、海天精工(8/8,+8%)、铂力特(8/8,+7%)、春晖智控(7/8,+38%)、磁谷科技(7/8,+22%)、雪人集团(7/8,+19%)"
环境治理,170,33,5.15,"南大环境(8/8,+57%)、绿色动力(8/8,+14%)、中山公用(8/8,+2%)、ST雪浪(7/8,+22%)、德创环保(7/8,+19%)、卓锦股份(7/8,+16%)、深水海纳(7/8,+15%)、顺控发展(7/8,+11%)、中晟高科(7/8,+6%)、金科环境(7/8,+5%)"
医疗器械,148,29,5.1,"采纳股份(8/8,+42%)、正川股份(8/8,+29%)、洁特生物(8/8,+20%)、透景生命(7/8,+36%)、南卫股份(7/8,+29%)、浩欧博(7/8,+28%)、乐心医疗(7/8,+15%)、迈瑞医疗(7/8,+12%)、海尔生物(7/8,+11%)、科华生物(7/8,+7%)"
家居用品,152,30,5.07,"帝欧水华(8/8,+23%)、永艺股份(8/8,+14%)、德力股份(8/8,+9%)、海鸥住工(7/8,+93%)、森鹰窗业(7/8,+32%)、德尔未来(7/8,+31%)、青岛金王(7/8,+24%)、瑞尔特(7/8,+20%)、建霖家居(7/8,+17%)、ST喜临门(7/8,+13%)"
IT服务Ⅱ,138,28,4.93,"*ST赛为(8/8,+17%)、亚康股份(8/8,+13%)、竞业达(7/8,+35%)、天利科技(7/8,+17%)、真视通(7/8,+15%)、托普云农(7/8,+14%)、数码视讯(7/8,+9%)、辰安科技(7/8,+9%)、海峡创新(7/8,+8%)、宇信科技(7/8,+8%)"
