行业,状态,前日排名,今日排名,排名变化,前日趋势分,今日趋势分,趋势分变化,前日动量分,今日动量分,动量分变化,前日总分,今日总分,总分变化
船舶与海洋装备,新进池,,1.0,,6.91,5.35,-1.5600000000000005,3.23,4.11,0.8800000000000003,10.14,9.46,-0.6799999999999997
电子元件,池内,7.0,2.0,5.0,4.05,3.37,-0.6799999999999997,5.11,5.66,0.5499999999999998,9.16,9.03,-0.13000000000000078
电力,新进池,,3.0,,4.07,3.17,-0.9000000000000004,3.17,5.6,2.4299999999999997,7.24,8.77,1.5299999999999994
合成纤维及树脂,新进池,,4.0,,4.59,4.37,-0.21999999999999975,1.81,3.77,1.96,6.4,8.14,1.7400000000000002
煤炭,池内,4.0,5.0,-1.0,4.28,3.74,-0.54,5.61,4.31,-1.3000000000000007,9.89,8.05,-1.8399999999999999
港口航运,池内,5.0,6.0,-1.0,5.29,4.52,-0.7700000000000005,4.27,2.89,-1.3799999999999994,9.56,7.41,-2.1500000000000004
燃气,新进池,,7.0,,4.6,4.6,0.0,2.1,2.77,0.6699999999999999,6.7,7.37,0.6699999999999999
计算机软件,新进池,,8.0,,3.6,2.91,-0.69,2.28,4.17,1.8900000000000001,5.88,7.08,1.2000000000000002
零售,池内,2.0,9.0,-7.0,6.07,4.34,-1.7300000000000004,4.87,2.35,-2.52,10.94,6.69,-4.249999999999999
半导体,新进池,,10.0,,3.52,2.99,-0.5299999999999998,3.18,3.69,0.5099999999999998,6.7,6.68,-0.020000000000000462
通信设备,池内,9.0,11.0,-2.0,3.55,2.91,-0.6399999999999997,4.33,3.29,-1.04,7.88,6.2,-1.6799999999999997
化学制品,池内,11.0,12.0,-1.0,3.67,2.75,-0.9199999999999999,4.0,3.36,-0.6400000000000001,7.67,6.11,-1.5599999999999996
通用设备,池内,10.0,13.0,-3.0,3.61,2.96,-0.6499999999999999,4.24,2.46,-1.7800000000000002,7.85,5.42,-2.4299999999999997
专用设备,池内,13.0,14.0,-1.0,3.48,2.93,-0.5499999999999998,3.5,2.46,-1.04,6.98,5.39,-1.5900000000000007
农业,退出池,1.0,,,5.87,4.01,-1.8600000000000003,7.85,1.85,-6.0,13.72,5.86,-7.86
化肥农药,退出池,3.0,,,5.41,3.27,-2.14,5.15,-0.23,-5.380000000000001,10.56,3.04,-7.5200000000000005
基本金属,退出池,6.0,,,4.36,3.33,-1.0300000000000002,4.81,2.6,-2.2099999999999995,9.17,5.93,-3.24
食品,退出池,8.0,,,4.44,3.27,-1.1700000000000004,4.28,1.58,-2.7,8.72,4.85,-3.870000000000001
畜牧业,退出池,12.0,,,5.38,3.32,-2.06,2.19,-0.16,-2.35,7.57,3.16,-4.41
汽车,退出池,14.0,,,3.46,2.82,-0.6400000000000001,2.71,1.68,-1.03,6.17,4.5,-1.67
