sector,code6,prefixed,m
专业服务,300901,sz300901,12.78
专业服务,301306,sz301306,7.44
专业服务,300649,sz300649,6.18
专业服务,300977,sz300977,5.48
专业服务,000779,sz000779,4.99
专业服务,603458,sh603458,4.39
专业服务,603466,sh603466,3.91
专业服务,300844,sz300844,3.81
专业服务,688053,sh688053,3.69
专业服务,002811,sz002811,3.37
专业服务,300983,sz300983,3.26
专业服务,301115,sz301115,3.24
专业服务,300746,sz300746,3.01
专业服务,300887,sz300887,3.0
专业服务,603300,sh603300,2.91
专业服务,300688,sz300688,2.58
专业服务,301091,sz301091,2.58
专业服务,300675,sz300675,2.55
专业服务,301136,sz301136,2.54
专业服务,300778,sz300778,2.34
专业服务,300635,sz300635,2.21
专业服务,300500,sz300500,2.09
专业服务,301024,sz301024,2.05
专业服务,301038,sz301038,1.95
专业服务,600654,sh600654,1.93
专业服务,600662,sh600662,1.93
专业服务,300826,sz300826,1.88
专业服务,603860,sh603860,1.8
专业服务,301505,sz301505,1.75
专业服务,301058,sz301058,1.7
专业服务,003035,sz003035,1.66
专业服务,688509,sh688509,1.61
专业服务,603060,sh603060,1.55
专业服务,300384,sz300384,1.39
专业服务,301390,sz301390,1.35
专业服务,301632,sz301632,1.19
专业服务,603357,sh603357,1.19
专业服务,002883,sz002883,1.06
专业服务,600826,sh600826,1.05
专业服务,300284,sz300284,1.01
专业服务,603153,sh603153,1.01
专业服务,300732,sz300732,0.99
专业服务,003008,sz003008,0.96
专业服务,300215,sz300215,0.91
专业服务,301508,sz301508,0.71
专业服务,002967,sz002967,0.69
专业服务,605155,sh605155,0.68
专业服务,300662,sz300662,0.67
专业服务,300712,sz300712,0.62
专业服务,300012,sz300012,0.61
专业服务,301027,sz301027,0.59
专业服务,603373,sh603373,0.59
专业服务,688334,sh688334,0.58
专业服务,300564,sz300564,0.57
专业服务,603018,sh603018,0.51
专业服务,300962,sz300962,0.29
专业服务,301228,sz301228,0.14
专业服务,300989,sz300989,0.13
专业服务,601965,sh601965,-0.0
专业服务,301169,sz301169,-0.1
专业服务,301289,sz301289,-0.21
专业服务,600861,sh600861,-0.29
专业服务,000504,sz000504,-0.37
专业服务,300416,sz300416,-0.46
专业服务,301167,sz301167,-0.71
专业服务,301449,sz301449,-1.07
专业服务,300815,sz300815,-1.18
专业服务,300797,sz300797,-1.21
专业服务,001396,sz001396,-1.34
专业服务,603257,sh603257,-1.44
专业服务,300668,sz300668,-1.47
专业服务,301297,sz301297,-1.88
专业服务,002949,sz002949,-2.21
专业服务,603959,sh603959,-2.81
专业服务,688133,sh688133,-4.8
专业服务,688757,sh688757,-5.42
专业服务,301257,sz301257,-6.59
专用设备,002418,sz002418,10.6
专用设备,301081,sz301081,8.05
专用设备,300195,sz300195,7.08
专用设备,002757,sz002757,7.0
专用设备,300103,sz300103,6.81
专用设备,002367,sz002367,6.35
专用设备,301633,sz301633,5.84
专用设备,603901,sh603901,5.55
专用设备,688433,sh688433,5.5
专用设备,300992,sz300992,5.0
专用设备,688309,sh688309,4.67
专用设备,300816,sz300816,4.64
专用设备,300912,sz300912,4.18
专用设备,600215,sh600215,4.0
专用设备,601038,sh601038,3.97
专用设备,000425,sz000425,3.89
专用设备,001277,sz001277,3.86
专用设备,600499,sh600499,3.71
专用设备,600815,sh600815,3.53
专用设备,600031,sh600031,3.5
专用设备,300159,sz300159,3.46
专用设备,688485,sh688485,3.31
专用设备,300899,sz300899,3.3
专用设备,300509,sz300509,3.01
专用设备,603012,sh603012,3.01
专用设备,002890,sz002890,2.98
专用设备,603638,sh603638,2.98
专用设备,688565,sh688565,2.92
专用设备,002651,sz002651,2.87
专用设备,603282,sh603282,2.82
专用设备,688501,sh688501,2.78
专用设备,688128,sh688128,2.76
专用设备,002031,sz002031,2.73
专用设备,600169,sh600169,2.5
