行业,状态,前日排名,今日排名,排名变化,前日趋势分,今日趋势分,趋势分变化,前日动量分,今日动量分,动量分变化,前日总分,今日总分,总分变化
农业,新进池,,1.0,,,5.64,5.64,,6.54,6.54,,6.09,6.09
煤炭,新进池,,2.0,,,4.69,4.69,,4.59,4.59,,4.64,4.64
港口航运,新进池,,3.0,,,5.42,5.42,,3.56,3.56,,4.49,4.49
零售,新进池,,4.0,,,4.89,4.89,,4.06,4.06,,4.47,4.47
化肥农药,新进池,,5.0,,,4.57,4.57,,4.28,4.28,,4.43,4.43
基本金属,新进池,,6.0,,,4.59,4.59,,4.01,4.01,,4.3,4.3
电子元件,新进池,,7.0,,,3.57,3.57,,4.26,4.26,,3.92,3.92
休闲服务,新进池,,8.0,,,5.41,5.41,,1.86,1.86,,3.64,3.64
食品,新进池,,9.0,,,3.72,3.72,,3.56,3.56,,3.64,3.64
畜牧业,新进池,,10.0,,,5.38,5.38,,1.82,1.82,,3.6,3.6
通用设备,池内,15.0,11.0,4.0,3.31,3.17,-0.14000000000000012,6.4,3.54,-2.8600000000000003,4.86,3.35,-1.5100000000000002
化学制品,池内,13.0,12.0,1.0,3.53,3.27,-0.2599999999999998,6.4,3.33,-3.0700000000000003,4.96,3.3,-1.6600000000000001
通信设备,新进池,,13.0,,,3.02,3.02,,3.5,3.5,,3.26,3.26
专用设备,池内,14.0,14.0,0.0,3.36,3.05,-0.31000000000000005,6.4,2.91,-3.49,4.88,2.98,-1.9
汽车,新进池,,15.0,,,3.07,3.07,,2.47,2.47,,2.77,2.77
饲料,退出池,1.0,,,6.99,,-6.99,9.79,,-9.79,8.39,,-8.39
种植业,退出池,2.0,,,6.88,,-6.88,9.55,,-9.55,8.21,,-8.21
出版,退出池,3.0,,,6.43,,-6.43,9.52,,-9.52,7.97,,-7.97
农产品加工,退出池,4.0,,,6.37,,-6.37,9.49,,-9.49,7.93,,-7.93
综合Ⅱ,退出池,5.0,,,5.59,,-5.59,9.79,,-9.79,7.69,,-7.69
一般零售,退出池,6.0,,,5.82,,-5.82,9.1,,-9.1,7.46,,-7.46
农化制品,退出池,7.0,,,5.39,,-5.39,9.07,,-9.07,7.23,,-7.23
元件,退出池,8.0,,,4.89,,-4.89,9.4,,-9.4,7.14,,-7.14
生物制品,退出池,9.0,,,4.33,,-4.33,9.85,,-9.85,7.09,,-7.09
环境治理,退出池,10.0,,,4.64,,-4.64,9.01,,-9.01,6.82,,-6.82
汽车零部件,退出池,11.0,,,4.22,,-4.22,8.08,,-8.08,6.15,,-6.15
软件开发,退出池,12.0,,,4.85,,-4.85,7.25,,-7.25,6.05,,-6.05
银行Ⅱ,退出池,16.0,,,5.67,,-5.67,2.06,,-2.06,3.87,,-3.87
nan,退出池,17.0,,,4.31,,-4.31,0.0,,0.0,2.15,,-2.15
