industry,得分,股票数,平均分,代表股
电子元件,234,37,6.32,"崇达技术(8/8,+54%)、四会富仕(8/8,+44%)、满坤科技(8/8,+37%)、超声电子(8/8,+34%)、奥士康(8/8,+28%)、金百泽(8/8,+26%)、明阳电路(8/8,+22%)、骏亚科技(8/8,+22%)、中京电子(8/8,+15%)、苏州天脉(8/8,+14%)"
汽车,116,19,6.11,"上汽集团(8/8,+16%)、ST云动(8/8,+15%)、铭科精技(8/8,+14%)、ST东时(8/8,+11%)、华纬科技(8/8,+10%)、航天科技(8/8,-2%)、众泰汽车(7/8,+25%)、威迈斯(7/8,+20%)、湖南天雁(7/8,+14%)、德迈仕(7/8,+11%)"
输变电设备,112,19,5.89,"远东股份(8/8,+54%)、汉缆股份(8/8,+4%)、ST合纵(8/8,+3%)、红相股份(8/8,+2%)、中能电气(8/8,-1%)、长城电工(7/8,+14%)、起帆电缆(7/8,+13%)、南网科技(7/8,+8%)、通达股份(7/8,+8%)、远程股份(7/8,+6%)"
航空航天装备,134,23,5.83,"航发科技(8/8,+41%)、国科军工(8/8,+16%)、航发控制(8/8,+10%)、新余国科(8/8,+8%)、航天彩虹(8/8,+7%)、中天火箭(8/8,-2%)、航发动力(7/8,+13%)、航材股份(7/8,+7%)、晨曦航空(7/8,+6%)、中航机载(7/8,+6%)"
电源设备,102,18,5.67,"电气风电(8/8,+4%)、天顺风能(7/8,+10%)、拓日新能(7/8,+9%)、ST南都(7/8,+7%)、ST京机(7/8,+6%)、吉鑫科技(7/8,+5%)、泰豪科技(7/8,+3%)、天能重工(7/8,+3%)、太阳能(7/8,+1%)、涪陵电力(7/8,-1%)"
电力,316,56,5.64,"闽东电力(8/8,+38%)、湖南发展(8/8,+16%)、广西能源(8/8,+13%)、杭州热电(8/8,+12%)、中闽能源(8/8,+10%)、银星能源(8/8,+7%)、华能国际(8/8,+2%)、大连热电(8/8,+2%)、华能蒙电(8/8,-0%)、金开新能(8/8,-9%)"
通用设备,100,18,5.56,"盾安环境(8/8,+32%)、航天晨光(8/8,+4%)、沃尔德(7/8,+28%)、雷尔伟(7/8,+24%)、金盾股份(7/8,+21%)、国机精工(7/8,+21%)、润邦股份(7/8,+15%)、多浦乐(7/8,+13%)、征和工业(7/8,+12%)、正业科技(7/8,+10%)"
通信设备,186,34,5.47,"东方通信(8/8,+10%)、金信诺(8/8,+10%)、超讯科技(8/8,+9%)、意华股份(8/8,+8%)、中光防雷(8/8,+5%)、鼎信通讯(7/8,+34%)、华脉科技(7/8,+22%)、剑桥科技(7/8,+21%)、兆龙互连(7/8,+19%)、世纪鼎利(7/8,+18%)"
化学制品,128,24,5.33,"壶化股份(8/8,+24%)、新宙邦(8/8,+7%)、中触媒(8/8,+6%)、鹿山新材(8/8,+5%)、康达新材(8/8,+0%)、万朗磁塑(7/8,+28%)、渝三峡Ａ(7/8,+20%)、黑猫股份(7/8,+19%)、三孚股份(7/8,+12%)、杭州高新(7/8,+8%)"
专用设备,106,20,5.3,"尤洛卡(8/8,+10%)、严牌股份(7/8,+31%)、绿岛风(7/8,+17%)、梅轮电梯(7/8,+17%)、利君股份(7/8,+10%)、泰金新能(7/8,+10%)、东威科技(7/8,+9%)、ST太重(7/8,+7%)、华伍股份(7/8,+6%)、天地科技(7/8,+0%)"
