industry,得分,股票数,平均分,代表股
银行Ⅱ,178,26,6.85,"齐鲁银行(8/8,+16%)、中国银行(8/8,+14%)、苏州银行(8/8,+12%)、青岛银行(8/8,+12%)、长沙银行(8/8,+9%)、成都银行(8/8,+9%)、工商银行(8/8,+8%)、杭州银行(8/8,+8%)、招商银行(8/8,+7%)、交通银行(8/8,+7%)"
一般零售,152,27,5.63,"国芳集团(8/8,+60%)、百大集团(8/8,+30%)、上海九百(7/8,+18%)、中兴商业(7/8,+18%)、东百集团(7/8,+14%)、徐家汇(7/8,+10%)、杭州解百(7/8,+10%)、广百股份(7/8,+10%)、农 产 品(7/8,+9%)、通程控股(7/8,+9%)"
计算机设备,138,25,5.52,"熙菱信息(8/8,+14%)、雷柏科技(8/8,+3%)、兆日科技(7/8,+79%)、*ST英飞(7/8,+47%)、捷安高科(7/8,+24%)、古鳌科技(7/8,+24%)、新 大 陆(7/8,+18%)、狄耐克(7/8,+14%)、雄帝科技(7/8,+13%)、罗普特(7/8,+8%)"
通用设备,312,57,5.47,"海鸥股份(8/8,+94%)、磁谷科技(8/8,+37%)、冠龙节能(8/8,+27%)、华之杰(8/8,+23%)、金帝股份(8/8,+20%)、海天精工(8/8,+17%)、皖仪科技(8/8,+15%)、威星智能(8/8,+10%)、纽威数控(8/8,+3%)、晋亿实业(8/8,+1%)"
环境治理,152,28,5.43,"南大环境(8/8,+55%)、ST雪浪(8/8,+29%)、深水海纳(8/8,+24%)、卓锦股份(8/8,+21%)、绿色动力(8/8,+11%)、中山公用(8/8,+4%)、上海凯鑫(7/8,+12%)、金科环境(7/8,+5%)、海峡环保(7/8,+5%)、永兴股份(7/8,+3%)"
软件开发,168,31,5.42,"龙软科技(8/8,+14%)、深信服(8/8,+10%)、财富趋势(8/8,+9%)、麒麟信安(7/8,+28%)、四方精创(7/8,+24%)、理工能科(7/8,+20%)、金现代(7/8,+19%)、新晨科技(7/8,+13%)、ST创意(7/8,+11%)、宝兰德(7/8,+10%)"
医疗器械,130,24,5.42,"正川股份(8/8,+26%)、洁特生物(8/8,+25%)、ST凯利(8/8,+3%)、采纳股份(7/8,+43%)、透景生命(7/8,+31%)、南卫股份(7/8,+29%)、五洲医疗(7/8,+28%)、浩欧博(7/8,+16%)、乐心医疗(7/8,+16%)、迈瑞医疗(7/8,+12%)"
家居用品,150,28,5.36,"海鸥住工(8/8,+103%)、德尔未来(8/8,+27%)、致欧科技(8/8,+20%)、帝欧水华(8/8,+18%)、建霖家居(8/8,+16%)、森鹰窗业(7/8,+31%)、青岛金王(7/8,+22%)、我乐家居(7/8,+16%)、瑞尔特(7/8,+13%)、雅艺科技(7/8,+9%)"
IT服务Ⅱ,154,29,5.31,"新炬网络(8/8,+28%)、*ST赛为(8/8,+17%)、亚康股份(8/8,+7%)、竞业达(7/8,+34%)、天利科技(7/8,+17%)、数码视讯(7/8,+12%)、宇信科技(7/8,+12%)、华是科技(7/8,+9%)、辰安科技(7/8,+8%)、ST天玑(7/8,+8%)"
服装家纺,148,28,5.29,"中胤时尚(8/8,+21%)、地素时尚(8/8,+14%)、雅戈尔(8/8,+8%)、哈森股份(7/8,+40%)、奥康国际(7/8,+26%)、九牧王(7/8,+25%)、戎美股份(7/8,+11%)、洪兴股份(7/8,+11%)、欣贺股份(7/8,+9%)、三夫户外(7/8,+9%)"
汽车零部件,322,61,5.28,"光洋股份(8/8,+45%)、新朋股份(8/8,+38%)、科华控股(8/8,+22%)、湖南天雁(8/8,+21%)、宁波方正(8/8,+18%)、浙江黎明(8/8,+14%)、赛轮轮胎(8/8,+13%)、飞龙股份(7/8,+47%)、香山股份(7/8,+39%)、中捷精工(7/8,+27%)"
化学制品,216,41,5.27,"华宝股份(8/8,+27%)、金丹科技(8/8,+20%)、吉华集团(8/8,+17%)、赞宇科技(8/8,+13%)、建新股份(8/8,+10%)、万华化学(8/8,+3%)、集泰股份(7/8,+44%)、高争民爆(7/8,+22%)、锦鸡股份(7/8,+20%)、先锋新材(7/8,+16%)"
农化制品,140,27,5.19,"四川美丰(8/8,+31%)、诺 普 信(8/8,+16%)、润丰股份(8/8,+7%)、农心科技(7/8,+13%)、中旗股份(7/8,+12%)、广康生化(7/8,+11%)、云图控股(7/8,+9%)、富邦科技(7/8,+7%)、中农立华(7/8,+6%)、蓝丰生化(7/8,+6%)"
电网设备,128,25,5.12,"大烨智能(8/8,+20%)、林洋能源(8/8,+6%)、太阳电缆(7/8,+12%)、金龙羽(7/8,+11%)、迦南智能(7/8,+10%)、友讯达(7/8,+8%)、欣灵电气(7/8,+8%)、福华尚纬(7/8,+8%)、摩恩电气(7/8,+7%)、西力科技(7/8,+5%)"
专用设备,244,48,5.08,"森赫股份(8/8,+41%)、弘宇股份(8/8,+11%)、浩洋股份(8/8,+11%)、一拖股份(8/8,+10%)、鸿铭股份(8/8,+8%)、弘亚数控(8/8,+4%)、大宏立(7/8,+43%)、创力集团(7/8,+20%)、力聚热能(7/8,+17%)、德固特(7/8,+16%)"
