ticker,prefixed,name,sector,industry,date,close,chg20,chg1,chg2,chg3,volume,score,passed,uptrend7
SH603909,sh603909,建发合诚,建筑施工,建筑施工,2026-09-09,9.94,3.5,-0.8,0.91,1.02,20032.0,8.0,uptrend7,8/8
SH603917,sh603917,合力科技,汽车,汽车,2026-09-09,13.47,5.8,-1.97,2.98,1.89,28811.0,6.0,uptrend7,6/8
SH603926,sh603926,铁流股份,汽车,汽车,2026-09-09,17.75,1.1,-2.37,-4.57,4.97,69194.0,7.0,uptrend7,7/8
SH603920,sh603920,世运电路,电子元件,电子元件,2026-09-09,40.35,8.0,2.33,4.53,12.3,336540.0,7.0,uptrend7,7/8
SH603929,sh603929,亚翔集成,建筑施工,建筑施工,2026-09-09,159.65,-4.0,0.8,2.34,6.25,48623.0,5.0,uptrend7,5/8
SH603938,sh603938,三孚股份,化学制品,化学制品,2026-09-09,47.11,8.1,6.03,16.64,19.3,556620.0,5.0,uptrend7,5/8
SH603936,sh603936,博敏电子,电子元件,电子元件,2026-09-09,18.16,16.3,3.48,3.3,13.64,605207.0,5.0,uptrend7,5/8
SH603955,sh603955,大千生态,建筑施工,建筑施工,2026-09-09,22.4,4.2,0.9,3.08,5.81,22294.0,6.0,uptrend7,6/8
SH603937,sh603937,丽岛新材,基本金属,基本金属,2026-09-09,12.04,4.3,1.52,2.29,3.79,35707.0,6.0,uptrend7,6/8
SH603959,sh603959,ST百利,专业服务,专业服务,2026-09-09,4.43,-7.7,1.84,1.61,2.31,69877.0,5.0,uptrend7,5/8
SH603969,sh603969,银龙股份,金属制品,金属制品,2026-09-09,8.11,13.6,-0.37,-0.12,2.66,61358.0,7.0,uptrend7,7/8
SH603956,sh603956,威派格,专用设备,专用设备,2026-09-09,6.44,-11.3,0.16,6.1,5.75,229133.0,6.0,uptrend7,6/8
SH603967,sh603967,中创物流,物流,物流,2026-09-09,11.79,2.3,0.08,0.86,1.11,26547.0,5.0,uptrend7,5/8
SH603968,sh603968,醋化股份,化学制品,化学制品,2026-09-09,11.17,7.5,0.45,3.43,4.49,32143.0,8.0,uptrend7,8/8
SH603977,sh603977,国泰集团,化学制品,化学制品,2026-09-09,12.07,-0.2,0.67,2.64,2.29,84984.0,6.0,uptrend7,6/8
SH603976,sh603976,正川股份,医疗器械,医疗器械,2026-09-09,34.26,21.6,-4.03,-3.19,-4.36,87922.0,6.0,uptrend7,6/8
SH603983,sh603983,丸美生物,化学制品,化学制品,2026-09-09,33.81,17.4,-1.43,-0.82,1.59,40774.0,7.0,uptrend7,7/8
SH603970,sh603970,中农立华,化肥农药,化肥农药,2026-09-09,11.79,12.6,-0.92,2.25,5.83,60201.0,8.0,uptrend7,8/8
SH603980,sh603980,吉华集团,化学制品,化学制品,2026-09-09,7.76,7.6,0.65,1.44,-2.27,585149.0,5.0,uptrend7,5/8
SH603982,sh603982,泉峰汽车,汽车,汽车,2026-09-09,6.34,2.6,-0.78,0.48,0.79,34090.0,6.0,uptrend7,6/8
SH603991,sh603991,领先股份,半导体,半导体,2026-09-09,180.4,35.7,1.68,7.79,13.03,45581.0,8.0,uptrend7,8/8
SH603989,sh603989,艾华集团,电子元件,电子元件,2026-09-09,33.65,14.0,-1.87,2.59,6.76,393092.0,8.0,uptrend7,8/8
SH603997,sh603997,继峰股份,汽车,汽车,2026-09-09,12.3,-4.0,0.08,4.68,7.61,221351.0,7.0,uptrend7,7/8
SH603999,sh603999,读者传媒,平面媒体,平面媒体,2026-09-09,6.72,18.9,-7.82,1.36,11.44,666188.0,7.0,uptrend7,7/8
SH605001,sh605001,威奥股份,轨道交通设备,轨道交通设备,2026-09-09,6.3,10.9,-0.47,-0.32,-0.47,52189.0,6.0,uptrend7,6/8
SH605006,sh605006,山东玻纤,合成纤维及树脂,合成纤维及树脂,2026-09-09,16.34,9.3,5.9,5.22,11.38,751927.0,8.0,uptrend7,8/8
SH605003,sh605003,众望布艺,纺织,纺织,2026-09-09,24.0,12.8,-5.77,0.08,3.31,19342.0,7.0,uptrend7,7/8
SH605011,sh605011,杭州热电,电力,电力,2026-09-09,17.54,0.7,2.93,4.22,2.27,90211.0,7.0,uptrend7,7/8
SH605058,sh605058,澳弘电子,电子器件,电子器件,2026-09-09,29.64,8.8,3.17,3.85,7.9,35198.0,7.0,uptrend7,7/8
SH605077,sh605077,华康股份,食品,食品,2026-09-09,13.78,23.3,9.98,20.98,22.71,339903.0,8.0,uptrend7,8/8
SH605028,sh605028,世茂能源,电力,电力,2026-09-09,25.94,-0.3,1.29,3.26,4.68,15690.0,7.0,uptrend7,7/8
SH605008,sh605008,长鸿高科,橡胶制品,橡胶制品,2026-09-09,14.05,17.2,-0.57,1.3,4.31,39975.0,7.0,uptrend7,7/8
SH605080,sh605080,浙江自然,文娱用品,文娱用品,2026-09-09,24.22,16.6,0.92,4.31,4.53,19275.0,7.0,uptrend7,7/8
SH605033,sh605033,美邦股份,化肥农药,化肥农药,2026-09-09,20.47,6.6,-1.21,0.44,2.45,40195.0,6.0,uptrend7,6/8
SH605088,sh605088,冠盛股份,汽车,汽车,2026-09-09,21.44,-0.4,-1.97,-2.41,-5.84,89510.0,5.0,uptrend7,5/8
SH605016,sh605016,百龙创园,食品,食品,2026-09-09,22.49,8.4,-0.66,2.93,1.08,57610.0,7.0,uptrend7,7/8
SH605108,sh605108,同庆楼,休闲服务,休闲服务,2026-09-09,13.38,2.8,-1.69,-1.25,0.98,32703.0,7.0,uptrend7,7/8
SH605089,sh605089,味知香,食品,食品,2026-09-09,22.2,9.5,-0.49,1.83,3.79,20577.0,8.0,uptrend7,8/8
SH605122,sh605122,四方新材,水泥,水泥,2026-09-09,11.99,5.6,-0.99,1.52,2.48,18133.0,5.0,uptrend7,5/8
SH605123,sh605123,派克新材,航空航天装备,航空航天装备,2026-09-09,82.3,4.6,2.49,1.71,1.02,17262.0,7.0,uptrend7,7/8
SH605155,sh605155,西大门,专业服务,专业服务,2026-09-09,14.76,0.1,0.27,2.15,2.43,24782.0,8.0,uptrend7,8/8
SH605138,sh605138,盛泰集团,服装家纺,服装家纺,2026-09-09,6.35,6.5,0.63,3.08,5.66,46455.0,5.0,uptrend7,5/8
SH605136,sh605136,丽人丽妆,互联网商务,互联网商务,2026-09-09,8.72,2.2,-1.69,0.35,0.23,80431.0,7.0,uptrend7,7/8
