行业,状态,前日排名,今日排名,排名变化,前日趋势分,今日趋势分,趋势分变化,前日动量分,今日动量分,动量分变化,前日总分,今日总分,总分变化
通用设备,池内,1.0,1.0,0.0,6.0,5.47,-0.5300000000000002,10.0,8.5,-1.5,8.0,6.98,-1.0199999999999996
IT服务Ⅱ,池内,5.0,2.0,3.0,5.0,5.31,0.3099999999999996,7.26,8.37,1.1099999999999994,6.13,6.84,0.71
汽车零部件,池内,2.0,3.0,-1.0,5.5,5.28,-0.21999999999999975,10.0,8.25,-1.75,7.75,6.77,-0.9800000000000004
养殖业,新进池,,4.0,,,6.27,6.27,,6.4,6.4,,6.33,6.33
饲料,新进池,,5.0,,,6.0,6.0,,6.19,6.19,,6.1,6.1
软件开发,池内,10.0,6.0,4.0,5.64,5.42,-0.21999999999999975,5.05,6.71,1.6600000000000001,5.34,6.06,0.7199999999999998
一般零售,池内,3.0,7.0,-4.0,5.62,5.63,0.009999999999999787,8.12,5.95,-2.169999999999999,6.87,5.79,-1.08
出版,池内,18.0,8.0,10.0,5.8,5.6,-0.20000000000000018,3.09,5.94,2.8500000000000005,4.45,5.77,1.3199999999999994
工程咨询服务Ⅱ,新进池,,9.0,,,5.71,5.71,,5.77,5.77,,5.74,5.74
航运港口,新进池,,10.0,,,5.88,5.88,,5.51,5.51,,5.7,5.7
化学制品,池内,9.0,11.0,-2.0,5.17,5.27,0.09999999999999964,5.85,6.09,0.2400000000000002,5.51,5.68,0.16999999999999993
环境治理,池内,14.0,12.0,2.0,4.92,5.43,0.5099999999999998,5.43,5.58,0.15000000000000036,5.17,5.5,0.33000000000000007
医疗器械,池内,8.0,13.0,-5.0,5.38,5.42,0.040000000000000036,5.76,5.22,-0.54,5.57,5.32,-0.25
电网设备,池内,4.0,14.0,-10.0,4.8,5.12,0.3200000000000003,7.7,5.27,-2.4300000000000006,6.25,5.2,-1.0499999999999998
专用设备,池内,17.0,15.0,2.0,4.74,5.08,0.33999999999999986,5.03,4.84,-0.1900000000000004,4.88,4.96,0.08000000000000007
半导体,新进池,,16.0,,,4.91,4.91,,4.96,4.96,,4.94,4.94
家居用品,池内,19.0,17.0,2.0,5.0,5.36,0.3600000000000003,3.84,4.4,0.5600000000000005,4.42,4.88,0.45999999999999996
计算机设备,新进池,,18.0,,,5.52,5.52,,3.13,3.13,,4.32,4.32
银行Ⅱ,池内,21.0,19.0,2.0,6.73,6.85,0.11999999999999922,1.39,1.31,-0.07999999999999985,4.06,4.08,0.020000000000000462
服装家纺,池内,16.0,20.0,-4.0,5.57,5.29,-0.28000000000000025,4.36,2.65,-1.7100000000000004,4.96,3.97,-0.9899999999999998
农化制品,新进池,,21.0,,,5.19,5.19,,1.68,1.68,,3.44,3.44
消费电子,退出池,6.0,,,4.0,,-4.0,8.09,,-8.09,6.04,,-6.04
化学制药,退出池,7.0,,,5.4,,-5.4,6.25,,-6.25,5.83,,-5.83
光学光电子,退出池,11.0,,,5.0,,-5.0,5.56,,-5.56,5.28,,-5.28
化学原料,退出池,12.0,,,7.0,,-7.0,3.51,,-3.51,5.25,,-5.25
自动化设备,退出池,13.0,,,5.43,,-5.43,4.96,,-4.96,5.2,,-5.2
元件,退出池,15.0,,,4.8,,-4.8,5.31,,-5.31,5.05,,-5.05
燃气Ⅱ,退出池,20.0,,,6.4,,-6.4,2.3,,-2.3,4.35,,-4.35
煤炭开采,退出池,22.0,,,6.63,,-6.63,-0.28,,0.28,3.17,,-3.17
