sector,code6,prefixed,m
专业服务,300901,sz300901,9.9
专业服务,300778,sz300778,8.64
专业服务,301297,sz301297,6.38
专业服务,000504,sz000504,5.96
专业服务,603458,sh603458,5.66
专业服务,300977,sz300977,5.1
专业服务,301390,sz301390,4.78
专业服务,603257,sh603257,4.48
专业服务,002949,sz002949,4.32
专业服务,688757,sh688757,4.23
专业服务,300989,sz300989,4.21
专业服务,301169,sz301169,3.82
专业服务,301058,sz301058,3.7
专业服务,301024,sz301024,2.27
专业服务,301505,sz301505,1.94
专业服务,300844,sz300844,1.81
专业服务,301632,sz301632,1.71
专业服务,301091,sz301091,1.66
专业服务,300887,sz300887,1.54
专业服务,300662,sz300662,1.53
专业服务,300215,sz300215,1.5
专业服务,300668,sz300668,1.44
专业服务,603959,sh603959,1.2
专业服务,603153,sh603153,1.09
专业服务,300712,sz300712,1.06
专业服务,300564,sz300564,0.85
专业服务,603018,sh603018,0.85
专业服务,600861,sh600861,0.79
专业服务,688053,sh688053,0.79
专业服务,300012,sz300012,0.73
专业服务,301449,sz301449,0.7
专业服务,300384,sz300384,0.66
专业服务,301038,sz301038,0.62
专业服务,300500,sz300500,0.57
专业服务,605155,sh605155,0.48
专业服务,603357,sh603357,0.48
专业服务,300688,sz300688,0.41
专业服务,600662,sh600662,0.38
专业服务,301167,sz301167,0.32
专业服务,300962,sz300962,0.27
专业服务,300815,sz300815,0.25
专业服务,300826,sz300826,0.11
专业服务,603060,sh603060,0.11
专业服务,001396,sz001396,0.08
专业服务,301257,sz301257,-0.04
专业服务,688133,sh688133,-0.07
专业服务,603860,sh603860,-0.09
专业服务,002967,sz002967,-0.1
专业服务,301508,sz301508,-0.1
专业服务,600826,sh600826,-0.11
专业服务,002883,sz002883,-0.32
专业服务,603466,sh603466,-0.34
专业服务,003008,sz003008,-0.4
专业服务,688334,sh688334,-0.43
专业服务,300416,sz300416,-0.5
专业服务,603300,sh603300,-0.53
专业服务,300732,sz300732,-0.57
专业服务,301306,sz301306,-0.59
专业服务,300284,sz300284,-0.61
专业服务,300675,sz300675,-0.63
专业服务,300635,sz300635,-0.72
专业服务,301289,sz301289,-0.84
专业服务,300797,sz300797,-0.89
专业服务,301027,sz301027,-0.96
专业服务,003035,sz003035,-1.16
专业服务,300649,sz300649,-1.21
专业服务,688509,sh688509,-1.24
专业服务,600654,sh600654,-1.31
专业服务,301115,sz301115,-1.34
专业服务,301136,sz301136,-1.38
专业服务,603373,sh603373,-1.56
专业服务,300746,sz300746,-1.75
专业服务,601965,sh601965,-1.89
专业服务,000779,sz000779,-2.06
专业服务,300983,sz300983,-2.41
专业服务,002811,sz002811,-4.52
专业服务,301228,sz301228,-4.74
专用设备,688001,sh688001,17.53
专用设备,688813,sh688813,17.51
专用设备,002564,sz002564,14.88
专用设备,301312,sz301312,13.01
专用设备,688700,sh688700,11.98
专用设备,688312,sh688312,11.9
专用设备,300461,sz300461,11.24
专用设备,300757,sz300757,9.13
专用设备,300400,sz300400,8.26
专用设备,688630,sh688630,7.89
专用设备,688531,sh688531,7.63
专用设备,002975,sz002975,7.12
专用设备,002006,sz002006,6.71
专用设备,300266,sz300266,6.54
专用设备,688485,sh688485,6.52
专用设备,300382,sz300382,6.41
专用设备,688022,sh688022,6.41
专用设备,001223,sz001223,6.33
专用设备,603321,sh603321,6.21
专用设备,688090,sh688090,5.98
专用设备,301338,sz301338,5.95
专用设备,603289,sh603289,5.83
专用设备,301105,sz301105,5.67
专用设备,001360,sz001360,5.4
专用设备,300480,sz300480,5.17
专用设备,300816,sz300816,5.08
专用设备,688596,sh688596,4.73
专用设备,300084,sz300084,4.55
专用设备,688037,sh688037,4.52
专用设备,688835,sh688835,4.5
专用设备,301633,sz301633,4.46
专用设备,688383,sh688383,4.29
专用设备,603203,sh603203,4.1
专用设备,300865,sz300865,4.08
专用设备,688057,sh688057,3.92
专用设备,603895,sh603895,3.83
专用设备,301533,sz301533,3.72
专用设备,600302,sh600302,3.66
专用设备,300004,sz300004,3.61
专用设备,002779,sz002779,3.54
专用设备,000425,sz000425,3.34
专用设备,600388,sh600388,3.3
专用设备,688392,sh688392,3.29
专用设备,603029,sh603029,3.26
专用设备,301200,sz301200,3.07
专用设备,600835,sh600835,3.06
专用设备,688328,sh688328,3.02
专用设备,301043,sz301043,2.93
专用设备,600783,sh600783,2.91
专用设备,300756,sz300756,2.83
专用设备,688097,sh688097,2.82
专用设备,300953,sz300953,2.81
专用设备,002833,sz002833,2.7
专用设备,300700,sz300700,2.63
专用设备,688376,sh688376,2.62
专用设备,002535,sz002535,2.55
专用设备,603855,sh603855,2.41
专用设备,301013,sz301013,2.4
专用设备,688125,sh688125,2.2
专用设备,301128,sz301128,2.18
专用设备,300619,sz300619,1.99
专用设备,300879,sz300879,1.91
专用设备,688729,sh688729,1.89
专用设备,688419,sh688419,1.81
专用设备,000528,sz000528,1.79
专用设备,603338,sh603338,1.73
专用设备,002689,sz002689,1.64
专用设备,002931,sz002931,1.63
