industry,得分,股票数,平均分,代表股
旅游及景区,136,20,6.8,"云南旅游(8/8,+34%)、张家界(8/8,+24%)、桂林旅游(8/8,+18%)、三峡旅游(8/8,+10%)、陕西旅游(8/8,+9%)、丽江股份(8/8,+5%)、黄山旅游(8/8,+3%)、大连圣亚(8/8,+3%)、*ST西旅(7/8,+38%)、南京商旅(7/8,+18%)"
银行Ⅱ,176,26,6.77,"齐鲁银行(8/8,+13%)、中国银行(8/8,+11%)、长沙银行(8/8,+8%)、苏州银行(8/8,+8%)、成都银行(8/8,+7%)、青岛银行(8/8,+7%)、宁波银行(8/8,+7%)、交通银行(8/8,+6%)、南京银行(8/8,+6%)、杭州银行(8/8,+6%)"
一般零售,182,30,6.07,"国芳集团(8/8,+70%)、新华百货(8/8,+40%)、百大集团(8/8,+39%)、宁波中百(8/8,+29%)、杭州解百(8/8,+13%)、茂业商业(7/8,+27%)、上海九百(7/8,+21%)、中兴商业(7/8,+16%)、徐家汇(7/8,+14%)、国光连锁(7/8,+14%)"
服装家纺,144,25,5.76,"中胤时尚(8/8,+33%)、地素时尚(8/8,+15%)、开润股份(8/8,+11%)、雅戈尔(8/8,+6%)、朗姿股份(8/8,-0%)、哈森股份(7/8,+36%)、奥康国际(7/8,+25%)、九牧王(7/8,+23%)、众望布艺(7/8,+14%)、洪兴股份(7/8,+8%)"
农化制品,150,27,5.56,"红四方(8/8,+32%)、四川美丰(8/8,+27%)、润丰股份(8/8,+5%)、新农股份(7/8,+18%)、诺 普 信(7/8,+15%)、天禾股份(7/8,+14%)、农心科技(7/8,+11%)、先达股份(7/8,+10%)、中农立华(7/8,+8%)、中旗股份(7/8,+8%)"
软件开发,188,34,5.53,"龙软科技(8/8,+16%)、亚华电子(8/8,+16%)、友车科技(8/8,+12%)、佳发教育(8/8,+12%)、财富趋势(8/8,+8%)、麒麟信安(7/8,+28%)、英方软件(7/8,+20%)、理工能科(7/8,+18%)、金现代(7/8,+13%)、ST创意(7/8,+11%)"
IT服务Ⅱ,150,28,5.36,"新炬网络(8/8,+33%)、*ST赛为(8/8,+16%)、亚康股份(8/8,+10%)、竞业达(7/8,+38%)、真视通(7/8,+15%)、托普云农(7/8,+11%)、宇信科技(7/8,+8%)、海峡创新(7/8,+7%)、*ST湘邮(7/8,+5%)、ST天玑(7/8,+4%)"
电网设备,134,25,5.36,"大烨智能(8/8,+16%)、林洋能源(8/8,+5%)、华盛昌(7/8,+40%)、杭电股份(7/8,+37%)、三友联众(7/8,+12%)、福华尚纬(7/8,+7%)、欣灵电气(7/8,+6%)、友讯达(7/8,+6%)、长高电气(7/8,+5%)、迦南智能(7/8,+5%)"
化学制品,224,42,5.33,"集泰股份(8/8,+54%)、华宝股份(8/8,+37%)、金丹科技(8/8,+20%)、赞宇科技(8/8,+16%)、吉华集团(8/8,+10%)、建新股份(8/8,+7%)、高争民爆(7/8,+19%)、元利科技(7/8,+17%)、先锋新材(7/8,+13%)、锦鸡股份(7/8,+12%)"
环境治理,172,33,5.21,"南大环境(8/8,+53%)、深水海纳(8/8,+27%)、卓锦股份(8/8,+14%)、绿色动力(8/8,+10%)、中山公用(8/8,+1%)、ST雪浪(7/8,+21%)、朗坤科技(7/8,+12%)、上海凯鑫(7/8,+10%)、金科环境(7/8,+4%)、力源科技(7/8,+4%)"
消费电子,130,25,5.2,"捷荣技术(8/8,+89%)、福立旺(8/8,+28%)、安克创新(8/8,+10%)、超频三(7/8,+35%)、致尚科技(7/8,+24%)、博硕科技(7/8,+20%)、精研科技(7/8,+19%)、惠威科技(7/8,+17%)、奥尼电子(7/8,+15%)、ST东尼(7/8,+14%)"
汽车零部件,352,68,5.18,"光洋股份(8/8,+56%)、科华控股(8/8,+15%)、湖南天雁(8/8,+9%)、圣龙股份(8/8,+1%)、福赛科技(7/8,+57%)、飞龙股份(7/8,+45%)、香山股份(7/8,+39%)、正强股份(7/8,+35%)、新朋股份(7/8,+32%)、艾可蓝(7/8,+29%)"
专用设备,280,56,5.0,"大宏立(8/8,+42%)、森赫股份(8/8,+37%)、浩洋股份(8/8,+12%)、鸿铭股份(8/8,+10%)、一拖股份(8/8,+10%)、运机集团(8/8,+9%)、弘亚数控(8/8,+2%)、创力集团(7/8,+24%)、天沃科技(7/8,+19%)、威马农机(7/8,+14%)"
家居用品,170,34,5.0,"海鸥住工(8/8,+108%)、帝欧水华(8/8,+23%)、建霖家居(8/8,+15%)、德力股份(8/8,+8%)、森鹰窗业(7/8,+39%)、德尔未来(7/8,+22%)、青岛金王(7/8,+21%)、我乐家居(7/8,+15%)、致欧科技(7/8,+8%)、瑞尔特(7/8,+8%)"
通用设备,338,68,4.97,"海鸥股份(8/8,+73%)、磁谷科技(8/8,+31%)、金帝股份(8/8,+23%)、华之杰(8/8,+18%)、海天精工(8/8,+18%)、皖仪科技(8/8,+16%)、万讯自控(8/8,+15%)、瑞凌股份(7/8,+31%)、黄河旋风(7/8,+28%)、联讯仪器(7/8,+24%)"
