industry,得分,股票数,平均分,代表股
港口航运,140,22,6.36,"海通发展(8/8,+38%)、招商南油(8/8,+35%)、南 京 港(8/8,+28%)、招商轮船(8/8,+20%)、海峡股份(8/8,+19%)、厦门港务(8/8,+13%)、青岛港(8/8,+9%)、连云港(8/8,+9%)、宁波海运(8/8,+9%)、中远海发(8/8,+9%)"
零售,152,24,6.33,"国芳集团(8/8,+89%)、南宁百货(8/8,+25%)、中百集团(8/8,+18%)、徐家汇(8/8,+15%)、广百股份(8/8,+9%)、通程控股(8/8,+8%)、新世界(8/8,+6%)、百联股份(8/8,+4%)、百大集团(7/8,+63%)、杭州解百(7/8,+14%)"
电子元件,202,32,6.31,"四会富仕(8/8,+45%)、崇达技术(8/8,+43%)、满坤科技(8/8,+40%)、超声电子(8/8,+28%)、奥士康(8/8,+28%)、明阳电路(8/8,+18%)、方正科技(8/8,+18%)、兴森科技(8/8,+15%)、骏亚科技(8/8,+13%)、海星股份(8/8,+11%)"
航空航天装备,158,26,6.08,"航发科技(8/8,+38%)、航发动力(8/8,+15%)、航发控制(8/8,+11%)、航材股份(8/8,+7%)、中航机载(8/8,+6%)、航天彩虹(8/8,+6%)、中航重机(8/8,+5%)、超卓航科(8/8,+4%)、中天火箭(8/8,-1%)、航亚科技(7/8,+17%)"
通用设备,214,37,5.78,"华盛昌(8/8,+47%)、盾安环境(8/8,+29%)、高澜股份(8/8,+29%)、国机精工(8/8,+27%)、雷尔伟(8/8,+27%)、征和工业(8/8,+17%)、润邦股份(8/8,+11%)、潍柴重机(8/8,+7%)、航天晨光(8/8,+5%)、航天动力(8/8,+2%)"
专用设备,206,36,5.72,"绿岛风(8/8,+24%)、梅轮电梯(8/8,+21%)、东威科技(8/8,+13%)、泰瑞机器(8/8,+7%)、尤洛卡(8/8,+5%)、山河智能(8/8,+5%)、南矿集团(7/8,+26%)、通用电梯(7/8,+16%)、天沃科技(7/8,+16%)、冀东装备(7/8,+16%)"
计算机软件,136,24,5.67,"*ST实达(8/8,+27%)、龙软科技(8/8,+23%)、ST银江(8/8,+18%)、博瑞传播(8/8,+17%)、吉大正元(8/8,+8%)、ST荣科(7/8,+20%)、海峡创新(7/8,+13%)、佳发教育(7/8,+13%)、绿盟科技(7/8,+11%)、中新赛克(7/8,+8%)"
电力,348,62,5.61,"闽东电力(8/8,+22%)、湖南发展(8/8,+8%)、云南能投(8/8,+7%)、广西能源(8/8,+5%)、江苏国信(8/8,+5%)、中闽能源(8/8,+4%)、华能国际(8/8,+0%)、乐山电力(8/8,-0%)、银星能源(8/8,-1%)、杭州热电(8/8,-2%)"
汽车,198,36,5.5,"阿尔特(8/8,+21%)、ST云动(8/8,+12%)、菱电电控(8/8,+10%)、上汽集团(8/8,+10%)、友升股份(8/8,+6%)、航天科技(8/8,-1%)、继峰股份(8/8,-3%)、宁波方正(7/8,+21%)、ST美晨(7/8,+17%)、威迈斯(7/8,+17%)"
化学制品,220,41,5.37,"黑猫股份(8/8,+27%)、壶化股份(8/8,+18%)、金禾实业(8/8,+12%)、北化股份(8/8,+7%)、新宙邦(8/8,+6%)、鹿山新材(8/8,+4%)、康达新材(8/8,+1%)、集泰股份(7/8,+62%)、渝三峡Ａ(7/8,+32%)、万朗磁塑(7/8,+30%)"
