sector,code6,prefixed,m
专业服务,002811,sz002811,6.95
专业服务,300977,sz300977,5.89
专业服务,300662,sz300662,4.93
专业服务,603458,sh603458,4.66
专业服务,301390,sz301390,4.12
专业服务,300649,sz300649,3.42
专业服务,301505,sz301505,2.76
专业服务,603466,sh603466,2.59
专业服务,301136,sz301136,1.98
专业服务,000779,sz000779,1.85
专业服务,300901,sz300901,1.73
专业服务,001396,sz001396,1.69
专业服务,301038,sz301038,1.67
专业服务,301306,sz301306,1.65
专业服务,301115,sz301115,1.6
专业服务,688053,sh688053,1.41
专业服务,301508,sz301508,1.11
专业服务,003035,sz003035,1.02
专业服务,301091,sz301091,0.86
专业服务,300500,sz300500,0.81
专业服务,003008,sz003008,0.78
专业服务,300732,sz300732,0.74
专业服务,002883,sz002883,0.51
专业服务,300887,sz300887,0.41
专业服务,300635,sz300635,0.28
专业服务,301169,sz301169,0.27
专业服务,603860,sh603860,0.17
专业服务,300675,sz300675,0.12
专业服务,300778,sz300778,0.11
专业服务,300746,sz300746,0.11
专业服务,605155,sh605155,0.05
专业服务,300826,sz300826,-0.04
专业服务,301167,sz301167,-0.06
专业服务,300844,sz300844,-0.08
专业服务,301024,sz301024,-0.2
专业服务,300564,sz300564,-0.24
专业服务,603300,sh603300,-0.25
专业服务,603060,sh603060,-0.26
专业服务,600826,sh600826,-0.29
专业服务,300983,sz300983,-0.32
专业服务,301289,sz301289,-0.33
专业服务,603357,sh603357,-0.33
专业服务,603018,sh603018,-0.36
专业服务,301632,sz301632,-0.44
专业服务,601965,sh601965,-0.48
专业服务,603153,sh603153,-0.59
专业服务,600861,sh600861,-0.62
专业服务,688334,sh688334,-0.63
专业服务,688509,sh688509,-0.68
专业服务,301449,sz301449,-0.78
专业服务,300215,sz300215,-0.97
专业服务,300416,sz300416,-1.07
专业服务,300712,sz300712,-1.1
专业服务,600662,sh600662,-1.25
专业服务,300962,sz300962,-1.29
专业服务,300284,sz300284,-1.3
专业服务,002967,sz002967,-1.38
专业服务,603959,sh603959,-1.48
专业服务,000504,sz000504,-1.5
专业服务,300384,sz300384,-1.67
专业服务,301027,sz301027,-1.78
专业服务,603257,sh603257,-1.91
专业服务,300989,sz300989,-1.92
专业服务,300688,sz300688,-2.02
专业服务,603373,sh603373,-2.22
专业服务,300815,sz300815,-2.31
专业服务,300797,sz300797,-2.8
专业服务,301058,sz301058,-2.87
专业服务,002949,sz002949,-2.98
专业服务,300668,sz300668,-3.02
专业服务,301297,sz301297,-3.16
专业服务,688757,sh688757,-3.69
专业服务,300012,sz300012,-3.81
专业服务,301257,sz301257,-4.15
专业服务,600654,sh600654,-4.5
专业服务,301228,sz301228,-5.45
专业服务,688133,sh688133,-7.7
专用设备,300950,sz300950,10.89
专用设备,000852,sz000852,10.18
专用设备,300385,sz300385,7.91
专用设备,002890,sz002890,7.86
专用设备,301158,sz301158,7.26
专用设备,002418,sz002418,7.2
专用设备,301043,sz301043,7.11
专用设备,002278,sz002278,6.44
专用设备,603901,sh603901,5.08
专用设备,688433,sh688433,4.88
专用设备,688309,sh688309,4.47
专用设备,300103,sz300103,4.44
专用设备,002651,sz002651,4.36
专用设备,300757,sz300757,4.19
专用设备,300619,sz300619,4.16
专用设备,002757,sz002757,3.96
专用设备,002490,sz002490,3.47
专用设备,300195,sz300195,3.11
专用设备,688215,sh688215,3.09
专用设备,301081,sz301081,2.69
专用设备,301128,sz301128,2.68
专用设备,688835,sh688835,2.67
专用设备,300095,sz300095,2.36
专用设备,300992,sz300992,2.21
专用设备,002689,sz002689,2.18
专用设备,301199,sz301199,2.16
专用设备,300512,sz300512,2.11
专用设备,001400,sz001400,2.09
专用设备,603126,sh603126,2.05
专用设备,002097,sz002097,1.91
专用设备,300521,sz300521,1.83
专用设备,300004,sz300004,1.8
专用设备,001395,sz001395,1.75
专用设备,603895,sh603895,1.75
专用设备,300099,sz300099,1.71
专用设备,300865,sz300865,1.64
专用设备,301633,sz301633,1.62
专用设备,600169,sh600169,1.58
专用设备,600262,sh600262,1.45
专用设备,300912,sz300912,1.41
专用设备,603280,sh603280,1.41
专用设备,603289,sh603289,1.37
专用设备,300471,sz300471,1.34
专用设备,603076,sh603076,1.28
专用设备,688718,sh688718,1.27
专用设备,603912,sh603912,1.26
专用设备,688092,sh688092,1.25
专用设备,002691,sz002691,1.24
专用设备,301138,sz301138,1.24
专用设备,301112,sz301112,1.17
专用设备,600215,sh600215,1.16
专用设备,600817,sh600817,1.16
专用设备,002564,sz002564,1.1
专用设备,600843,sh600843,1.05
专用设备,600615,sh600615,1.03
专用设备,300105,sz300105,0.96
专用设备,300509,sz300509,0.86
专用设备,300472,sz300472,0.81
专用设备,301018,sz301018,0.8
专用设备,002529,sz002529,0.78
专用设备,301105,sz301105,0.77
专用设备,300879,sz300879,0.73
专用设备,300217,sz300217,0.71
专用设备,300056,sz300056,0.7
专用设备,600560,sh600560,0.69
专用设备,688701,sh688701,0.67
专用设备,002209,sz002209,0.66
专用设备,001336,sz001336,0.66
专用设备,301083,sz301083,0.65
专用设备,688529,sh688529,0.62
专用设备,002526,sz002526,0.59
专用设备,301063,sz301063,0.53
专用设备,688659,sh688659,0.52
专用设备,603956,sh603956,0.51
专用设备,688377,sh688377,0.51
专用设备,603081,sh603081,0.5
专用设备,300281,sz300281,0.46
专用设备,688485,sh688485,0.42
专用设备,605186,sh605186,0.39
专用设备,300173,sz300173,0.38
专用设备,603169,sh603169,0.37
专用设备,603855,sh603855,0.32
专用设备,002164,sz002164,0.31
专用设备,301288,sz301288,0.29
专用设备,688057,sh688057,0.29
专用设备,300631,sz300631,0.25
专用设备,002786,sz002786,0.24
专用设备,002021,sz002021,0.18
专用设备,603321,sh603321,0.18
专用设备,002337,sz002337,0.17
专用设备,300700,sz300700,0.17
专用设备,003036,sz003036,0.11
专用设备,300899,sz300899,0.08
专用设备,603337,sh603337,0.08
专用设备,601106,sh601106,0.03
专用设备,688565,sh688565,0.02
专用设备,001277,sz001277,0.01
专用设备,300823,sz300823,0.01
专用设备,002690,sz002690,-0.02
专用设备,301161,sz301161,-0.02
专用设备,600761,sh600761,-0.04
专用设备,688022,sh688022,-0.07
专用设备,002837,sz002837,-0.08
专用设备,301601,sz301601,-0.08
专用设备,300266,sz300266,-0.09
专用设备,300425,sz300425,-0.12
专用设备,600302,sh600302,-0.12
专用设备,603248,sh603248,-0.12
专用设备,301028,sz301028,-0.14
专用设备,600579,sh600579,-0.14
专用设备,300837,sz300837,-0.15
专用设备,603315,sh603315,-0.17
专用设备,003025,sz003025,-0.18
专用设备,002073,sz002073,-0.21
专用设备,300276,sz300276,-0.22
专用设备,600526,sh600526,-0.27
专用设备,000856,sz000856,-0.29
专用设备,601608,sh601608,-0.29
专用设备,002367,sz002367,-0.3
专用设备,603698,sh603698,-0.3
专用设备,300800,sz300800,-0.31
专用设备,600894,sh600894,-0.32
专用设备,002685,sz002685,-0.34
专用设备,300198,sz300198,-0.37
专用设备,603338,sh603338,-0.38
专用设备,688335,sh688335,-0.38
专用设备,603282,sh603282,-0.45
专用设备,300884,sz300884,-0.51
专用设备,002960,sz002960,-0.52
专用设备,688021,sh688021,-0.63
专用设备,301468,sz301468,-0.64
专用设备,603135,sh603135,-0.65
专用设备,603036,sh603036,-0.68
专用设备,603015,sh603015,-0.7
专用设备,601798,sh601798,-0.7
专用设备,300022,sz300022,-0.71
专用设备,688531,sh688531,-0.72
专用设备,000967,sz000967,-0.73
专用设备,688128,sh688128,-0.73
专用设备,300307,sz300307,-0.75
专用设备,688113,sh688113,-0.75
专用设备,603273,sh603273,-0.77
专用设备,002611,sz002611,-0.78
专用设备,603611,sh603611,-0.78
