sector,code6,prefixed,m
专业服务,603466,sh603466,6.88
专业服务,603959,sh603959,4.55
专业服务,003035,sz003035,3.88
专业服务,300688,sz300688,3.76
专业服务,300649,sz300649,3.18
专业服务,301297,sz301297,1.94
专业服务,603458,sh603458,1.16
专业服务,688053,sh688053,0.39
专业服务,301027,sz301027,0.29
专业服务,300012,sz300012,0.16
专业服务,300746,sz300746,0.09
专业服务,603257,sh603257,0.07
专业服务,301306,sz301306,-0.45
专业服务,300983,sz300983,-0.61
专业服务,301505,sz301505,-0.66
专业服务,301228,sz301228,-0.71
专业服务,601965,sh601965,-1.17
专业服务,603018,sh603018,-1.46
专业服务,002967,sz002967,-1.63
专业服务,603373,sh603373,-1.67
专业服务,300416,sz300416,-1.7
专业服务,688334,sh688334,-1.98
专业服务,301038,sz301038,-2.03
专业服务,603300,sh603300,-2.2
专业服务,301289,sz301289,-2.21
专业服务,300284,sz300284,-2.25
专业服务,600861,sh600861,-2.4
专业服务,688509,sh688509,-2.41
专业服务,300215,sz300215,-2.44
专业服务,603153,sh603153,-2.44
专业服务,002811,sz002811,-2.5
专业服务,600826,sh600826,-2.53
专业服务,301136,sz301136,-2.7
专业服务,003008,sz003008,-2.76
专业服务,603060,sh603060,-2.77
专业服务,603357,sh603357,-2.8
专业服务,600662,sh600662,-2.83
专业服务,300962,sz300962,-2.86
专业服务,300662,sz300662,-2.92
专业服务,300668,sz300668,-2.93
专业服务,600654,sh600654,-3.12
专业服务,002883,sz002883,-3.22
专业服务,001396,sz001396,-3.43
专业服务,300815,sz300815,-3.43
专业服务,300635,sz300635,-3.49
专业服务,300732,sz300732,-3.52
专业服务,300887,sz300887,-3.59
专业服务,301508,sz301508,-3.67
专业服务,300384,sz300384,-3.78
专业服务,300675,sz300675,-3.93
专业服务,301091,sz301091,-4.03
专业服务,603860,sh603860,-4.14
专业服务,300500,sz300500,-4.17
专业服务,300797,sz300797,-4.2
专业服务,300564,sz300564,-4.24
专业服务,000504,sz000504,-4.25
专业服务,301058,sz301058,-4.33
专业服务,301449,sz301449,-4.33
专业服务,301169,sz301169,-4.49
专业服务,688757,sh688757,-4.5
专业服务,300989,sz300989,-4.57
专业服务,301115,sz301115,-4.57
专业服务,300712,sz300712,-4.62
专业服务,605155,sh605155,-4.62
专业服务,301632,sz301632,-4.79
专业服务,301167,sz301167,-4.87
专业服务,301024,sz301024,-5.08
专业服务,300826,sz300826,-5.23
专业服务,300844,sz300844,-5.5
专业服务,300977,sz300977,-5.55
专业服务,300778,sz300778,-5.86
专业服务,688133,sh688133,-5.88
专业服务,300901,sz300901,-6.54
专业服务,301257,sz301257,-7.8
专业服务,000779,sz000779,-8.1
专业服务,002949,sz002949,-8.25
专用设备,301053,sz301053,7.3
专用设备,688813,sh688813,5.39
专用设备,300099,sz300099,5.25
专用设备,688835,sh688835,4.75
专用设备,301456,sz301456,3.82
专用设备,002651,sz002651,3.67
专用设备,300486,sz300486,3.61
专用设备,301013,sz301013,3.17
专用设备,300385,sz300385,1.74
专用设备,002204,sz002204,1.46
专用设备,301081,sz301081,1.35
专用设备,300095,sz300095,1.12
专用设备,300902,sz300902,1.06
专用设备,600545,sh600545,0.68
专用设备,603638,sh603638,0.49
专用设备,301158,sz301158,0.4
专用设备,600582,sh600582,0.32
专用设备,000967,sz000967,-0.05
专用设备,603956,sh603956,-0.12
专用设备,300756,sz300756,-0.17
专用设备,600243,sh600243,-0.27
专用设备,600169,sh600169,-0.27
专用设备,300281,sz300281,-0.31
专用设备,600761,sh600761,-0.32
专用设备,601038,sh601038,-0.41
专用设备,688700,sh688700,-0.6
专用设备,601106,sh601106,-0.61
专用设备,002366,sz002366,-0.69
专用设备,688160,sh688160,-0.79
专用设备,688006,sh688006,-0.9
专用设备,300056,sz300056,-0.91
专用设备,601399,sh601399,-0.98
专用设备,600817,sh600817,-1.05
专用设备,300022,sz300022,-1.08
