ticker,prefixed,name,sector,industry,date,close,chg20,chg1,chg2,chg3,volume,score,passed,uptrend7
SZ002779,sz002779,中坚科技,专用设备,专用设备,2026-09-10,80.74,2.2,-0.07,-2.44,-0.94,3492.0,6.0,uptrend7,6/8
SZ002790,sz002790,瑞尔特,其他轻工,其他轻工,2026-09-10,8.46,45.1,10.01,21.03,33.23,65933.0,8.0,uptrend7,8/8
SZ002787,sz002787,华源控股,金属制品,金属制品,2026-09-10,24.42,14.2,-1.25,0.78,3.12,33835.0,7.0,uptrend7,7/8
SZ002783,sz002783,凯龙股份,化学制品,化学制品,2026-09-10,8.19,5.3,-0.12,0.12,1.99,23199.0,5.0,uptrend7,5/8
SZ002788,sz002788,鹭燕医药,医药商业,医药商业,2026-09-10,11.36,-3.2,-1.98,-4.54,-1.56,23917.0,7.0,uptrend7,7/8
SZ002795,sz002795,永和智控,通用设备,通用设备,2026-09-10,7.52,1.8,-0.4,4.44,4.74,60170.0,7.0,uptrend7,7/8
SZ002789,sz002789,*ST建艺,装修装饰,装修装饰,2026-09-10,13.3,30.5,0.15,-2.21,3.1,6152.0,6.0,uptrend7,6/8
SZ002792,sz002792,通宇通讯,通信设备,通信设备,2026-09-10,30.77,-20.3,0.13,-2.75,2.36,78232.0,6.0,uptrend7,6/8
SZ002798,sz002798,帝欧水华,家具,家具,2026-09-10,6.83,18.0,-0.29,-0.73,-1.44,12483.0,6.0,uptrend7,6/8
SZ002799,sz002799,环球印务,造纸印刷,造纸印刷,2026-09-10,6.99,1.6,-0.71,-1.27,0.43,9444.0,5.0,uptrend7,5/8
SZ002802,sz002802,洪汇新材,合成纤维及树脂,合成纤维及树脂,2026-09-10,12.45,9.0,-1.03,-1.81,0.32,5616.0,5.0,uptrend7,5/8
SZ002807,sz002807,江阴银行,银行,银行,2026-09-10,4.26,7.8,0.71,0.95,2.16,62149.0,6.0,uptrend7,6/8
SZ002810,sz002810,山东赫达,化学制品,化学制品,2026-09-10,21.69,7.7,-1.41,0.05,-0.32,8915.0,5.0,uptrend7,5/8
SZ002815,sz002815,崇达技术,电子元件,电子元件,2026-09-10,18.33,43.7,1.5,7.32,14.49,356558.0,8.0,uptrend7,8/8
SZ002818,sz002818,富森美,商业物业经营,商业物业经营,2026-09-10,11.39,5.0,-0.87,0.71,2.61,13317.0,5.0,uptrend7,5/8
SZ002819,sz002819,东方中科,电子设备制造,电子设备制造,2026-09-10,22.45,9.4,-0.04,3.08,3.94,7696.0,6.0,uptrend7,6/8
SZ002827,sz002827,高争民爆,化学制品,化学制品,2026-09-10,64.81,17.6,-1.22,1.03,-8.78,25719.0,5.0,uptrend7,5/8
SZ002826,sz002826,易明医药,中药生产,中药生产,2026-09-10,17.75,0.7,-1.88,-1.55,-1.0,12048.0,6.0,uptrend7,6/8
SZ002825,sz002825,纳尔股份,造纸印刷,造纸印刷,2026-09-10,10.16,9.2,-1.07,-2.12,1.6,9316.0,6.0,uptrend7,6/8
SZ002831,sz002831,裕同科技,造纸印刷,造纸印刷,2026-09-10,29.4,6.0,0.93,4.33,5.72,37851.0,6.0,uptrend7,6/8
SZ002836,sz002836,新宏泽,造纸印刷,造纸印刷,2026-09-10,10.45,5.9,-0.1,0.29,1.85,7775.0,7.0,uptrend7,7/8
