行业,状态,前日排名,今日排名,排名变化,前日趋势分,今日趋势分,趋势分变化,前日动量分,今日动量分,动量分变化,前日总分,今日总分,总分变化
电子元件,池内,2.0,1.0,1.0,3.37,3.86,0.48999999999999977,5.66,6.47,0.8099999999999996,9.03,10.33,1.3000000000000007
地面装备,新进池,,2.0,,,6.22,6.22,,3.33,3.33,,9.55,9.55
合成纤维及树脂,池内,4.0,3.0,1.0,4.37,4.68,0.3099999999999996,3.77,4.6,0.8299999999999996,8.14,9.28,1.1399999999999988
计算机软件,池内,8.0,4.0,4.0,2.91,3.4,0.48999999999999977,4.17,4.47,0.2999999999999998,7.08,7.87,0.79
通信设备,池内,11.0,5.0,6.0,2.91,3.22,0.31000000000000005,3.29,4.58,1.29,6.2,7.8,1.5999999999999996
电力,池内,3.0,6.0,-3.0,3.17,3.64,0.4700000000000002,5.6,4.01,-1.5899999999999999,8.77,7.65,-1.1199999999999992
电子设备制造,新进池,,7.0,,,2.92,2.92,,4.67,4.67,,7.59,7.59
电子器件,新进池,,8.0,,,4.2,4.2,,2.82,2.82,,7.02,7.02
汽车,新进池,,9.0,,,3.57,3.57,,3.02,3.02,,6.59,6.59
电源设备,新进池,,10.0,,,3.32,3.32,,2.81,2.81,,6.13,6.13
输变电设备,新进池,,11.0,,,3.45,3.45,,2.32,2.32,,5.77,5.77
化学制品,池内,12.0,12.0,0.0,2.75,3.12,0.3700000000000001,3.36,2.48,-0.8799999999999999,6.11,5.6,-0.5100000000000007
船舶与海洋装备,退出池,1.0,,,5.35,,-5.35,4.11,,-4.11,9.46,,-9.46
煤炭,退出池,5.0,,,3.74,,-3.74,4.31,,-4.31,8.05,,-8.05
港口航运,退出池,6.0,,,4.52,,-4.52,2.89,,-2.89,7.41,,-7.41
燃气,退出池,7.0,,,4.6,,-4.6,2.77,,-2.77,7.37,,-7.37
零售,退出池,9.0,,,4.34,,-4.34,2.35,,-2.35,6.69,,-6.69
半导体,退出池,10.0,,,2.99,,-2.99,3.69,,-3.69,6.68,,-6.68
通用设备,退出池,13.0,,,2.96,,-2.96,2.46,,-2.46,5.42,,-5.42
专用设备,退出池,14.0,,,2.93,,-2.93,2.46,,-2.46,5.39,,-5.39
