industry,得分,股票数,平均分,代表股
化学原料,84,12,7.0,"金牛化工(8/8,+70%)、中毅达(8/8,+35%)、雪天盐业(8/8,+13%)、江苏索普(8/8,+12%)、三友化工(8/8,+9%)、宝丰能源(8/8,+8%)、华谊集团(8/8,+4%)、鲁北化工(8/8,+3%)、金瑞矿业(7/8,+38%)"
银行Ⅱ,148,22,6.73,"齐鲁银行(8/8,+16%)、中国银行(8/8,+16%)、北京银行(8/8,+12%)、渝农商行(8/8,+9%)、长沙银行(8/8,+8%)、杭州银行(8/8,+8%)、交通银行(8/8,+8%)、无锡银行(8/8,+7%)、招商银行(8/8,+6%)"
煤炭开采,126,19,6.63,"郑州煤电(8/8,+37%)、广汇能源(8/8,+21%)、新集能源(8/8,+11%)、恒源煤电(8/8,+10%)、中国神华(8/8,+10%)、中煤能源(8/8,+10%)、华阳股份(8/8,+6%)、兰花科创(8/8,+4%)、上海能源(7/8,+32%)"
燃气Ⅱ,64,10,6.4,"洪通燃气(8/8,+24%)、长春燃气(8/8,+13%)、新奥股份(8/8,+11%)、皖天然气(8/8,+6%)、新疆火炬(7/8,+9%)、贵州燃气(7/8,+9%)、蓝天燃气(7/8,+3%)、水发燃气(7/8,+3%)、新天然气(6/8,+5%)"
通用设备,126,21,6.0,"海鸥股份(8/8,+106%)、磁谷科技(8/8,+41%)、金帝股份(8/8,+29%)、海天精工(8/8,+15%)、铂力特(8/8,+13%)、纽威数控(8/8,+7%)、晋亿实业(8/8,+2%)、华曙高科(7/8,+28%)、佳力图(7/8,+18%)"
出版,58,10,5.8,"龙版传媒(8/8,+47%)、时代出版(7/8,+22%)、出版传媒(7/8,+13%)、读者传媒(7/8,+7%)、内蒙新华(7/8,+6%)、南方传媒(7/8,+5%)、新经典(7/8,+5%)、新华传媒(7/8,+4%)、城市传媒(6/8,+7%)"
软件开发,62,11,5.64,"财富趋势(8/8,+3%)、麒麟信安(7/8,+24%)、龙软科技(7/8,+11%)、宝兰德(7/8,+9%)、博通股份(7/8,+6%)、中创股份(7/8,+1%)、ST信安(7/8,+0%)、安恒信息(7/8,-2%)、和达科技(6/8,+44%)"
一般零售,90,16,5.62,"国芳集团(8/8,+56%)、新华百货(7/8,+35%)、茂业商业(7/8,+31%)、国光连锁(7/8,+22%)、上海九百(7/8,+18%)、百大集团(7/8,+18%)、友好集团(7/8,+10%)、三江购物(7/8,+9%)、杭州解百(7/8,+7%)"
服装家纺,78,14,5.57,"九牧王(8/8,+28%)、地素时尚(8/8,+16%)、雅戈尔(8/8,+9%)、哈森股份(7/8,+47%)、奥康国际(7/8,+24%)、歌力思(7/8,+10%)、爱慕股份(7/8,+8%)、安正时尚(7/8,+7%)、牧高笛(6/8,+8%)"
汽车零部件,154,28,5.5,"浙江黎明(8/8,+20%)、华达科技(8/8,+19%)、合力科技(8/8,+14%)、赛轮轮胎(8/8,+14%)、无锡振华(8/8,+9%)、科华控股(7/8,+17%)、大明电子(7/8,+12%)、上海沿浦(7/8,+11%)、伯特利(7/8,+10%)"
医疗器械,86,16,5.38,"洁特生物(8/8,+36%)、正川股份(8/8,+21%)、南卫股份(7/8,+37%)、浩欧博(7/8,+22%)、赛科希德(7/8,+16%)、健尔康(7/8,+9%)、爱威科技(7/8,+8%)、奥精医疗(7/8,+8%)、基蛋生物(7/8,+5%)"
化学制品,62,12,5.17,"吉华集团(8/8,+14%)、元利科技(7/8,+32%)、万丰股份(7/8,+12%)、醋化股份(7/8,+8%)、美思德(7/8,+7%)、万华化学(7/8,+2%)、鼎际得(6/8,+20%)、恒兴新材(6/8,+8%)、麦加芯彩(6/8,+4%)"
家居用品,60,12,5.0,"建霖家居(8/8,+15%)、我乐家居(7/8,+14%)、梦天家居(7/8,+11%)、惠达卫浴(7/8,+10%)、永艺股份(7/8,+7%)、爱丽家居(6/8,+95%)、*ST四通(6/8,+24%)、茶花股份(6/8,+13%)、中源家居(6/8,+12%)"
环境治理,64,13,4.92,"卓锦股份(8/8,+22%)、德创环保(7/8,+21%)、绿色动力(7/8,+10%)、海天股份(7/8,+5%)、海峡环保(7/8,+2%)、通源环境(6/8,+20%)、上海洗霸(6/8,+14%)、丛麟科技(6/8,+8%)、金科环境(6/8,+7%)"
专用设备,90,19,4.74,"一拖股份(8/8,+10%)、力聚热能(7/8,+20%)、创力集团(7/8,+16%)、梅轮电梯(7/8,+8%)、蓝科高新(7/8,+3%)、爱科科技(7/8,+3%)、合锻智能(6/8,+22%)、越剑智能(6/8,+18%)、上海亚虹(6/8,+18%)"
