行业,状态,前日排名,今日排名,前日趋势分,今日趋势分,前日动量分,今日动量分,前日总分,今日总分,排名变化,趋势分变化,动量分变化,总分变化
资讯科技器材,池内,8.0,1.0,3.22,3.37,3.29,12.02,6.51,15.39,7.0,0.1499999999999999,8.73,8.88
工业工程,池内,4.0,2.0,3.23,3.7,4.56,7.72,7.79,11.42,2.0,0.4700000000000002,3.16,3.63
软件服务,池内,1.0,3.0,3.82,3.71,7.19,6.56,11.01,10.27,-2.0,-0.10999999999999988,-0.6300000000000008,-0.7400000000000002
农业产品,新进池,,4.0,,4.87,,3.24,,8.11,,4.87,3.24,8.11
媒体及娱乐,池内,2.0,5.0,4.05,2.7,4.74,3.26,8.79,5.96,-3.0,-1.3499999999999996,-1.4800000000000004,-2.829999999999999
药品及生物科技,池内,5.0,6.0,2.82,2.98,4.42,2.92,7.24,5.9,-1.0,0.16000000000000014,-1.5,-1.3399999999999999
地产,池内,3.0,7.0,3.46,3.07,5.23,2.51,8.69,5.58,-4.0,-0.3900000000000001,-2.7200000000000006,-3.1099999999999994
半导体,新进池,,8.0,,2.69,,2.29,,4.98,,2.69,2.29,4.98
其他医疗保健,新进池,,9.0,,2.7,,1.5,,4.2,,2.7,1.5,4.2
公用事业,池内,13.0,10.0,3.43,3.32,0.96,0.73,4.39,4.05,3.0,-0.11000000000000032,-0.22999999999999998,-0.33999999999999986
工用运输,池内,11.0,11.0,3.36,3.24,1.77,0.59,5.13,3.83,0.0,-0.11999999999999966,-1.1800000000000002,-1.2999999999999998
银行,池内,10.0,12.0,3.8,3.63,1.52,-0.44,5.32,3.19,-2.0,-0.16999999999999993,-1.96,-2.1300000000000003
其他金融,池内,6.0,13.0,4.23,3.54,2.78,-0.39,7.01,3.15,-7.0,-0.6900000000000004,-3.17,-3.86
保险,池内,7.0,14.0,4.58,3.21,2.25,-1.22,6.83,1.99,-7.0,-1.37,-3.4699999999999998,-4.84
旅游及消闲设施,退出池,9.0,,2.67,,2.74,,5.41,,,-2.67,-2.74,-5.41
黄金及贵金属,退出池,12.0,,2.72,,2.39,,5.11,,,-2.72,-2.39,-5.11
