ticker,prefixed,code6,name,industry,date,close,chg20,m,chg1,uptrend,turnover5
00005,hk00005,00005,汇丰控股,银行,2026-09-07,167.6,3.1,1.64,0.54,7/8,2737754378.8
00939,hk00939,00939,建设银行,银行,2026-09-07,9.535,7.7,-1.53,-2.31,5/8,2501841574.8
03988,hk03988,03988,中国银行,银行,2026-09-07,5.945,12.5,-1.2,-1.98,7/8,1466292983.2
03968,hk03968,03968,招商银行,银行,2026-09-07,51.9,5.9,-1.3,-2.72,6/8,756945402.5
02628,hk02628,02628,中国人寿,保险,2026-09-07,30.56,8.9,0.48,-1.1,6/8,1665172590.9
01299,hk01299,01299,友邦保险,保险,2026-09-07,77.1,3.5,-0.05,-0.52,6/8,1969242585.4
03328,hk03328,03328,交通银行,银行,2026-09-07,7.88,7.7,-0.71,-1.31,7/8,284415486.8
01658,hk01658,01658,邮储银行,银行,2026-09-07,5.375,10.5,-1.55,-1.92,5/8,410169928.4
02388,hk02388,02388,中银香港,银行,2026-09-07,52.8,4.5,0.41,-0.09,7/8,715512117.0
02888,hk02888,02888,渣打集团,银行,2026-09-07,239.6,1.5,2.0,0.93,6/8,195585508.8
03690,hk03690,03690,美团-W,专业零售,2026-09-07,80.05,-14.7,0.22,-2.08,5/8,3366113229.2
00998,hk00998,00998,中信银行,银行,2026-09-07,8.28,11.4,-1.9,-2.42,5/8,301210787.0
02259,hk02259,02259,紫金黄金国际,黄金及贵金属,2026-09-07,159.7,10.9,0.27,-1.96,5/8,1076005404.8
00267,hk00267,00267,中信股份,综合企业,2026-09-07,13.6,13.0,-0.22,-2.23,6/8,367099314.8
00992,hk00992,00992,联想集团,资讯科技器材,2026-09-07,32.36,11.6,2.88,-0.12,6/8,2773022848.9
02328,hk02328,02328,中国财险,保险,2026-09-07,17.23,8.9,-1.31,-1.82,7/8,541379183.5
02601,hk02601,02601,中国太保,保险,2026-09-07,30.28,3.5,-2.87,-3.81,6/8,364363814.0
02338,hk02338,02338,潍柴动力,工业工程,2026-09-07,32.96,-9.4,4.66,2.55,7/8,847200686.8
01339,hk01339,01339,中国人民保险集团,保险,2026-09-07,6.055,15.0,-1.75,-3.12,7/8,349251195.5
03692,hk03692,03692,翰森制药,药品及生物科技,2026-09-07,36.28,5.0,0.98,0.11,5/8,360060196.9
00066,hk00066,00066,港铁公司,旅游及消闲设施,2026-09-07,33.12,1.0,1.84,0.55,5/8,167483429.7
02714,hk02714,02714,牧原股份,农业产品,2026-09-07,39.88,18.3,6.24,1.94,7/8,235611762.4
00762,hk00762,00762,中国联通,电讯,2026-09-07,5.665,-11.1,0.97,0.62,5/8,191660669.4
06031,hk06031,06031,三一重工,工业工程,2026-09-07,19.8,-0.6,0.42,-1.3,7/8,71178405.5
01038,hk01038,01038,长江基建集团,公用事业,2026-09-07,65.85,7.2,1.33,1.23,5/8,88192777.2
01113,hk01113,01113,长实集团,地产,2026-09-07,46.92,-0.4,0.43,-0.89,6/8,252188635.7
06886,hk06886,06886,华泰证券,其他金融,2026-09-07,17.7,6.1,-0.67,-2.05,7/8,210456929.4
01766,hk01766,01766,中国中车,工业工程,2026-09-07,5.425,7.0,2.0,1.02,5/8,110081243.6
01816,hk01816,01816,中广核电力,公用事业,2026-09-07,3.04,5.9,-0.74,-1.62,7/8,149778123.2
02600,hk02600,02600,中国铝业,一般金属及矿石,2026-09-07,8.825,1.1,1.31,0.74,8/8,364779037.3
01988,hk01988,01988,民生银行,银行,2026-09-07,3.54,2.6,-1.21,-1.94,7/8,104144605.8
01336,hk01336,01336,新华保险,保险,2026-09-07,49.1,4.5,-0.84,-2.96,7/8,549512575.9
01888,hk01888,01888,建滔积层板,工业工程,2026-09-07,47.68,33.5,5.63,7.82,7/8,3617319252.5
01776,hk01776,01776,广发证券,其他金融,2026-09-07,18.37,6.7,-0.72,-2.03,5/8,153011338.9
03606,hk03606,03606,福耀玻璃,汽车,2026-09-07,56.55,-0.7,1.21,0.35,7/8,195582729.9
01972,hk01972,01972,太古地产,地产,2026-09-07,24.42,1.6,0.04,-1.37,6/8,47643439.5
00006,hk00006,00006,电能实业,公用事业,2026-09-07,60.55,5.0,0.7,0.41,6/8,183981469.5
03808,hk03808,03808,中国重汽,工业工程,2026-09-07,42.24,-2.2,3.78,2.38,8/8,305314424.9
01928,hk01928,01928,金沙中国有限公司,旅游及消闲设施,2026-09-07,14.18,-0.9,0.66,0.35,5/8,209655228.9
00100,hk00100,00100,MINIMAX-W,软件服务,2026-09-07,350.8,8.8,-1.34,-2.93,7/8,7031432635.4
01093,hk01093,01093,石药集团,药品及生物科技,2026-09-07,9.68,12.2,1.31,-0.05,6/8,744353971.5
01880,hk01880,01880,中国中免,旅游及消闲设施,2026-09-07,50.25,-3.6,2.07,0.5,7/8,58468920.8
02015,hk02015,02015,理想汽车-W,汽车,2026-09-07,50.4,0.6,7.28,5.4,6/8,652487459.9
06066,hk06066,06066,中信建投证券,其他金融,2026-09-07,12.05,2.6,-0.49,-1.87,5/8,71974550.0
01209,hk01209,01209,华润万象生活,地产,2026-09-07,39.9,-0.6,-1.61,-3.3,5/8,273402549.6
01138,hk01138,01138,中远海能,工用运输,2026-09-07,17.33,18.1,0.2,-0.91,6/8,259756022.4
00902,hk00902,00902,华能国际电力股份,公用事业,2026-09-07,5.66,-4.1,0.63,0.71,7/8,139619122.6
09926,hk09926,09926,康方生物,药品及生物科技,2026-09-07,96.0,-5.4,1.02,-5.14,6/8,1648590200.5
00019,hk00019,00019,太古股份公司A,综合企业,2026-09-07,106.7,3.0,1.07,0.38,5/8,94664128.6
00966,hk00966,00966,中国太平,保险,2026-09-07,21.86,4.7,-1.6,-3.53,6/8,176045261.5
00522,hk00522,00522,ASMPT,半导体,2026-09-07,167.7,0.1,5.23,5.74,6/8,392176346.6
00144,hk00144,00144,招商局港口,工用运输,2026-09-07,16.31,8.7,0.03,-0.55,6/8,49420838.0
06806,hk06806,06806,申万宏源,其他金融,2026-09-07,2.535,0.2,-2.11,-3.24,5/8,41233011.4
00285,hk00285,00285,比亚迪电子,资讯科技器材,2026-09-07,26.88,10.3,6.51,6.84,6/8,371178974.9
02313,hk02313,02313,申洲国际,纺织及服饰,2026-09-07,36.86,-17.2,0.05,-0.81,5/8,386227915.9
02688,hk02688,02688,新奥能源,公用事业,2026-09-07,49.52,5.5,0.07,-0.16,6/8,140436013.5
00270,hk00270,00270,粤海投资,公用事业,2026-09-07,8.805,7.4,-0.03,-0.11,6/8,70949749.7
02799,hk02799,02799,中信金融资产,其他金融,2026-09-07,0.655,6.5,-1.79,-4.38,7/8,52480233.4
03958,hk03958,03958,东方证券,其他金融,2026-09-07,5.86,4.5,-1.5,-2.9,6/8,56028798.8
00991,hk00991,00991,大唐发电,公用事业,2026-09-07,2.65,7.5,2.68,1.73,7/8,64085875.1
06821,hk06821,06821,凯莱英,药品及生物科技,2026-09-07,131.7,6.0,-0.69,-1.57,6/8,121535927.4
02727,hk02727,02727,上海电气,工业工程,2026-09-07,3.08,-6.5,2.45,1.15,5/8,43343518.6
03668,hk03668,03668,兖煤澳大利亚,煤炭,2026-09-07,35.94,12.5,5.51,4.96,7/8,77121226.0
02196,hk02196,02196,复星医药,药品及生物科技,2026-09-07,17.35,1.8,7.72,7.1,5/8,87063843.0
03396,hk03396,03396,联想控股,资讯科技器材,2026-09-07,19.09,11.7,2.21,0.85,8/8,265432255.3
03317,hk03317,03317,迅策,软件服务,2026-09-07,129.3,-9.1,1.25,1.09,5/8,236901215.4
03311,hk03311,03311,中国建筑国际,建筑,2026-09-07,8.36,-0.5,-2.14,-2.45,5/8,80622798.4
09880,hk09880,09880,优必选,资讯科技器材,2026-09-07,85.55,-3.4,4.01,-0.12,6/8,629608706.8
06088,hk06088,06088,FIT HON TENG,工业工程,2026-09-07,5.49,-8.1,3.77,3.49,7/8,114442664.4
06963,hk06963,06963,阳光保险,保险,2026-09-07,3.99,14.3,-2.41,-3.86,6/8,103844528.6
01070,hk01070,01070,TCL电子,家庭电器及用品,2026-09-07,16.9,1.2,-2.08,-1.57,6/8,109287543.4
00868,hk00868,00868,信义玻璃,工业工程,2026-09-07,9.145,-3.3,0.46,-1.3,6/8,109294052.6
06166,hk06166,06166,剑桥科技,资讯科技器材,2026-09-07,120.2,48.5,24.56,24.37,7/8,1127272271.5
01729,hk01729,01729,汇聚科技,资讯科技器材,2026-09-07,18.5,19.4,8.96,10.91,6/8,188094109.0
03277,hk03277,03277,长光辰芯,半导体,2026-09-07,84.4,18.4,-8.53,-8.01,6/8,135930933.4
03888,hk03888,03888,金山软件,软件服务,2026-09-07,25.0,-12.6,-0.1,-2.34,6/8,220386225.1
00220,hk00220,00220,统一企业中国,食物饮品,2026-09-07,7.5,-5.2,0.7,0.67,5/8,50087377.4
06655,hk06655,06655,华新建材,建筑,2026-09-07,16.61,11.3,1.88,-1.31,8/8,85485490.2
01879,hk01879,01879,曦智科技-P,半导体,2026-09-07,337.0,0.9,-8.08,-10.94,6/8,144137117.4
00631,hk00631,00631,三一国际,工业工程,2026-09-07,9.74,25.5,3.31,2.91,6/8,129526002.4
01882,hk01882,01882,海天国际,工业工程,2026-09-07,18.2,-10.9,1.04,1.11,5/8,74124294.3
01797,hk01797,01797,东方甄选,媒体及娱乐,2026-09-07,26.68,21.3,2.28,1.52,6/8,251887071.9
00552,hk00552,00552,中国通信服务,资讯科技器材,2026-09-07,3.98,-4.9,0.93,0.25,6/8,42937242.5
03696,hk03696,03696,英矽智能,药品及生物科技,2026-09-07,47.66,-1.7,0.49,-2.26,6/8,466380007.3
09969,hk09969,09969,诺诚健华,药品及生物科技,2026-09-07,14.8,-0.1,-1.31,-3.71,5/8,125841625.2
00136,hk00136,00136,中国儒意,媒体及娱乐,2026-09-07,1.52,1.0,17.82,11.36,5/8,304511383.7
02510,hk02510,02510,德翔海运,工用运输,2026-09-07,14.08,55.8,1.78,1.0,6/8,64442721.5
01357,hk01357,01357,美图公司,媒体及娱乐,2026-09-07,4.82,-0.2,0.16,-2.63,5/8,369207494.5
02386,hk02386,02386,中石化炼化工程,石油及天然气,2026-09-07,5.745,9.2,6.26,2.5,7/8,87134641.1
02525,hk02525,02525,禾赛-W,软件服务,2026-09-07,18.53,0.4,6.87,1.87,6/8,240923321.4
02343,hk02343,02343,太平洋航运,工用运输,2026-09-07,4.25,8.3,0.18,-0.7,6/8,78358742.3
01199,hk01199,01199,中远海运港口,工用运输,2026-09-07,5.685,11.3,2.66,2.06,8/8,41453570.2
00772,hk00772,00772,阅文集团,媒体及娱乐,2026-09-07,21.48,1.3,2.51,-1.38,6/8,275185074.2
02419,hk02419,02419,德康农牧,农业产品,2026-09-07,61.0,13.5,0.79,-1.61,8/8,89968832.0
09858,hk09858,09858,优然牧业,食物饮品,2026-09-07,4.4,3.2,0.82,-2.44,5/8,120680071.0
