ticker,prefixed,code6,name,industry,date,close,chg20,m,chg1,uptrend,turnover5
03668,hk03668,03668,兖煤澳大利亚,煤炭,2026-09-03,33.74,9.4,-1.93,-1.11,6/8,47518612.8
03396,hk03396,03396,联想控股,资讯科技器材,2026-09-03,18.48,24.2,1.69,0.65,6/8,199630885.4
03311,hk03311,03311,中国建筑国际,建筑,2026-09-03,8.63,2.4,3.92,3.35,5/8,114786449.4
06088,hk06088,06088,FIT HON TENG,工业工程,2026-09-03,5.35,-9.1,2.41,3.48,6/8,142922179.2
06963,hk06963,06963,阳光保险,保险,2026-09-03,4.025,11.7,2.32,-0.25,8/8,87593055.4
01070,hk01070,01070,TCL电子,家庭电器及用品,2026-09-03,17.51,5.8,2.62,2.34,7/8,175615129.1
03277,hk03277,03277,长光辰芯,半导体,2026-09-03,94.8,38.0,6.2,5.39,8/8,61283732.3
01193,hk01193,01193,华润燃气,公用事业,2026-09-03,16.56,4.3,-0.8,-0.36,5/8,86038830.6
06655,hk06655,06655,华新建材,建筑,2026-09-03,15.8,9.4,1.34,-0.13,8/8,62356976.6
01879,hk01879,01879,曦智科技-P,半导体,2026-09-03,372.2,22.4,12.49,11.7,7/8,56107567.0
00631,hk00631,00631,三一国际,工业工程,2026-09-03,9.645,27.5,6.03,6.75,7/8,154169667.5
01797,hk01797,01797,东方甄选,媒体及娱乐,2026-09-03,26.18,27.6,2.71,2.75,6/8,275712651.7
02315,hk02315,02315,百奥赛图-B,药品及生物科技,2026-09-03,64.15,15.5,6.53,0.39,6/8,152276032.6
00552,hk00552,00552,中国通信服务,资讯科技器材,2026-09-03,3.905,-6.2,-0.06,-0.76,5/8,51649914.0
02510,hk02510,02510,德翔海运,工用运输,2026-09-03,14.1,61.1,5.11,6.74,7/8,71253956.1
01357,hk01357,01357,美图公司,媒体及娱乐,2026-09-03,4.68,-1.1,-1.42,-0.11,6/8,426015968.1
02386,hk02386,02386,中石化炼化工程,石油及天然气,2026-09-03,5.285,0.5,3.56,3.02,7/8,50371418.6
02706,hk02706,02706,海致科技集团,软件服务,2026-09-03,56.6,11.1,3.16,2.35,7/8,194497023.4
