行业,状态,前日排名,今日排名,前日趋势分,今日趋势分,前日动量分,今日动量分,前日总分,今日总分,排名变化,趋势分变化,动量分变化,总分变化
工业工程,池内,2.0,1.0,3.7,3.04,7.72,5.72,11.42,8.76,1.0,-0.6600000000000001,-2.0,-2.66
药品及生物科技,池内,6.0,2.0,2.98,3.07,2.92,5.49,5.9,8.56,4.0,0.08999999999999986,2.5700000000000003,2.66
资讯科技器材,池内,1.0,3.0,3.37,3.39,12.02,4.76,15.39,8.15,-2.0,0.020000000000000018,-7.26,-7.24
石油及天然气,新进池,,4.0,,3.09,,4.72,,7.81,,3.09,4.72,7.81
农业产品,池内,4.0,5.0,4.87,4.16,3.24,3.41,8.11,7.57,-1.0,-0.71,0.16999999999999993,-0.5399999999999991
一般金属及矿石,新进池,,6.0,,4.68,,2.51,,7.19,,4.68,2.51,7.19
建筑,新进池,,7.0,,4.1,,2.64,,6.74,,4.1,2.64,6.74
软件服务,池内,3.0,8.0,3.71,3.5,6.56,2.78,10.27,6.28,-5.0,-0.20999999999999996,-3.78,-3.9899999999999993
公用事业,池内,10.0,9.0,3.32,3.7,0.73,2.48,4.05,6.18,1.0,0.38000000000000034,1.75,2.13
地产,池内,7.0,10.0,3.07,2.95,2.51,2.0,5.58,4.95,-3.0,-0.11999999999999966,-0.5099999999999998,-0.6299999999999999
银行,池内,12.0,11.0,3.63,3.21,-0.44,-0.16,3.19,3.05,1.0,-0.41999999999999993,0.28,-0.14000000000000012
媒体及娱乐,池内,5.0,12.0,2.7,2.7,3.26,0.17,5.96,2.87,-7.0,0.0,-3.09,-3.09
半导体,退出池,8.0,,2.69,,2.29,,4.98,,,-2.69,-2.29,-4.98
其他医疗保健,退出池,9.0,,2.7,,1.5,,4.2,,,-2.7,-1.5,-4.2
工用运输,退出池,11.0,,3.24,,0.59,,3.83,,,-3.24,-0.59,-3.83
其他金融,退出池,13.0,,3.54,,-0.39,,3.15,,,-3.54,0.39,-3.15
保险,退出池,14.0,,3.21,,-1.22,,1.99,,,-3.21,1.22,-1.99
