排名,industry,得分,股票数,趋势分,动量分,动量入池分,代表股,入池,趋势贡献,动量贡献,总分,池内,出池原因
1,软件服务,48,8,5.46,5.53,77.5,"新意网集团(8/8,+19%)、中国软件国际(8/8,+13%)、迈富时(7/8,+54%)、阜博集团(7/8,+36%)、云知声(7/8,+13%)、◆迈富时(+14%)、◆范式智能(+15%)、◎禾赛-W(+6%)、◎卓越睿新(+1%)、◆云知声(+10%)、◎新意网集团(+6%)、◆金蝶国际(+8%)",趋势+动量,4.22,6.78,11.0,1,
2,媒体及娱乐,24,4,5.78,3.65,51.09,"深演智能(8/8,+42%)、阅文集团(7/8,+7%)、美图公司(7/8,+4%)、东方甄选(6/8,+24%)、◎中国儒意(+11%)、◆深演智能(+9%)、◎趣致集团(+7%)、◆阅文集团(+8%)、◎美图公司(+6%)、◎百度集团-W(+5%)、◆汇量科技(+7%)",动量,4.47,4.48,8.95,1,
3,地产,16,3,4.95,4.02,56.26,"新城发展(7/8,+7%)、华润万象生活(7/8,+3%)、长实集团(6/8,+1%)、◆融创中国(+14%)、◆龙湖集团(+8%)、◎越秀地产(+4%)、◆碧桂园(+6%)、◆万科企业(+6%)、◎中国金茂(+3%)、◆新鸿基地产(+4%)",动量,3.83,4.93,8.76,1,
4,工业工程,42,8,4.62,3.51,49.16,"伟禄科技股份(7/8,+27%)、中船防务(7/8,+13%)、拓璞数控(7/8,+10%)、信义玻璃(7/8,-0%)、三一重工(7/8,-1%)、◆拓璞数控(+16%)、◆思格新能(+7%)、◆中船防务(+6%)、◆津上机床中国(+3%)、◎伟禄科技股份(+3%)、◎信义玻璃(+3%)、◆协鑫科技(+5%)",趋势+动量,3.57,4.31,7.88,1,
5,其他金融,32,5,6.05,2.14,29.87,"华泰证券(8/8,+8%)、国富量子(8/8,+1%)、中信金融资产(7/8,+17%)、东方证券(7/8,+8%)、广发证券(6/8,+8%)、◆中信金融资产(+4%)、◆易鑫集团(+5%)、◎首程控股(+3%)、◎东方证券(+2%)、◎中国信达(+2%)、◆华泰证券(+3%)、◆中金公司(+3%)",趋势+动量,4.68,2.62,7.3,1,
6,药品及生物科技,28,6,4.03,3.4,47.67,"和黄医药(7/8,+16%)、凯莱英(7/8,+13%)、诺诚健华(6/8,+8%)、英矽智能(6/8,+7%)、百奥赛图-B(6/8,-2%)、◆康方生物(+11%)、◎和黄医药(+3%)、◆英矽智能(+4%)、◆诺诚健华(+4%)、◆亚盛医药(+2%)、◎凯莱英(+0%)、◆石药集团(+1%)",趋势+动量,3.12,4.17,7.29,1,
7,保险,54,8,6.55,1.73,24.13,"阳光保险(8/8,+18%)、中国人民保险集团(8/8,+18%)、中国太保(8/8,+7%)、中国财险(7/8,+10%)、中国人寿(7/8,+7%)、◎新华保险(+3%)、◎中国太平(+3%)、◎阳光保险(+3%)、◎中国人民保险集团(+2%)、◆中国人寿(+3%)、◎中国太保(+1%)、◆众安在线(+1%)",趋势,5.07,2.12,7.19,1,
8,资讯科技器材,20,4,4.6,2.53,35.34,"联想控股(8/8,+19%)、俊知集团(6/8,+21%)、舜宇光学科技(6/8,+20%)、联想集团(6/8,+15%)、◆优必选(+8%)、◎国际商业结算(-2%)、◎联想集团(+6%)、◆越疆(+5%)、◆极智嘉-W(+5%)、◎联想控股(+2%)、◆小米集团-W(+4%)",动量,3.56,3.1,6.66,1,
,农业产品,14,2,6.96,4.93,13.8,"牧原股份(8/8,+22%)、德康农牧(7/8,+22%)、◎牧原股份(+9%)、◎德康农牧(+5%)",—,5.38,6.05,11.43,0,腿池外
,综合企业,8,1,7.9,1.54,8.65,"中信股份(8/8,+17%)、◎中信股份(+5%)、◎复星国际(+3%)、◎太古股份公司A(+2%)、◎长和(+1%)",—,6.11,1.89,8.0,0,腿池外
,建筑,12,2,5.87,1.85,18.1,"华新建材(8/8,+18%)、中国建筑国际(6/8,+2%)、◎乙德投资控股(-5%)、◎华新建材(+7%)、◎中国联塑(-1%)、◎中国建筑国际(-1%)、◎中国中铁(+1%)、◎海螺水泥(+0%)、◆中国建材(+0%)",—,4.54,2.27,6.81,0,腿池外
,银行,74,13,5.43,1.17,16.28,"农业银行(8/8,+12%)、中国银行(7/8,+16%)、中信银行(7/8,+16%)、邮储银行(7/8,+13%)、建设银行(7/8,+11%)、◎招商银行(+3%)、◎汇丰控股(+2%)、◎渣打集团(+2%)、◎建设银行(+2%)、◎中国银行(+2%)、◎民生银行(+2%)、◎交通银行(+2%)",趋势,4.2,1.44,5.64,0,动量<2
,旅游及消闲设施,8,2,3.81,2.11,29.58,"金沙中国有限公司(6/8,-0%)、中国中免(6/8,-3%)、◎海昌海洋公园(+4%)、◆同程旅行(+7%)、◎港铁公司(+2%)、◎中国中免(+3%)、◆美高梅中国(+2%)、◎中国东方航空股份(+1%)、◎中国国航(+1%)",—,2.95,2.59,5.54,0,腿池外
,工用运输,20,4,4.8,1.36,19.04,"中远海运港口(8/8,+10%)、德翔海运(6/8,+58%)、中远海能(6/8,+19%)、招商局港口(6/8,+10%)、◆中集集团(+5%)、◎中远海能(-0%)、◆顺丰控股(+2%)、◎太平洋航运(-0%)、◎德翔海运(-1%)、◆中远海运港口(+0%)、◆中通快递-W(+2%)",—,3.71,1.67,5.38,0,腿池外
,支援服务,6,1,5.98,0.61,0.85,"新东方-S(7/8,+5%)、◎新东方-S(+2%)",—,4.62,0.75,5.37,0,腿池外
,原材料,8,1,7.9,-0.61,-3.42,"中国心连心化肥(8/8,+22%)、◎中国心连心化肥(+0%)、◎中国旭阳集团(+2%)、◎东岳集团(-1%)、◎玖龙纸业(-1%)",—,6.11,-0.75,5.36,0,腿池外
,黄金及贵金属,8,2,3.89,1.84,23.21,"万国黄金集团(6/8,+26%)、山东黄金(6/8,+17%)、◎潼关黄金(+1%)、◎紫金黄金国际(+2%)、◆自由黄金-DRS(+4%)、◎灵宝黄金(+0%)、◎万国黄金集团(+1%)、◎赤峰黄金(-1%)、◎紫金矿业(+1%)",—,3.01,2.26,5.27,0,腿池外
,煤炭,6,1,5.89,0.44,3.68,"兖煤澳大利亚(7/8,+10%)、◎MONGOL MINING(+5%)、◎中国神华(+2%)、◎兖煤澳大利亚(+1%)、◎首钢资源(+1%)、◎兖矿能源(+1%)、◎中煤能源(-1%)",—,4.56,0.54,5.1,0,腿池外
,石油及天然气,14,3,4.59,0.98,8.28,"中石化炼化工程(7/8,+8%)、中国石油化工股份(6/8,+10%)、山东墨龙(6/8,-3%)、◎中石化炼化工程(+6%)、◎中国石油化工股份(+1%)、◎中国石油股份(+1%)、◎中国海洋石油(+1%)、◎山东墨龙(+0%)、◎中海油田服务(+1%)",—,3.55,1.2,4.75,0,腿池外
,食物饮品,4,1,3.77,1.46,20.45,"优然牧业(6/8,+11%)、◆优然牧业(+8%)、◆百威亚太(+4%)、◆蒙牛乳业(+3%)、◎海天味业(+2%)、◆农夫山泉(+2%)、◎珍酒李渡(+2%)、◆青岛啤酒股份(+2%)",—,2.92,1.79,4.71,0,腿池外
,公用事业,26,5,4.9,0.74,10.33,"中广核电力(8/8,+9%)、大唐发电(7/8,+5%)、粤海投资(6/8,+8%)、新奥能源(6/8,+7%)、华能国际电力股份(6/8,-4%)、◎中广核电力(+1%)、◎北控水务集团(+1%)、◆大唐发电(+2%)、◆龙源电力(+2%)、◆光大环境(+1%)、◎电能实业(+0%)、◆华润燃气(+1%)",趋势,3.79,0.91,4.7,0,动量<2+总分<5
,专业零售,10,2,4.88,0.57,6.3,"量化派(7/8,-4%)、美团-W(6/8,-11%)、◎美团-W(+5%)、◎京东集团-SW(+3%)、◎六福集团(+2%)、◎阿里巴巴-W(+2%)、◎名创优品(+0%)、◎量化派(+1%)、◎周大福(+0%)",—,3.77,0.7,4.47,0,腿池外
