行业,状态,前日排名,今日排名,前日趋势分,今日趋势分,前日动量分,今日动量分,前日总分,今日总分,排名变化,趋势分变化,动量分变化,总分变化
工业工程,池内,1.0,1.0,3.05,3.18,6.07,11.15,9.12,14.33,0.0,0.13000000000000034,5.08,5.210000000000001
资讯科技器材,池内,4.0,2.0,3.46,4.32,3.51,2.64,6.97,6.96,2.0,0.8600000000000003,-0.8699999999999997,-0.009999999999999787
保险,新进池,,3.0,,4.05,,1.08,,5.13,,4.05,1.08,5.13
建筑,池内,7.0,4.0,3.2,3.65,3.17,1.16,6.37,4.81,3.0,0.44999999999999973,-2.01,-1.5600000000000005
工用运输,池内,3.0,5.0,4.95,4.02,2.07,0.57,7.02,4.59,-2.0,-0.9300000000000006,-1.5,-2.4299999999999997
药品及生物科技,池内,6.0,6.0,2.98,3.32,3.65,0.48,6.63,3.8,0.0,0.33999999999999986,-3.17,-2.83
银行,新进池,,7.0,,2.68,,1.09,,3.77,,2.68,1.09,3.77
地产,新进池,,8.0,,3.95,,-0.25,,3.7,,3.95,-0.25,3.7
公用事业,池内,8.0,9.0,4.0,3.15,2.03,0.16,6.03,3.31,-1.0,-0.8500000000000001,-1.8699999999999999,-2.72
石油及天然气,池内,5.0,10.0,4.58,3.29,2.22,-0.39,6.8,2.9,-5.0,-1.29,-2.6100000000000003,-3.9
一般金属及矿石,退出池,2.0,,3.34,,4.29,,7.63,,,-3.34,-4.29,-7.63
软件服务,退出池,9.0,,3.79,,0.39,,4.18,,,-3.79,-0.39,-4.18
