排名,industry,得分,股票数,趋势分,动量分,动量入池分,代表股,入池,趋势贡献,动量贡献,总分
1,工业工程,54,11,4.35,4.4,61.59,"中船防务(8/8,+18%)、伟禄科技股份(7/8,+78%)、拓璞数控(7/8,+17%)、中国重汽(7/8,+2%)、三一国际(6/8,+34%)、◎海光芯正(+32%)、◆伟禄科技股份(+7%)、◎广合科技(-1%)、◆中船防务(+3%)、◆三一国际(+3%)、◆中国重汽(+2%)、◎三环集团(-3%)",趋势+动量,3.04,5.72,8.76
2,药品及生物科技,36,7,4.38,4.22,59.16,"基石药业-B(8/8,+4%)、剂泰科技-P(7/8,+44%)、英矽智能(7/8,+6%)、和黄医药(6/8,+12%)、凯莱英(6/8,+10%)、◎剂泰科技-P(+14%)、◆金斯瑞生物科技(+12%)、◆英矽智能(+7%)、◆中国生物制药(+7%)、◆泰格医药(+7%)、◆凯莱英(+7%)、◆银诺医药-B(+8%)",趋势+动量,3.07,5.49,8.56
3,资讯科技器材,26,5,4.84,3.66,51.2,"剑桥科技(8/8,+48%)、优必选(7/8,-6%)、映美控股(6/8,+142%)、汇聚科技(6/8,+16%)、联想集团(6/8,+6%)、◎映美控股(-11%)、◎剑桥科技(+1%)、◎中际旭创(-3%)、◎美格智能(-5%)、◎长飞光纤光缆(-2%)、◎汇聚科技(-3%)、◆极智嘉-W(-2%)",趋势+动量,3.39,4.76,8.15
4,石油及天然气,18,4,4.42,3.63,30.51,"中石化炼化工程(7/8,+15%)、中国海洋石油(6/8,+7%)、中国石油股份(6/8,+6%)、山东墨龙(6/8,+0%)、◎山东墨龙(+8%)、◎中海油田服务(+7%)、◎中石化炼化工程(+4%)、◎中国海洋石油(+4%)、◎中国石油化工股份(+4%)、◎中国石油股份(+4%)",趋势+动量,3.09,4.72,7.81
5,农业产品,18,3,5.95,2.62,11.0,"牧原股份(7/8,+15%)、中粮家佳康(7/8,+12%)、德康农牧(7/8,+12%)、◆中粮家佳康(+7%)、◎牧原股份(-1%)、◎德康农牧(-0%)",趋势,4.16,3.41,7.57
6,一般金属及矿石,14,2,6.68,1.93,26.94,"中国铝业(8/8,+6%)、天工国际(7/8,+12%)、◆洛阳钼业(+8%)、◆江西铜业股份(+5%)、◎中国有色矿业(+4%)、◆五矿资源(+5%)、◎天工国际(+2%)、◎中国黄金国际(+3%)、◎中国铝业(+2%)",动量,4.68,2.51,7.19
7,建筑,12,2,5.86,2.03,22.72,"怡俊集团控股(7/8,+131%)、华新建材(7/8,+17%)、◆怡俊集团控股(+17%)、◎华新建材(+2%)、◎海螺水泥(+1%)、◎中国建材(+1%)、◎中国中铁(+1%)、◎中国建筑国际(+2%)、◎乙德投资控股(+3%)",动量,4.1,2.64,6.74
8,软件服务,44,8,5.0,2.14,30.0,"群核科技(8/8,+28%)、云知声(8/8,+23%)、粤港湾智算(7/8,+14%)、范式智能(7/8,-0%)、迈富时(6/8,+28%)、◎群核科技(-1%)、◎云知声(+7%)、◎心动公司(-3%)、◎粤港湾智算(-2%)、◆新意网集团(+2%)、◆范式智能(+1%)、◆地平线机器人-W(+0%)",趋势+动量,3.5,2.78,6.28
9,公用事业,50,9,5.29,1.91,26.73,"大唐发电(8/8,+11%)、华能国际电力股份(8/8,-1%)、新奥能源(7/8,+10%)、华润燃气(7/8,+10%)、粤海投资(7/8,+8%)、◆华润燃气(+5%)、◆昆仑能源(+5%)、◎大唐发电(+3%)、◆新奥能源(+4%)、◎香港中华煤气(+2%)、◆北京控股(+2%)、◎华能国际电力股份(+2%)",趋势+动量,3.7,2.48,6.18
10,地产,18,4,4.22,1.54,21.55,"锦艺集团控股(7/8,+40%)、华润万象生活(6/8,+2%)、长实集团(6/8,+1%)、万科企业(6/8,+1%)、◎锦艺集团控股(+2%)、◆龙湖集团(+3%)、◆建发国际集团(+4%)、◎越秀地产(+2%)、◆万科企业(+3%)、◎碧桂园(+0%)、◆太古地产(+1%)",趋势+动量,2.95,2.0,4.95
11,银行,24,5,4.58,-0.12,-1.7,"民生银行(7/8,+4%)、汇丰控股(7/8,+2%)、交通银行(6/8,+8%)、招商银行(6/8,+7%)、渣打集团(6/8,+2%)、◎渣打集团(-0%)、◆中国光大银行(+1%)、◆中信银行(+1%)、◎民生银行(+1%)、◆东亚银行(+1%)、◆建设银行(+0%)、◎交通银行(-0%)",趋势,3.21,-0.16,3.05
12,媒体及娱乐,16,4,3.86,0.13,1.75,"东方甄选(6/8,+22%)、赤子城科技(6/8,+8%)、阅文集团(6/8,+3%)、大麦娱乐(6/8,-7%)、◎中国儒意(-3%)、◎大麦娱乐(+1%)、◎哔哩哔哩-W(+0%)、◎东方甄选(-0%)、◎阅文集团(-1%)、◎汇量科技(-2%)、◎赤子城科技(-3%)",趋势,2.7,0.17,2.87
