排名,industry,得分,股票数,趋势分,动量分,动量入池分,代表股,入池,趋势贡献,动量贡献,总分
1,资讯科技器材,52,10,4.81,9.25,170.07,"联想控股(8/8,+12%)、映美控股(7/8,+164%)、剑桥科技(7/8,+48%)、美格智能(7/8,+35%)、创想三维(7/8,+11%)、◆映美控股(+85%)、◆剑桥科技(+24%)、◆中际旭创(+20%)、◆美格智能(+22%)、◆汇聚科技(+11%)、◆长飞光纤光缆(+10%)、◆比亚迪电子(+7%)",趋势+动量,3.82,11.14,14.96
2,工业工程,66,11,5.28,5.94,83.1,"拓璞数控(8/8,+22%)、中船防务(8/8,+11%)、中国重汽(8/8,-2%)、伟禄科技股份(7/8,+57%)、建滔积层板(7/8,+34%)、◆海光芯正(+9%)、◆芯碁微装(+13%)、◎拓璞数控(+5%)、◆广合科技(+15%)、◆三环集团(+12%)、◆胜宏科技(+9%)、◆大族数控(+8%)",趋势+动量,4.2,7.16,11.36
3,软件服务,64,11,5.3,5.05,70.73,"群核科技(8/8,+27%)、粤港湾智算(8/8,+14%)、云知声(8/8,+12%)、迈富时(7/8,+37%)、阜博集团(7/8,+34%)、◆群核科技(+30%)、◆心动公司(+13%)、◆粤港湾智算(+10%)、◎禾赛-W(+2%)、◎云知声(+0%)、◆五一视界(+2%)、◆阜博集团(-0%)",趋势+动量,4.21,6.08,10.29
4,药品及生物科技,30,6,4.26,2.25,31.51,"基石药业-B(8/8,+14%)、和黄医药(7/8,+13%)、石药集团(6/8,+12%)、凯莱英(6/8,+6%)、英矽智能(6/8,-2%)、◆剂泰科技-P(+12%)、◆复星医药(+7%)、◎和黄医药(-1%)、◆阿里健康(+1%)、◆国药控股(+1%)、◆恒瑞医药(+1%)、◎石药集团(-0%)",趋势+动量,3.39,2.71,6.1
5,媒体及娱乐,12,3,3.86,2.51,35.03,"东方甄选(6/8,+21%)、赤子城科技(6/8,+10%)、阅文集团(6/8,+1%)、◎中国儒意(+11%)、◆大麦娱乐(+3%)、◎汇量科技(+1%)、◆赤子城科技(+1%)、◎阅文集团(-1%)、◆哔哩哔哩-W(+2%)、◆东方甄选(+2%)",动量,3.07,3.02,6.09
6,地产,14,3,4.38,1.93,26.96,"锦艺集团控股(7/8,+42%)、太古地产(6/8,+2%)、长实集团(6/8,-0%)、◆锦艺集团控股(+9%)、◎碧桂园(+0%)、◎融创中国(-4%)、◎越秀地产(-1%)、◎新鸿基地产(-0%)、◆信和置业(+0%)、◆长实集团(-1%)",动量,3.48,2.33,5.81
7,半导体,12,3,3.84,1.76,24.58,"长光辰芯(6/8,+18%)、曦智科技-P(6/8,+1%)、ASMPT(6/8,+0%)、◎澜起科技(+7%)、◎兆易创新(+6%)、◎ASMPT(+6%)、◆天岳先进(+5%)、◆圣邦股份(+5%)、◆上海复旦(+3%)、◆中芯国际(+2%)",动量,3.05,2.12,5.17
8,公用事业,30,6,4.75,0.56,7.89,"大唐发电(7/8,+8%)、中广核电力(7/8,+6%)、华能国际电力股份(7/8,-4%)、粤海投资(6/8,+7%)、新奥能源(6/8,+6%)、◎大唐发电(+2%)、◆长江基建集团(+1%)、◎龙源电力(+0%)、◆香港中华煤气(+1%)、◎电能实业(+0%)、◆华能国际电力股份(+1%)、◆中电控股(-0%)",趋势,3.78,0.67,4.45
9,银行,38,7,5.19,-0.34,-4.79,"中国银行(7/8,+12%)、交通银行(7/8,+8%)、中银香港(7/8,+4%)、汇丰控股(7/8,+3%)、民生银行(7/8,+3%)、◎渣打集团(+1%)、◎汇丰控股(+1%)、◆中银香港(-0%)、◎交通银行(-1%)、◎中国银行(-2%)、◎民生银行(-2%)、◎招商银行(-3%)",趋势,4.13,-0.41,3.72
10,保险,38,8,4.59,-0.94,-13.19,"中国人民保险集团(7/8,+15%)、中国财险(7/8,+9%)、新华保险(7/8,+4%)、阳光保险(6/8,+14%)、中国人寿(6/8,+9%)、◎中国人寿(-1%)、◆友邦保险(-1%)、◎新华保险(-3%)、◆中国平安(-2%)、◆中国财险(-2%)、◎中国太平(-4%)、◎中国人民保险集团(-3%)",趋势,3.65,-1.13,2.52
