industry,prefixed,code6,name,m,chg1,turnover5,date
工业工程,hk06031,06031,三一重工,-1.13,-0.3,62881061.8,2026-09-11
工业工程,hk03931,03931,中创新航,-1.43,-0.88,60666179.1,2026-09-11
工业工程,hk01286,01286,鹰普精密,-1.43,0.57,48156488.6,2026-09-11
工业工程,hk03393,03393,威胜控股,-1.6,-0.49,48001343.4,2026-09-11
工业工程,hk01882,01882,海天国际,-1.81,-0.85,55509212.4,2026-09-11
工业工程,hk00868,00868,信义玻璃,-1.91,-0.45,60741810.6,2026-09-11
工业工程,hk01989,01989,广合科技,-2.11,-2.5,166332524.6,2026-09-11
工业工程,hk02050,02050,三花智控,-2.22,-0.73,135520980.3,2026-09-11
工业工程,hk03800,03800,协鑫科技,-2.24,-0.7,124896085.7,2026-09-11
工业工程,hk03200,03200,大族数控,-2.4,-1.99,148575546.0,2026-09-11
工业工程,hk02357,02357,中航科工,-2.52,-2.18,49014896.4,2026-09-11
工业工程,hk03750,03750,宁德时代,-2.54,-2.49,1381300507.3,2026-09-11
工业工程,hk03898,03898,时代电气,-2.54,-1.14,101267675.8,2026-09-11
工业工程,hk00968,00968,信义光能,-2.54,-1.88,80597035.8,2026-09-11
工业工程,hk02338,02338,潍柴动力,-3.19,-0.89,644070047.1,2026-09-11
工业工程,hk01133,01133,哈尔滨电气,-3.19,-2.04,179763514.8,2026-09-11
工业工程,hk06656,06656,思格新能,-3.35,-2.51,127210838.8,2026-09-11
工业工程,hk02476,02476,胜宏科技,-3.4,-2.25,623919915.1,2026-09-11
工业工程,hk06088,06088,FIT HON TENG,-3.91,-3.83,145391461.1,2026-09-11
工业工程,hk01072,01072,东方电气,-4.07,-3.06,95187573.2,2026-09-11
工业工程,hk00631,00631,三一国际,-4.56,-2.87,123989465.3,2026-09-11
工业工程,hk03808,03808,中国重汽,-5.13,-3.22,261401533.0,2026-09-11
工业工程,hk02865,02865,钧达股份,-10.1,-6.44,62595337.2,2026-09-11
工用支援,hk02618,02618,京东物流,-0.48,0.37,103257935.5,2026-09-11
工用运输,hk03877,03877,中国船舶租赁,3.16,1.85,59074341.7,2026-09-11
工用运输,hk01308,01308,海丰国际,1.23,1.75,246314435.2,2026-09-11
工用运输,hk00144,00144,招商局港口,0.16,0.06,53480358.9,2026-09-11
工用运输,hk00316,00316,东方海外国际,-0.2,2.27,239531607.3,2026-09-11
工用运输,hk01199,01199,中远海运港口,-0.78,-0.35,56901533.1,2026-09-11
工用运输,hk02057,02057,中通快递-W,-0.84,-1.52,258719436.3,2026-09-11
工用运输,hk06198,06198,青岛港,-1.13,-0.59,45712040.2,2026-09-11
工用运输,hk01138,01138,中远海能,-1.39,-2.13,370916663.8,2026-09-11
工用运输,hk01919,01919,中远海控,-1.47,-1.08,293135556.0,2026-09-11
工用运输,hk02343,02343,太平洋航运,-1.6,-1.04,79202199.1,2026-09-11
工用运输,hk01519,01519,极兔速递-W,-2.09,-1.11,187724643.5,2026-09-11
工用运输,hk06936,06936,顺丰控股,-2.6,-0.54,67602515.4,2026-09-11
工用运输,hk00576,00576,浙江沪杭甬,-2.77,-2.45,95431691.6,2026-09-11
工用运输,hk02510,02510,德翔海运,-3.33,-3.95,45761640.0,2026-09-11
工用运输,hk00152,00152,深圳国际,-6.64,-5.79,49537803.4,2026-09-11
建筑,hk03323,03323,中国建材,0.64,1.02,127451556.8,2026-09-11
建筑,hk01800,01800,中国交通建设,-0.11,0.43,45855879.6,2026-09-11
建筑,hk00914,00914,海螺水泥,-2.04,-1.55,150135262.1,2026-09-11
建筑,hk00390,00390,中国中铁,-2.26,-2.35,93090679.2,2026-09-11
建筑,hk06655,06655,华新建材,-2.81,-2.26,53903119.9,2026-09-11
建筑,hk03311,03311,中国建筑国际,-3.32,-2.83,75719179.0,2026-09-11
建筑,hk02442,02442,怡俊集团控股,-4.37,-8.26,51624480.0,2026-09-11
支援服务,hk09901,09901,新东方-S,-1.71,-0.14,158892420.8,2026-09-11
旅游及消闲设施,hk00753,00753,中国国航,1.2,2.14,85030414.1,2026-09-11
旅游及消闲设施,hk02588,02588,中银航空租赁,0.32,0.54,72197978.4,2026-09-11
旅游及消闲设施,hk09987,09987,百胜中国,0.15,1.57,222578916.7,2026-09-11
旅游及消闲设施,hk00027,00027,银河娱乐,0.14,2.18,318801078.7,2026-09-11
旅游及消闲设施,hk00066,00066,港铁公司,-1.08,-1.85,143255873.0,2026-09-11
旅游及消闲设施,hk01928,01928,金沙中国有限公司,-1.97,-0.15,204973661.7,2026-09-11
旅游及消闲设施,hk02282,02282,美高梅中国,-2.28,-0.1,48398105.4,2026-09-11
旅游及消闲设施,hk06862,06862,海底捞,-2.4,1.46,1038099128.2,2026-09-11
旅游及消闲设施,hk09961,09961,携程集团-S,-2.64,-0.97,1023314134.6,2026-09-11
旅游及消闲设施,hk00999,00999,小菜园,-2.78,-4.82,66298839.5,2026-09-11
旅游及消闲设施,hk00293,00293,国泰航空,-3.68,-2.8,208839020.9,2026-09-11
旅游及消闲设施,hk00780,00780,同程旅行,-4.1,-2.22,165463638.7,2026-09-11
汽车,hk01114,01114,BRILLIANCE CHI,0.28,2.55,41782979.3,2026-09-11
汽车,hk09863,09863,零跑汽车,0.04,0.34,188657958.6,2026-09-11
汽车,hk02333,02333,长城汽车,-0.31,0.33,150664733.1,2026-09-11
汽车,hk03606,03606,福耀玻璃,-0.66,0.0,158975002.7,2026-09-11
汽车,hk09866,09866,蔚来-SW,-1.21,0.49,161435190.3,2026-09-11
汽车,hk01211,01211,比亚迪股份,-1.48,0.38,1725821173.0,2026-09-11
汽车,hk09868,09868,小鹏集团-W,-1.48,-0.62,412672131.7,2026-09-11
汽车,hk00175,00175,吉利汽车,-1.84,-0.06,647423278.5,2026-09-11
汽车,hk00425,00425,敏实集团,-2.13,0.42,84786628.4,2026-09-11
汽车,hk02015,02015,理想汽车-W,-2.17,-0.3,492281815.8,2026-09-11
汽车,hk01585,01585,雅迪控股,-2.64,-1.61,141051985.8,2026-09-11
汽车,hk00179,00179,德昌电机控股,-4.73,-3.68,63210011.0,2026-09-11
汽车,hk02889,02889,博泰车联,-17.59,-12.68,79369891.0,2026-09-11
消费者主要零售商,hk02698,02698,乐舒适,-0.96,0.27,48362279.9,2026-09-11
消费者主要零售商,hk01044,01044,恒安国际,-3.2,-2.91,109068383.8,2026-09-11
煤炭,hk03668,03668,兖煤澳大利亚,2.39,3.72,99068191.7,2026-09-11
煤炭,hk01088,01088,中国神华,-0.64,-0.77,554718121.1,2026-09-11
煤炭,hk00639,00639,首钢资源,-0.74,-0.49,120894182.3,2026-09-11
煤炭,hk01898,01898,中煤能源,-2.64,-2.11,189623928.8,2026-09-11
煤炭,hk00975,00975,MONGOL MINING,-3.03,-0.31,41556434.9,2026-09-11
煤炭,hk01171,01171,兖矿能源,-3.55,-2.26,439261709.3,2026-09-11
电讯,hk02477,02477,经纬天地,5.56,6.19,64301638.2,2026-09-11
电讯,hk00762,00762,中国联通,0.23,-0.68,489243340.8,2026-09-11
电讯,hk00941,00941,中国移动,0.01,0.06,814480644.1,2026-09-11
电讯,hk06823,06823,香港电讯-SS,-0.38,-0.16,59509236.1,2026-09-11
电讯,hk00008,00008,电讯盈科,-0.41,-0.37,53588635.4,2026-09-11
电讯,hk00788,00788,中国铁塔,-0.68,-0.33,169442634.1,2026-09-11
电讯,hk00728,00728,中国电信,-1.38,-1.85,333823508.5,2026-09-11
石油及天然气,hk03899,03899,中集安瑞科,-0.8,-3.4,47332442.6,2026-09-11
石油及天然气,hk02883,02883,中海油田服务,-1.9,-3.0,166182383.5,2026-09-11
石油及天然气,hk00386,00386,中国石油化工股份,-2.18,-1.44,602986963.3,2026-09-11
石油及天然气,hk00857,00857,中国石油股份,-2.55,-1.09,858968824.1,2026-09-11
石油及天然气,hk00883,00883,中国海洋石油,-4.1,-2.56,1977466948.2,2026-09-11
石油及天然气,hk00568,00568,山东墨龙,-4.51,-2.26,279139352.9,2026-09-11
石油及天然气,hk02386,02386,中石化炼化工程,-4.68,-2.13,123287878.2,2026-09-11
纺织及服饰,hk01440,01440,应星控股,27.51,22.83,73688924.3,2026-09-11
纺织及服饰,hk03306,03306,江南布衣,2.99,0.67,62295940.0,2026-09-11
纺织及服饰,hk02313,02313,申洲国际,0.82,2.04,254361176.2,2026-09-11
纺织及服饰,hk03998,03998,波司登,-0.02,0.23,99282040.4,2026-09-11
纺织及服饰,hk02020,02020,安踏体育,-1.07,0.56,600234360.3,2026-09-11
纺织及服饰,hk02331,02331,李宁,-2.71,-0.38,616183928.7,2026-09-11
纺织及服饰,hk01368,01368,特步国际,-4.25,-2.52,80905249.0,2026-09-11
纺织及服饰,hk06181,06181,老铺黄金,-5.89,-4.64,397663624.8,2026-09-11
综合企业,hk00267,00267,中信股份,0.24,0.07,223154309.9,2026-09-11
综合企业,hk00001,00001,长和,-1.53,-1.5,357216567.5,2026-09-11
综合企业,hk00019,00019,太古股份公司A,-2.91,-2.62,116411091.3,2026-09-11
药品及生物科技,hk07630,07630,英派药业-B,5.37,11.02,43189012.8,2026-09-11
药品及生物科技,hk02591,02591,银诺医药-B,3.44,1.27,74480952.6,2026-09-11
药品及生物科技,hk00241,00241,阿里健康,-0.81,0.5,146991722.6,2026-09-11
药品及生物科技,hk06160,06160,百济神州,-1.16,-0.39,804574630.2,2026-09-11
药品及生物科技,hk06618,06618,京东健康,-1.31,0.29,326278881.7,2026-09-11
药品及生物科技,hk02359,02359,药明康德,-1.93,-1.15,513550202.2,2026-09-11
药品及生物科技,hk03347,03347,泰格医药,-1.93,-1.24,73399966.8,2026-09-11
药品及生物科技,hk01099,01099,国药控股,-1.94,-0.9,72087589.4,2026-09-11
药品及生物科技,hk01548,01548,金斯瑞生物科技,-1.95,1.12,1068634429.7,2026-09-11
药品及生物科技,hk00867,00867,康哲药业,-2.0,-0.92,94440981.2,2026-09-11
药品及生物科技,hk09688,09688,再鼎医药,-2.2,0.91,126704517.0,2026-09-11
药品及生物科技,hk02268,02268,药明合联,-2.27,-1.3,355469943.4,2026-09-11
药品及生物科技,hk02269,02269,药明生物,-2.59,-1.05,1236652385.1,2026-09-11
药品及生物科技,hk01276,01276,恒瑞医药,-2.76,-0.45,134490225.0,2026-09-11
药品及生物科技,hk01530,01530,三生制药,-2.85,-0.64,307295673.9,2026-09-11
药品及生物科技,hk06990,06990,科伦博泰生物,-2.89,-1.94,233028848.1,2026-09-11
药品及生物科技,hk09995,09995,荣昌生物,-2.89,-0.87,150646909.9,2026-09-11
药品及生物科技,hk02096,02096,先声药业,-3.1,-1.52,52569682.0,2026-09-11
药品及生物科技,hk03320,03320,华润医药,-3.1,-1.16,60884925.0,2026-09-11
药品及生物科技,hk01093,01093,石药集团,-3.14,-0.68,1042225034.7,2026-09-11
药品及生物科技,hk01801,01801,信达生物,-3.17,-0.85,1089122213.4,2026-09-11
药品及生物科技,hk02162,02162,康诺亚-B,-3.28,-0.68,127177055.7,2026-09-11
药品及生物科技,hk02196,02196,复星医药,-3.29,-1.09,126144931.5,2026-09-11
药品及生物科技,hk03759,03759,康龙化成,-3.61,-2.62,142180846.9,2026-09-11
药品及生物科技,hk06821,06821,凯莱英,-3.61,-2.82,91106195.1,2026-09-11
药品及生物科技,hk09887,09887,维立志博-B,-3.86,-2.9,89243914.6,2026-09-11
药品及生物科技,hk02228,02228,晶泰控股,-3.87,-3.82,303710281.5,2026-09-11
药品及生物科技,hk02696,02696,复宏汉霖,-3.92,-2.33,173972272.7,2026-09-11
药品及生物科技,hk09969,09969,诺诚健华,-4.15,-1.1,91985404.7,2026-09-11
药品及生物科技,hk03933,03933,联邦制药,-4.29,-2.4,47684728.2,2026-09-11
药品及生物科技,hk09926,09926,康方生物,-4.49,-3.53,793888296.0,2026-09-11
药品及生物科技,hk06127,06127,昭衍新药,-4.51,-2.93,56918323.7,2026-09-11
