排名,industry,得分,股票数,趋势分,动量分,动量入池分,代表股,入池,趋势贡献,动量贡献,总分,池内,出池原因
1,工业工程,64,13,4.36,4.67,65.38,"伟禄科技股份(8/8,+62%)、中船防务(8/8,+25%)、拓璞数控(7/8,+21%)、FIT HON TENG(7/8,+8%)、三一国际(6/8,+37%)、◎海光芯正(+3%)、◎中船防务(+6%)、◆拓璞数控(+11%)、◎伟禄科技股份(+4%)、◆FIT HON TENG(+7%)、◆东方电气(+5%)、◎中国重汽(+4%)",趋势+动量,3.05,6.07,9.12,1,
2,一般金属及矿石,20,4,4.77,3.3,46.28,"中国铝业(8/8,+1%)、中国有色矿业(6/8,+17%)、天工国际(6/8,+10%)、创新实业(6/8,-5%)、◆中广核矿业(+7%)、◆佳鑫国际资源(+7%)、◎中国黄金国际(+4%)、◎中国有色矿业(+3%)、◆创新实业(+6%)、◎江西铜业股份(+2%)、◎洛阳钼业(+1%)",动量,3.34,4.29,7.63,1,
3,工用运输,22,3,7.07,1.59,22.23,"中远海运港口(8/8,+16%)、青岛港(8/8,+14%)、中远海能(7/8,+37%)、◎中远海能(+5%)、◆青岛港(+3%)、◎太平洋航运(+4%)、◎中远海运港口(+3%)、◎中远海控(+2%)、◆德翔海运(+1%)、◎东方海外国际(-0%)",趋势+动量,4.95,2.07,7.02,1,
4,资讯科技器材,32,6,4.95,2.7,37.78,"剑桥科技(8/8,+38%)、汇聚科技(8/8,+17%)、映美控股(6/8,+103%)、长飞光纤光缆(6/8,+40%)、联想集团(6/8,+12%)、◎长飞光纤光缆(+7%)、◎汇聚科技(+7%)、◆联想控股(+8%)、◆联想集团(+7%)、◎映美控股(-6%)、◎剑桥科技(-2%)、◎中际旭创(+1%)",趋势+动量,3.46,3.51,6.97,1,
5,石油及天然气,20,3,6.55,1.71,14.37,"山东墨龙(8/8,+2%)、中石化炼化工程(7/8,+15%)、中国海洋石油(7/8,+8%)、◎中海油田服务(+0%)、◎山东墨龙(-1%)、◎中国石油股份(+1%)、◎中石化炼化工程(+0%)、◎中国石油化工股份(+0%)、◎中国海洋石油(-0%)",趋势,4.58,2.22,6.8,1,
6,药品及生物科技,30,6,4.26,2.81,39.38,"剂泰科技-P(7/8,+46%)、英矽智能(7/8,+15%)、基石药业-B(7/8,+6%)、凯莱英(6/8,+11%)、复星医药(6/8,+2%)、◎剂泰科技-P(+5%)、◎英矽智能(+4%)、◎泰格医药(+4%)、◎银诺医药-B(+4%)、◎凯莱英(+0%)、◎金斯瑞生物科技(-3%)、◆康哲药业(+1%)",趋势+动量,2.98,3.65,6.63,1,
7,建筑,14,3,4.57,2.44,23.92,"华新建材(7/8,+19%)、怡俊集团控股(6/8,+108%)、中国中铁(6/8,-1%)、◎乙德投资控股(+10%)、◎怡俊集团控股(-2%)、◎中国中铁(+1%)、◎中国建筑国际(+1%)、◎海螺水泥(+1%)、◎华新建材(+0%)、◎中国建材(+0%)",动量,3.2,3.17,6.37,1,
8,公用事业,48,8,5.71,1.56,21.84,"大唐发电(8/8,+16%)、新奥能源(8/8,+9%)、华能国际电力股份(8/8,+1%)、华润燃气(7/8,+10%)、电能实业(7/8,+7%)、◎大唐发电(+3%)、◎华能国际电力股份(+2%)、◆中电控股(+2%)、◆华润电力(+1%)、◎新奥能源(+0%)、◆龙源电力(+1%)、◎昆仑能源(-0%)",趋势+动量,4.0,2.03,6.03,1,
,煤炭,14,2,6.87,1.68,14.09,"兖煤澳大利亚(8/8,+14%)、首钢资源(7/8,+14%)、◎兖矿能源(+3%)、◎中国神华(+3%)、◎首钢资源(+2%)、◎中煤能源(+1%)、◎兖煤澳大利亚(+1%)、◎MONGOL MINING(-2%)",—,4.81,2.18,6.99,0,腿池外
,半导体,10,2,4.79,1.54,21.6,"ASMPT(7/8,-0%)、曦智科技-P(6/8,+8%)、◆曦智科技-P(+19%)、◎ASMPT(+5%)、◆爱芯元智(+9%)、◆英诺赛科(+4%)、◎圣邦股份(+2%)、◎天岳先进(+1%)、◎上海复旦(+1%)",—,3.35,2.0,5.35,0,腿池外
,农业产品,12,2,5.95,0.27,1.11,"牧原股份(7/8,+14%)、中粮家佳康(7/8,+12%)、◎中粮家佳康(-1%)、◎牧原股份(-0%)、◎德康农牧(-0%)",—,4.16,0.35,4.51,0,腿池外
,食物饮品,10,2,4.7,0.92,12.93,"安德利果汁(7/8,+25%)、优然牧业(6/8,+10%)、◆安德利果汁(+15%)、◎溜溜梅(-4%)、◆优然牧业(+2%)、◎百威亚太(-1%)、◎华润啤酒(-2%)、◆东鹏饮料(+0%)、◎蒙牛乳业(-2%)",—,3.29,1.2,4.49,0,腿池外
,其他医疗保健,6,1,5.84,0.27,3.46,"今海医疗科技(7/8,+30%)、◎今海医疗科技(+13%)、◎康耐特光学(+0%)、◎时代天使(+1%)、◎巨子生物(-3%)、◎毛戈平(-3%)、◆微创医疗(-3%)、◎平安好医生(-4%)",—,4.09,0.35,4.44,0,腿池外
,软件服务,24,4,5.41,0.3,4.22,"粤港湾智算(8/8,+7%)、云知声(7/8,+19%)、群核科技(7/8,+16%)、新意网集团(6/8,+16%)、◆万国数据-SW(+2%)、◎粤港湾智算(+0%)、◆禾赛-W(+2%)、◎新意网集团(+1%)、◆九方智投控股(+2%)、◆速腾聚创(+2%)、◆滴普科技(+0%)",趋势,3.79,0.39,4.18,0,动量<2+总分<5
,地产,14,3,4.38,0.58,8.1,"锦艺集团控股(7/8,+44%)、长实集团(6/8,+4%)、太古地产(6/8,+3%)、◎锦艺集团控股(+4%)、◆长实集团(+2%)、◆九龙仓置业(+1%)、◎太古地产(+0%)、◎建发国际集团(-1%)、◆华润万象生活(-1%)、◆中国海外发展(-0%)",—,3.07,0.75,3.82,0,腿池外
,电讯,12,2,5.87,-0.24,-2.43,"电讯盈科(7/8,-0%)、中国联通(7/8,-9%)、◎电讯盈科(+2%)、◎中国联通(+1%)、◎香港电讯-SS(-0%)、◎中国移动(+0%)、◎中国铁塔(-0%)、◎中国电信(-1%)、◎经纬天地(-4%)",—,4.11,-0.31,3.8,0,腿池外
,综合企业,8,2,3.96,0.58,2.47,"中信股份(6/8,+16%)、太古股份公司A(6/8,+4%)、◎长和(+1%)、◎中信股份(+2%)、◎太古股份公司A(-1%)",—,2.77,0.75,3.52,0,腿池外
,银行,10,2,4.77,-0.04,-0.53,"汇丰控股(7/8,+3%)、渣打集团(6/8,+4%)、◎渣打集团(+1%)、◎中信银行(+0%)、◎建设银行(+1%)、◆工商银行(+0%)、◎交通银行(+0%)、◆汇丰控股(+1%)、◆中国银行(+1%)",—,3.34,-0.05,3.29,0,腿池外
,汽车,4,1,3.81,0.33,4.67,"德昌电机控股(6/8,-1%)、◆德昌电机控股(+5%)、◆蔚来-SW(+3%)、◎恒大汽车(+1%)、◆雅迪控股(+1%)、◎敏实集团(+0%)、◎长城汽车(+0%)、◎小鹏集团-W(-0%)",—,2.67,0.43,3.1,0,腿池外
,旅游及消闲设施,4,1,3.84,-0.56,-7.79,"美高梅中国(6/8,+2%)、◎中银航空租赁(-0%)、◎国泰航空(+0%)、◎港铁公司(+0%)、◎美高梅中国(-2%)、◎中国国航(+0%)、◆百胜中国(-1%)、◎银河娱乐(-1%)",—,2.69,-0.73,1.96,0,腿池外
,媒体及娱乐,4,1,3.84,-1.54,-21.5,"赤子城科技(6/8,+9%)、◎哔哩哔哩-W(+1%)、◆百度集团-W(+3%)、◎赤子城科技(+2%)、◎中国儒意(-2%)、◆网易云音乐(-3%)、◎汇量科技(-2%)、◆快手-W(-2%)",—,2.69,-2.0,0.69,0,腿池外
