industry,prefixed,code6,name,m,chg1,turnover5,date
一般金属及矿石,hk01208,01208,五矿资源,2.98,1.02,469624853.2,2026-09-10
一般金属及矿石,hk02099,02099,中国黄金国际,0.55,-1.95,457752676.0,2026-09-10
一般金属及矿石,hk03858,03858,佳鑫国际资源,0.35,-2.73,125520596.3,2026-09-10
一般金属及矿石,hk00358,00358,江西铜业股份,0.12,-1.99,457406871.1,2026-09-10
一般金属及矿石,hk01258,01258,中国有色矿业,-0.02,-2.43,238013967.0,2026-09-10
一般金属及矿石,hk03993,03993,洛阳钼业,-0.57,-2.58,589939265.2,2026-09-10
一般金属及矿石,hk02788,02788,创新实业,-0.62,-3.57,84791113.7,2026-09-10
一般金属及矿石,hk02600,02600,中国铝业,-1.89,-1.63,403085730.2,2026-09-10
一般金属及矿石,hk01378,01378,中国宏桥,-1.95,-4.17,635169618.2,2026-09-10
一般金属及矿石,hk00826,00826,天工国际,-1.96,-2.47,52348548.1,2026-09-10
一般金属及矿石,hk01772,01772,赣锋锂业,-2.24,-3.03,301284770.6,2026-09-10
一般金属及矿石,hk09696,09696,天齐锂业,-3.27,-3.61,89607315.8,2026-09-10
一般金属及矿石,hk01164,01164,中广核矿业,-5.1,-8.08,102122357.4,2026-09-10
专业零售,hk02685,02685,量化派,8.73,11.17,130190868.5,2026-09-10
专业零售,hk01929,01929,周大福,-1.7,-1.65,142387920.3,2026-09-10
专业零售,hk09618,09618,京东集团-SW,-1.84,-0.75,818848261.8,2026-09-10
专业零售,hk09988,09988,阿里巴巴-W,-2.53,-2.64,6566898612.2,2026-09-10
专业零售,hk09896,09896,名创优品,-3.85,-3.63,95860379.3,2026-09-10
专业零售,hk03690,03690,美团-W,-5.46,-3.92,2826424585.6,2026-09-10
保险,hk00376,00376,云锋金融,12.78,15.88,57603582.0,2026-09-10
保险,hk02628,02628,中国人寿,1.37,2.24,1392001983.9,2026-09-10
保险,hk02328,02328,中国财险,0.65,1.25,427757404.6,2026-09-10
保险,hk01339,01339,中国人民保险集团,0.63,1.54,303446985.5,2026-09-10
保险,hk01336,01336,新华保险,0.3,0.5,356674071.2,2026-09-10
保险,hk02601,02601,中国太保,0.16,1.02,287929737.6,2026-09-10
保险,hk00966,00966,中国太平,0.15,0.28,136179264.1,2026-09-10
保险,hk02672,02672,白鸽在线,-1.21,3.52,111514656.8,2026-09-10
保险,hk02318,02318,中国平安,-1.26,-1.08,1933596520.1,2026-09-10
保险,hk06963,06963,阳光保险,-1.59,-0.13,62269097.4,2026-09-10
保险,hk01299,01299,友邦保险,-2.16,-2.14,1687333844.4,2026-09-10
保险,hk06060,06060,众安在线,-5.21,-3.08,109874051.4,2026-09-10
公用事业,hk00002,00002,中电控股,1.58,0.38,247831949.9,2026-09-10
公用事业,hk01816,01816,中广核电力,0.74,0.16,115307580.5,2026-09-10
公用事业,hk00270,00270,粤海投资,0.62,0.11,65089488.8,2026-09-10
公用事业,hk00006,00006,电能实业,0.45,0.0,188440372.3,2026-09-10
公用事业,hk01038,01038,长江基建集团,0.17,-0.15,91917231.9,2026-09-10
公用事业,hk00003,00003,香港中华煤气,0.13,-0.41,177191262.6,2026-09-10
公用事业,hk00916,00916,龙源电力,-0.07,-0.91,82259989.6,2026-09-10
公用事业,hk00135,00135,昆仑能源,-0.39,-1.18,79425176.8,2026-09-10
公用事业,hk00902,00902,华能国际电力股份,-0.65,-2.12,170376582.2,2026-09-10
公用事业,hk01193,01193,华润燃气,-0.72,-1.32,83268646.5,2026-09-10
公用事业,hk00991,00991,大唐发电,-0.8,-3.02,111417451.4,2026-09-10
公用事业,hk00836,00836,华润电力,-0.93,-1.83,206215257.6,2026-09-10
公用事业,hk02688,02688,新奥能源,-1.05,-1.85,191970642.0,2026-09-10
公用事业,hk02380,02380,中国电力,-1.6,-2.1,47314820.9,2026-09-10
公用事业,hk00384,00384,中国燃气,-2.0,-1.16,74229317.6,2026-09-10
公用事业,hk00392,00392,北京控股,-4.93,-4.89,47489894.7,2026-09-10
其他医疗保健,hk02225,02225,今海医疗科技,11.54,0.54,128165475.6,2026-09-10
其他医疗保健,hk02526,02526,德适-B,1.37,5.09,71424058.9,2026-09-10
其他医疗保健,hk02367,02367,巨子生物,-1.62,-0.77,56559827.5,2026-09-10
其他医疗保健,hk01318,01318,毛戈平,-2.84,-1.35,62729852.9,2026-09-10
其他医疗保健,hk02276,02276,康耐特光学,-2.93,-3.67,56954174.8,2026-09-10
其他医疗保健,hk00853,00853,微创医疗,-3.11,-2.64,56502380.5,2026-08-31
其他医疗保健,hk01833,01833,平安好医生,-3.72,-1.21,53279667.0,2026-09-10
其他医疗保健,hk06699,06699,时代天使,-4.46,-4.73,49792241.3,2026-09-10
其他医疗保健,hk02252,02252,微创机器人-B,-5.18,-3.73,98923377.9,2026-08-31
其他医疗保健,hk01609,01609,天星医疗,-8.42,-5.32,41048740.0,2026-09-10
其他金融,hk03958,03958,东方证券,2.02,1.88,47932249.6,2026-09-10
其他金融,hk06066,06066,中信建投证券,1.09,1.18,72058450.0,2026-09-10
其他金融,hk06881,06881,中国银河,0.81,0.58,114445353.4,2026-09-10
其他金融,hk06099,06099,招商证券,0.5,0.67,65727761.3,2026-09-10
其他金融,hk01776,01776,广发证券,0.49,0.33,115911942.3,2026-09-10
其他金融,hk02611,02611,国泰海通,0.26,0.0,186855852.6,2026-09-10
其他金融,hk03360,03360,远东宏信,0.1,1.84,45454012.4,2026-09-10
其他金融,hk01788,01788,国泰君安国际,0.07,0.0,58470017.6,2026-09-10
其他金融,hk01359,01359,中国信达,0.0,0.56,45566209.8,2026-09-10
其他金融,hk03908,03908,中金公司,-0.17,-0.1,424566756.9,2026-09-10
其他金融,hk06030,06030,中信证券,-0.19,0.39,371597612.5,2026-09-10
其他金融,hk06886,06886,华泰证券,-0.19,-0.51,208388202.2,2026-09-10
其他金融,hk00388,00388,香港交易所,-1.14,-0.85,973863856.8,2026-09-10
其他金融,hk02799,02799,中信金融资产,-1.15,0.0,45164945.4,2026-09-10
农业产品,hk01610,01610,中粮家佳康,-2.08,-2.8,61870563.5,2026-09-10
农业产品,hk02419,02419,德康农牧,-2.78,-2.48,112197207.0,2026-09-10
农业产品,hk02714,02714,牧原股份,-4.05,-3.75,192845543.2,2026-09-10
半导体,hk02249,02249,晶合集成,3.81,3.18,43774797.8,2026-09-10
半导体,hk01347,01347,华虹宏力,0.8,1.25,2910624883.3,2026-09-10
半导体,hk01879,01879,曦智科技-P,0.6,-6.68,304139093.6,2026-09-10
半导体,hk00522,00522,ASMPT,-0.84,-2.37,476961682.7,2026-09-10
半导体,hk02577,02577,英诺赛科,-1.21,-2.58,179715022.4,2026-09-10
半导体,hk06809,06809,澜起科技,-1.41,-0.37,830901314.8,2026-09-10
半导体,hk03986,03986,兆易创新,-1.6,-0.83,1137475563.3,2026-09-10
半导体,hk00600,00600,爱芯元智,-2.19,-5.06,52544590.5,2026-09-10
半导体,hk01385,01385,上海复旦,-2.6,-2.39,45030587.6,2026-09-10
半导体,hk06082,06082,壁仞科技,-3.32,-1.94,403298613.9,2026-09-10
半导体,hk00981,00981,中芯国际,-3.48,-2.38,4110864757.5,2026-09-10
半导体,hk02726,02726,瀚天天成,-3.59,-3.64,41400398.3,2026-09-10
半导体,hk09903,09903,天数智芯,-4.46,-3.49,844109141.9,2026-09-10
半导体,hk02631,02631,天岳先进,-5.36,-5.38,90780258.0,2026-09-10
半导体,hk03277,03277,长光辰芯,-8.09,-5.47,187013859.2,2026-09-10
原材料,hk01866,01866,中国心连心化肥,2.28,2.46,139191328.4,2026-09-10
原材料,hk02689,02689,玖龙纸业,-0.88,-1.75,85629312.4,2026-09-10
原材料,hk01907,01907,中国旭阳集团,-1.25,-3.02,47424214.4,2026-09-10
原材料,hk00189,00189,东岳集团,-2.97,-2.75,294251702.9,2026-09-10
地产,hk00565,00565,锦艺集团控股,2.25,-0.11,56694769.0,2026-09-10
地产,hk00012,00012,恒基地产,0.79,1.06,164226802.7,2026-09-10
地产,hk01113,01113,长实集团,0.77,-0.42,270296235.3,2026-09-10
地产,hk01972,01972,太古地产,-0.37,-0.81,53241822.5,2026-09-10
地产,hk01908,01908,建发国际集团,-0.58,-0.72,111654830.0,2026-09-10
地产,hk01109,01109,华润置地,-0.59,-0.33,787292654.6,2026-09-10
地产,hk01997,01997,九龙仓置业,-0.69,-1.32,114540362.5,2026-09-10
地产,hk03900,03900,绿城中国,-1.29,0.0,64251965.2,2026-09-10
地产,hk00688,00688,中国海外发展,-1.43,-1.39,323941473.6,2026-09-10
地产,hk00083,00083,信和置业,-1.67,-1.43,78994145.4,2026-09-10
地产,hk00101,00101,恒隆地产,-1.72,-1.28,41487481.2,2026-09-10
地产,hk00016,00016,新鸿基地产,-1.87,-1.35,644941040.9,2026-09-10
地产,hk00960,00960,龙湖集团,-1.91,-1.48,139856061.8,2026-09-10
地产,hk02202,02202,万科企业,-2.76,-2.09,72293151.5,2026-09-10
地产,hk00817,00817,中国金茂,-2.79,-0.4,86570789.8,2026-09-10
地产,hk02423,02423,贝壳-W,-2.82,-1.91,525908684.4,2026-09-10
地产,hk01918,01918,融创中国,-3.68,-0.86,174531562.6,2026-09-10
地产,hk09993,09993,金辉控股,-4.8,-3.24,53527533.0,2026-09-10
地产,hk01209,01209,华润万象生活,-4.98,-5.13,234893709.0,2026-09-10
地产,hk02007,02007,碧桂园,-6.61,-3.23,61013418.2,2026-09-10
媒体及娱乐,hk02661,02661,轻松健康,5.76,8.78,45153264.0,2026-09-10
媒体及娱乐,hk09911,09911,赤子城科技,4.53,4.3,92545458.3,2026-09-10
媒体及娱乐,hk00136,00136,中国儒意,2.27,4.18,255115161.4,2026-09-10
媒体及娱乐,hk09626,09626,哔哩哔哩-W,-2.14,-2.56,1444938886.2,2026-09-10
媒体及娱乐,hk09888,09888,百度集团-W,-2.28,-3.31,2243288027.9,2026-09-10
媒体及娱乐,hk01860,01860,汇量科技,-2.66,-1.26,100262626.1,2026-09-10
媒体及娱乐,hk09899,09899,网易云音乐,-2.75,-1.43,43667002.1,2026-09-10
媒体及娱乐,hk01060,01060,大麦娱乐,-3.21,-1.01,51832411.6,2026-09-10
媒体及娱乐,hk01024,01024,快手-W,-3.64,-2.04,1341753930.1,2026-09-10
媒体及娱乐,hk00772,00772,阅文集团,-4.79,-1.84,244076971.5,2026-09-10
媒体及娱乐,hk00917,00917,趣致集团,-4.85,1.27,60428813.2,2026-09-10
媒体及娱乐,hk01797,01797,东方甄选,-5.87,-3.69,211134911.3,2026-09-10
媒体及娱乐,hk01357,01357,美图公司,-7.77,-4.29,393235512.4,2026-09-10
媒体及娱乐,hk02723,02723,深演智能,-11.15,-10.66,240898385.4,2026-09-10
