行业,状态,前日排名,今日排名,前日趋势分,今日趋势分,前日动量分,今日动量分,前日总分,今日总分,排名变化,趋势分变化,动量分变化,总分变化
软件服务,池内,4.0,1.0,3.41,3.84,3.25,7.17,6.66,11.01,3.0,0.4299999999999997,3.92,4.35
媒体及娱乐,新进池,,2.0,,4.07,,4.73,,8.8,,4.07,4.73,8.8
地产,新进池,,3.0,,3.48,,5.21,,8.69,,3.48,5.21,8.69
工业工程,池内,7.0,4.0,3.21,3.25,2.21,4.55,5.42,7.8,3.0,0.040000000000000036,2.34,2.38
药品及生物科技,池内,1.0,5.0,2.72,2.84,5.6,4.41,8.32,7.25,-4.0,0.11999999999999966,-1.1899999999999995,-1.0700000000000003
其他金融,池内,8.0,6.0,3.98,4.26,0.48,2.77,4.46,7.03,2.0,0.2799999999999998,2.29,2.5700000000000003
保险,池内,5.0,7.0,4.41,4.61,1.62,2.24,6.03,6.85,-2.0,0.20000000000000018,0.6200000000000001,0.8199999999999994
资讯科技器材,新进池,,8.0,,3.24,,3.28,,6.52,,3.24,3.28,6.52
银行,池内,9.0,9.0,3.77,3.82,-0.06,1.52,3.71,5.34,0.0,0.04999999999999982,1.58,1.63
公用事业,池内,10.0,10.0,2.9,3.45,0.7,0.96,3.6,4.41,0.0,0.5500000000000003,0.26,0.81
建筑,退出池,2.0,,4.1,,3.85,,7.95,,,-4.1,-3.85,-7.95
半导体,退出池,3.0,,4.7,,2.7,,7.4,,,-4.7,-2.7,-7.4
黄金及贵金属,退出池,6.0,,2.72,,3.07,,5.79,,,-2.72,-3.07,-5.79
