行业,股票数
计算机软件：成品软件,5
工业机械/零部件,4
医疗/牙科器械,4
生物科技：制药,4
商业服务,3
广告,3
投资管理,3
电子元器件,2
Military/Government/Technical,2
计算机软件：编程与数据处理,2
电子数据处理服务,2
目录/专业分销,2
Radio And Television Broadcasting And Communications Equipment,1
广播电视,1
Aerospace,1
生物科技：电子医疗设备,1
其他专卖店,1
Other Consumer Services,1
Oil and Gas Field Machinery,1
Motor Vehicles,1
电影/娱乐,1
大型银行,1
Ordnance And Accessories,1
