行业,状态,前日排名,今日排名,前日趋势分,今日趋势分,前日动量分,今日动量分,前日总分,今日总分,排名变化,趋势分变化,动量分变化,总分变化
非银行金融,池内,10.0,1.0,4.18,4.13,2.5,8.22,3.34,6.18,9.0,-0.04999999999999982,5.720000000000001,2.84
计算机软件,池内,7.0,2.0,4.73,4.79,2.82,7.51,3.78,6.15,5.0,0.05999999999999961,4.6899999999999995,2.3700000000000006
贵金属,新进池,,3.0,,5.88,,4.27,,5.07,,5.88,4.27,5.07
化学制药,池内,5.0,4.0,5.08,5.43,3.04,3.67,4.06,4.55,1.0,0.34999999999999964,0.6299999999999999,0.4900000000000002
基本金属,池内,11.0,5.0,3.94,5.25,2.19,3.58,3.06,4.42,6.0,1.31,1.3900000000000001,1.3599999999999999
汽车,新进池,,6.0,,5.63,,3.05,,4.34,,5.63,3.05,4.34
银行,池内,14.0,7.0,4.24,4.46,0.42,4.07,2.33,4.27,7.0,0.21999999999999975,3.6500000000000004,1.9399999999999995
互联网服务,池内,3.0,8.0,5.34,5.41,3.74,2.99,4.54,4.2,-5.0,0.07000000000000028,-0.75,-0.33999999999999986
通信运营,新进池,,9.0,,5.53,,2.74,,4.13,,5.53,2.74,4.13
医疗器械,新进池,,10.0,,5.25,,3.02,,4.13,,5.25,3.02,4.13
计算机硬件,新进池,,11.0,,4.96,,3.27,,4.12,,4.96,3.27,4.12
生物医药,池内,8.0,12.0,4.69,4.89,2.11,2.94,3.4,3.92,-4.0,0.1999999999999993,0.8300000000000001,0.52
电力,池内,12.0,13.0,4.74,5.07,1.05,2.29,2.9,3.68,-1.0,0.33000000000000007,1.24,0.7800000000000002
石油天然气,池内,2.0,14.0,5.41,4.75,5.13,2.58,5.27,3.67,-12.0,-0.6600000000000001,-2.55,-1.5999999999999996
半导体,退出池,1.0,,4.97,,6.6,,5.79,,,-4.97,-6.6,-5.79
零售,退出池,4.0,,5.19,,3.3,,4.25,,,-5.19,-3.3,-4.25
通信设备,退出池,6.0,,5.63,,2.39,,4.01,,,-5.63,-2.39,-4.01
港口航运,退出池,9.0,,5.73,,1.01,,3.37,,,-5.73,-1.01,-3.37
房地产开发,退出池,13.0,,4.51,,0.7,,2.6,,,-4.51,-0.7,-2.6
