排名,industry,得分,股票数,趋势分,动量分,总分,动量入池分,代表股,入池
1,半导体,46,7,6.37,7.07,6.72,98.94,"Skyworks Solutions Inc.[SWKS](8/8,+5%)、Qorvo Inc.[QRVO](8/8,+4%)、NVIDIA Corporation[NVDA](8/8,+3%)、Silicon Laboratories Inc.[SLAB](8/8,+1%)、Veralto Corp[VLTO](7/8,-2%)、◎Cerebras Systems Inc.[CBRS](+10%)、◎Cohu Inc.[COHU](+10%)、◎Aehr Test Systems[AEHR](+13%)、◎Astera Labs Inc.[ALAB](+10%)、◎Semtech Corporation[SMTC](+9%)",动量
2,非银行金融,560,95,5.0,6.08,5.54,85.03,"Strive Inc.[ASST](8/8,+118%)、Circle Internet Group Inc.[CRCL](8/8,+53%)、Robinhood Markets Inc.[HOOD](8/8,+31%)、WisdomTree Inc.[WT](8/8,+17%)、Slide Insurance Holdings Inc.[SLDE](8/8,+17%)、◎Eos Energy Enterprises Inc.[EOSE](+11%)、◎Hut 8 Corp.[HUT](+6%)、◎Bitdeer Technologies Group[BTDR](+4%)、◎Cipher Digital Inc.[CIFR](+2%)、◎Securitize Corp.[SECZ](+5%)",趋势+动量
3,生物医药,328,57,5.39,4.3,4.84,60.28,"Freenome Inc. Common stock[FRNM](8/8,+46%)、Tarsus Pharmaceuticals Inc.[TARS](8/8,+40%)、Sarepta Therapeutics Inc. Common Stock (DE)[SRPT](8/8,+34%)、Vir Biotechnology Inc.[VIR](8/8,+29%)、Novavax Inc.[NVAX](8/8,+29%)、◎Tyra Biosciences Inc.[TYRA](+15%)、◎Tarsus Pharmaceuticals Inc.[TARS](+9%)、◎Recursion Pharmaceuticals Inc.[RXRX](+6%)、◎Altimmune Inc.[ALT](+6%)、◎Faeth Therapeutics Inc.[FTH](+3%)",趋势+动量
4,汽车,66,11,5.88,3.7,4.79,51.8,"Autoliv Inc.[ALV](8/8,+3%)、Versigent PLC[VGNT](7/8,+14%)、Dana Incorporated[DAN](7/8,+13%)、Allison Transmission Holdings Inc.[ALSN](7/8,+11%)、Dauch Corporation[DCH](7/8,+10%)、◎Group 1 Automotive Inc.[GPI](+6%)、◎Dauch Corporation[DCH](+5%)、◎Modine Manufacturing Company[MOD](+4%)、◎Versigent PLC[VGNT](+4%)、◎Aptiv PLC[APTV](+3%)",动量
5,计算机软件,452,80,5.17,4.32,4.75,60.59,"GitLab Inc.[GTLB](8/8,+28%)、Zeta Global Holdings Corp.[ZETA](8/8,+18%)、PagerDuty Inc.[PD](8/8,+16%)、Tyler Technologies Inc.[TYL](8/8,+16%)、Porch Group Inc.[PRCH](8/8,+13%)、◎IREN Limited[IREN](+7%)、◎CoreWeave Inc.[CRWV](+6%)、◎CleanSpark Inc.[CLSK](+1%)、◎Strategy Inc Common Stock Class A[MSTR](-1%)、◎Oracle Corporation[ORCL](+3%)",趋势+动量
6,计算机硬件,34,6,5.62,3.77,4.7,52.71,"Dell Technologies Inc.[DELL](8/8,+16%)、HP Inc.[HPQ](8/8,+9%)、Super Micro Computer Inc.[SMCI](7/8,+27%)、Quantum Corporation[QMCO](6/8,+105%)、Sandisk Corporation[SNDK](6/8,+44%)、◎Sandisk Corporation[SNDK](+12%)、◎Dell Technologies Inc.[DELL](+2%)、◎Super Micro Computer Inc.[SMCI](+5%)、◎Seagate Technology Holdings PLC Ordinary Shares (Ireland)[STX](+6%)、◎Western Digital Corporation[WDC](+6%)",动量
7,化学制药,234,40,5.57,3.73,4.65,52.33,"Trulieve Cannabis Corp. Subordinate Voting Shares[TRLV](8/8,+38%)、Perrigo Company plc[PRGO](8/8,+19%)、Parabilis Medicines Inc.[PBLS](8/8,+16%)、Royalty Pharma plc[RPRX](8/8,+13%)、Harmony Biosciences Holdings Inc.[HRMY](8/8,+10%)、◎Belite Bio Inc[BLTE](+13%)、◎Summit Therapeutics Inc.[SMMT](+3%)、◎Alumis Inc.[ALMS](-2%)、◎Perrigo Company plc[PRGO](+5%)、◎Cybin Inc.[HELP](+4%)",趋势+动量
8,物流,12,2,5.93,3.14,4.54,43.99,"Expeditors International of Washington Inc.[EXPD](8/8,+6%)、FedEx Corporation[FDX](6/8,+1%)、◎Saia Inc.[SAIA](+4%)、◎Knight-Swift Transportation Holdings Inc.[KNX](+4%)、◎TFI International Inc.[TFII](+3%)、◎Werner Enterprises Inc.[WERN](+4%)、◎J.B. Hunt Transport Services Inc.[JBHT](+3%)",动量
9,零售,86,14,5.98,3.01,4.5,42.16,"Best Buy Co. Inc.[BBY](8/8,+10%)、Dillard's Inc.[DDS](8/8,+7%)、Dollar General Corporation[DG](8/8,+5%)、Five Below Inc.[FIVE](8/8,+3%)、Abercrombie & Fitch Company[ANF](7/8,+33%)、◎Abercrombie & Fitch Company[ANF](+4%)、◎Best Buy Co. Inc.[BBY](+3%)、◎Signet Jewelers Limited[SIG](+4%)、◎Five Below Inc.[FIVE](+5%)、◎Boot Barn Holdings Inc.[BOOT](+5%)",趋势
10,石油天然气,554,88,5.95,2.59,4.27,36.21,"CVR Energy Inc.[CVI](8/8,+43%)、Calumet Inc.[CLMT](8/8,+35%)、HF Sinclair Corporation[DINO](8/8,+30%)、Phillips 66[PSX](8/8,+26%)、Valero Energy Corporation[VLO](8/8,+24%)、◎New Era Energy & Digital Inc.[NUAI](+3%)、◎Solaris Energy Infrastructure Inc.[SEI](+3%)、◎Dorian LPG Ltd.[LPG](+3%)、◎DHT Holdings Inc.[DHT](+3%)、◎Helix Energy Solutions Group Inc.[HLX](+3%)",趋势
11,互联网服务,128,23,5.41,3.07,4.24,42.92,"Concentrix Corporation[CNXC](8/8,+25%)、DocuSign Inc.[DOCU](8/8,+14%)、Remitly Global Inc.[RELY](8/8,+7%)、Dropbox Inc.[DBX](8/8,+0%)、Nutex Health Inc.[NUTX](7/8,+19%)、◎Nebius Group N.V.[NBIS](+7%)、◎Shift4 Payments Inc.[FOUR](+4%)、◎Baidu Inc.[BIDU](+4%)、◎DocuSign Inc.[DOCU](+4%)、◎DigitalOcean Holdings Inc.[DOCN](+3%)",趋势+动量
12,银行,134,22,5.65,2.52,4.08,35.17,"Deutsche Bank AG[DB](8/8,+9%)、Shinhan Financial Group Co Ltd[SHG](8/8,+8%)、Mitsubishi UFJ Financial Group Inc.[MUFG](8/8,+7%)、Mizuho Financial Group Inc. Sponosred ADR (Japan)[MFG](8/8,+5%)、KB Financial Group Inc[KB](8/8,+4%)、◎Riot Platforms Inc.[RIOT](+3%)、◎Simmons First National Corporation[SFNC](+3%)、◎Core Scientific Inc.[CORZ](-0%)、◎Coastal Financial Corporation[CCB](+2%)、◎Customers Bancorp Inc[CUBI](+2%)",趋势
13,医疗器械,196,33,5.7,1.98,3.84,27.76,"Pulse Biosciences Inc Common Stock (DE)[PLSE](8/8,+26%)、AtriCure Inc.[ATRC](8/8,+24%)、MiniMed Group Inc.[MMED](8/8,+19%)、Illumina Inc.[ILMN](8/8,+16%)、Revvity Inc.[RVTY](8/8,+14%)、◎PROCEPT BioRobotics Corporation[PRCT](+6%)、◎TransMedics Group Inc.[TMDX](+3%)、◎Warby Parker Inc.[WRBY](+5%)、◎BillionToOne Inc.[BLLN](-0%)、◎Establishment Labs Holdings Inc.[ESTA](+3%)",趋势
