industry,prefixed,m,chg1,date
专业服务,usBCO.N,1.67,1.02,2026-09-10
专业服务,usACVA.N,0.48,-2.04,2026-09-10
专业服务,usSEZL.OQ,0.2,1.08,2026-09-10
专业服务,usCBZ.N,-0.07,0.04,2026-09-10
专业服务,usHCSG.OQ,-0.33,-0.86,2026-09-10
专业服务,usLZ.OQ,-0.41,1.72,2026-09-10
专业服务,usHURN.OQ,-0.47,-0.16,2026-09-10
专业服务,usFCN.N,-0.52,-0.4,2026-09-10
专业服务,usEXPO.OQ,-0.64,-0.21,2026-09-10
专业服务,usAMTM.N,-0.72,1.29,2026-09-10
专业服务,usKFRC.N,-0.77,0.27,2026-09-10
专业服务,usCTAS.OQ,-0.91,-0.8,2026-09-10
专业服务,usTIC.N,-1.05,0.11,2026-09-10
专业服务,usTNET.N,-1.05,-0.72,2026-09-10
专业服务,usMGRC.OQ,-1.11,-1.07,2026-09-10
专业服务,usPCTY.OQ,-1.11,0.53,2026-09-10
专业服务,usNSP.N,-1.16,-0.9,2026-09-10
专业服务,usOPLN.N,-1.23,-1.33,2026-09-10
专业服务,usICFI.OQ,-1.28,-0.51,2026-09-10
专业服务,usCART.OQ,-1.33,1.29,2026-09-10
专业服务,usMAN.N,-1.44,0.53,2026-09-10
专业服务,usFA.OQ,-1.52,-0.63,2026-09-10
专业服务,usVRSK.OQ,-1.6,-1.2,2026-09-10
专业服务,usADT.N,-1.61,0.14,2026-09-10
专业服务,usUNF.N,-1.65,-1.59,2026-09-10
专业服务,usEFX.N,-1.66,-0.03,2026-09-10
专业服务,usRBA.N,-1.69,-0.97,2026-09-10
专业服务,usEFOR.N,-2.18,-0.69,2026-09-10
专业服务,usCRAI.OQ,-2.32,-1.24,2026-09-10
专业服务,usRELX.N,-2.34,-1.26,2026-09-10
专业服务,usRDVT.OQ,-2.39,-1.81,2026-09-10
专业服务,usSTN.N,-2.48,-0.68,2026-09-10
专业服务,usRTO.N,-2.82,-1.58,2026-09-10
专业服务,usBAM.N,-2.83,-1.01,2026-09-10
专业服务,usVSEC.OQ,-4.48,-2.66,2026-09-10
专业服务,usKFY.N,-4.96,-3.69,2026-09-10
专业服务,usGPGI.N,-4.99,-3.52,2026-09-10
专业服务,usGRAB.OQ,-5.11,-0.99,2026-09-10
专业服务,usRHI.N,-5.26,-2.93,2026-09-10
专业服务,usCPRT.OQ,-5.46,-4.0,2026-09-10
专用设备,usTRN.N,0.78,0.75,2026-09-10
专用设备,usPCAR.OQ,-0.04,0.57,2026-09-10
专用设备,usGBX.N,-0.46,-0.23,2026-09-10
专用设备,usDE.N,-0.52,0.11,2026-09-10
专用设备,usWAB.N,-0.66,-0.07,2026-09-10
专用设备,usCMI.N,-1.42,-0.85,2026-09-10
专用设备,usTTC.N,-1.84,-2.14,2026-09-10
专用设备,usALG.N,-2.9,-2.53,2026-09-10
专用设备,usCNH.N,-2.91,-2.88,2026-09-10
专用设备,usOSK.N,-3.76,-2.81,2026-09-10
专用设备,usLNN.N,-3.88,-2.95,2026-09-10
专用设备,usFSS.N,-3.89,-3.4,2026-09-10
专用设备,usTEX.N,-4.52,-3.65,2026-09-10
专用设备,usAGCO.N,-4.94,-3.9,2026-09-10
互联网服务,usBAND.OQ,11.95,5.71,2026-09-10
互联网服务,usNET.N,4.67,-0.96,2026-09-10
互联网服务,usDOCN.N,3.73,-1.22,2026-09-10
互联网服务,usDBX.OQ,1.89,1.33,2026-09-10
互联网服务,usWIX.OQ,1.84,1.74,2026-09-10
互联网服务,usMETA.OQ,1.69,-1.42,2026-09-10
互联网服务,usGDDY.N,1.63,2.96,2026-09-10
互联网服务,usFOUR.N,1.57,4.62,2026-09-10
互联网服务,usCARG.OQ,1.49,2.52,2026-09-10
互联网服务,usAPP.OQ,1.41,3.09,2026-09-10
互联网服务,usTWLO.N,1.4,1.73,2026-09-10
互联网服务,usEBAY.OQ,1.17,1.47,2026-09-10
互联网服务,usMTCH.OQ,0.94,0.94,2026-09-10
互联网服务,usJOYY.OQ,0.9,1.52,2026-09-10
互联网服务,usVRSN.OQ,0.82,0.67,2026-09-10
互联网服务,usDOCU.OQ,0.62,2.09,2026-09-10
互联网服务,usYELP.N,0.5,2.34,2026-09-10
互联网服务,usNUTX.OQ,0.29,-1.25,2026-09-10
互联网服务,usOKTA.OQ,0.22,-0.94,2026-09-10
互联网服务,usDV.N,0.21,0.3,2026-09-10
互联网服务,usMQ.OQ,0.09,1.57,2026-09-10
互联网服务,usBZ.OQ,0.08,2.12,2026-09-10
互联网服务,usATHM.N,0.08,1.26,2026-09-10
互联网服务,usQNST.OQ,-0.13,1.41,2026-09-10
互联网服务,usQTWO.N,-0.15,0.9,2026-09-10
互联网服务,usMELI.OQ,-0.24,1.59,2026-09-10
互联网服务,usTTD.OQ,-0.42,0.65,2026-09-10
互联网服务,usGOOG.OQ,-0.43,0.61,2026-09-10
互联网服务,usGOOGL.OQ,-0.56,0.59,2026-09-10
互联网服务,usALRM.OQ,-0.75,0.33,2026-09-10
互联网服务,usAPPF.OQ,-0.81,0.05,2026-09-10
互联网服务,usAKAM.OQ,-0.84,-3.27,2026-09-10
互联网服务,usSRAD.OQ,-0.89,-1.01,2026-09-10
互联网服务,usCLBT.OQ,-0.96,-0.87,2026-09-10
互联网服务,usSPOT.N,-1.28,-0.24,2026-09-10
互联网服务,usGTM.OQ,-1.29,2.15,2026-09-10
互联网服务,usBOX.N,-1.3,-1.07,2026-09-10
互联网服务,usPPLI.OQ,-1.64,-0.48,2026-09-10
互联网服务,usEQIX.OQ,-1.66,-1.85,2026-09-10
互联网服务,usCMPR.OQ,-1.79,-1.44,2026-09-10
互联网服务,usTRIP.OQ,-1.87,0.11,2026-09-10
互联网服务,usCSGP.OQ,-1.91,-0.3,2026-09-10
互联网服务,usPINS.N,-2.25,2.74,2026-09-10
互联网服务,usEVER.OQ,-2.61,0.56,2026-09-10
互联网服务,usVNET.OQ,-2.69,-2.15,2026-09-10
互联网服务,usSPSC.OQ,-2.72,-1.32,2026-09-10
互联网服务,usSE.N,-2.75,-0.94,2026-09-10
互联网服务,usNTNX.OQ,-2.83,-2.27,2026-09-10
互联网服务,usAPPN.OQ,-2.93,-0.5,2026-09-10
互联网服务,usFIVN.OQ,-2.95,-0.4,2026-09-10
互联网服务,usTOST.N,-3.19,-1.57,2026-09-10
互联网服务,usBIDU.OQ,-3.2,-1.56,2026-09-10
互联网服务,usSTUB.N,-3.25,-1.0,2026-09-10
互联网服务,usWRD.OQ,-3.84,-2.06,2026-09-10
互联网服务,usSHOP.OQ,-4.3,-0.15,2026-09-10
互联网服务,usNBIS.OQ,-4.33,-5.09,2026-09-10
互联网服务,usZ.OQ,-4.34,-2.77,2026-09-10
互联网服务,usZG.OQ,-4.41,-2.83,2026-09-10
互联网服务,usCNXC.OQ,-4.69,-0.26,2026-09-10
互联网服务,usBL.OQ,-5.03,-2.44,2026-09-10
互联网服务,usGENI.N,-6.68,-4.41,2026-09-10
互联网服务,usBRZE.OQ,-9.65,2.28,2026-09-10
互联网服务,usRELY.OQ,-11.19,-8.89,2026-09-10
休闲服务,usJMKE.N,1.44,-2.24,2026-09-10
休闲服务,usMTN.N,0.99,2.3,2026-09-10
休闲服务,usWING.OQ,0.51,-0.05,2026-09-10
休闲服务,usH.N,0.51,1.99,2026-09-10
休闲服务,usTNL.N,0.47,1.02,2026-09-10
休闲服务,usBYD.N,0.26,1.38,2026-09-10
休闲服务,usCHA.OQ,0.21,-0.8,2026-09-10
休闲服务,usPENN.OQ,0.16,-0.35,2026-09-10
休闲服务,usDASH.OQ,0.04,1.92,2026-09-10
休闲服务,usCZR.OQ,-0.06,-0.07,2026-09-10
休闲服务,usMGM.N,-0.16,0.17,2026-09-10
休闲服务,usPLNT.N,-0.19,0.2,2026-09-10
休闲服务,usMSGS.N,-0.26,-0.82,2026-09-10
休闲服务,usHLT.N,-0.27,-0.24,2026-09-10
休闲服务,usDKNG.OQ,-0.35,0.21,2026-09-10
休闲服务,usEXPE.OQ,-0.38,1.57,2026-09-10
休闲服务,usARMK.N,-0.57,-0.26,2026-09-10
休闲服务,usBH.N,-0.61,-0.09,2026-09-10
休闲服务,usMCD.N,-0.61,-0.17,2026-09-10
休闲服务,usTXRH.OQ,-0.7,0.99,2026-09-10
休闲服务,usLLYVK.OQ,-0.73,-0.08,2026-09-10
休闲服务,usSG.N,-0.76,0.6,2026-09-10
休闲服务,usMAR.OQ,-0.79,-0.74,2026-09-10
休闲服务,usMCRI.OQ,-0.79,-1.11,2026-09-10
休闲服务,usLLYVA.OQ,-0.93,-0.3,2026-09-10
休闲服务,usBJRI.OQ,-0.95,-1.1,2026-09-10
休闲服务,usCMG.N,-0.98,0.28,2026-09-10
休闲服务,usSCI.N,-1.04,0.05,2026-09-10
休闲服务,usBATRK.OQ,-1.17,-0.38,2026-09-10
休闲服务,usVAC.N,-1.2,0.46,2026-09-10
休闲服务,usFLUT.N,-1.21,-0.65,2026-09-10
休闲服务,usRCL.N,-1.23,-0.29,2026-09-10
休闲服务,usRSI.N,-1.65,-1.35,2026-09-10
休闲服务,usYUMC.N,-1.67,-0.68,2026-09-10
休闲服务,usATAT.OQ,-1.69,-0.85,2026-09-10
休闲服务,usCHH.N,-1.7,-1.39,2026-09-10
休闲服务,usOSW.OQ,-1.75,-2.1,2026-09-10
休闲服务,usFTDR.OQ,-1.82,-1.07,2026-09-10
休闲服务,usLTH.N,-1.83,-0.65,2026-09-10
休闲服务,usIHG.N,-1.9,-1.26,2026-09-10
休闲服务,usRRR.OQ,-1.93,-0.6,2026-09-10
休闲服务,usQSR.N,-1.94,-0.68,2026-09-10
休闲服务,usDRI.N,-2.07,-0.9,2026-09-10
休闲服务,usVICI.N,-2.14,-1.9,2026-09-10
休闲服务,usYUM.N,-2.23,-0.87,2026-09-10
休闲服务,usSBUX.OQ,-2.24,-0.82,2026-09-10
休闲服务,usWH.N,-2.25,-1.66,2026-09-10
休闲服务,usSGHC.N,-2.26,-2.22,2026-09-10
休闲服务,usTH.OQ,-2.29,-0.42,2026-09-10
休闲服务,usCCL.N,-2.34,-1.01,2026-09-10
休闲服务,usEAT.N,-2.54,-0.29,2026-09-10
休闲服务,usLVS.N,-2.58,-1.68,2026-09-10
休闲服务,usHRB.N,-2.65,-0.58,2026-09-10
休闲服务,usBKNG.OQ,-2.7,0.52,2026-09-10
休闲服务,usHTHT.OQ,-2.74,-2.21,2026-09-10
休闲服务,usWEN.OQ,-2.8,-1.33,2026-09-10
休闲服务,usCHDN.OQ,-2.89,-1.64,2026-09-10
休闲服务,usWYNN.OQ,-2.92,-2.01,2026-09-10
休闲服务,usTCOM.OQ,-3.09,-1.25,2026-09-10
休闲服务,usPZZA.OQ,-3.18,-0.79,2026-09-10
休闲服务,usABNB.OQ,-3.34,-1.17,2026-09-10
休闲服务,usDPZ.OQ,-3.66,-1.29,2026-09-10
休闲服务,usHGV.N,-3.68,-2.66,2026-09-10
