行业,状态,前日排名,今日排名,前日趋势分,今日趋势分,前日动量分,今日动量分,前日总分,今日总分,排名变化,趋势分变化,动量分变化,总分变化
建筑与工程,新进池,,1.0,,7.3,,3.36,,5.33,,7.3,3.36,5.33
半导体产品,池内,3.0,2.0,5.79,5.46,4.22,4.8,5.0,5.13,1.0,-0.33000000000000007,0.5800000000000001,0.1299999999999999
通信设备,新进池,,3.0,,5.41,,4.64,,5.03,,5.41,4.64,5.03
综合金融服务,池内,2.0,4.0,5.35,4.97,4.97,5.06,5.16,5.01,-2.0,-0.3799999999999999,0.08999999999999986,-0.15000000000000036
电气部件与设备,新进池,,5.0,,3.6,,5.64,,4.62,,3.6,5.64,4.62
综合性石油与天然气企业,池内,11.0,6.0,5.94,5.89,0.57,3.3,3.26,4.59,5.0,-0.05000000000000071,2.73,1.33
多种金属与采矿,新进池,,7.0,,4.84,,3.41,,4.12,,4.84,3.41,4.12
投资银行业与经纪业,池内,9.0,8.0,3.98,4.08,3.26,4.06,3.62,4.07,1.0,0.10000000000000009,0.7999999999999998,0.4500000000000002
石油与天然气的炼制和营销,新进池,,9.0,,6.33,,1.68,,4.0,,6.33,1.68,4.0
海上运输,新进池,,10.0,,6.7,,1.05,,3.88,,6.7,1.05,3.88
电子设备和仪器,新进池,,11.0,,3.64,,3.53,,3.58,,3.64,3.53,3.58
石油与天然气的储存和运输,池内,6.0,12.0,6.53,5.94,1.86,1.15,4.2,3.54,-6.0,-0.5899999999999999,-0.7100000000000002,-0.6600000000000001
综合性银行,池内,7.0,13.0,5.76,5.97,2.0,1.09,3.88,3.53,-6.0,0.20999999999999996,-0.9099999999999999,-0.3500000000000001
石油与天然气的勘探与生产,池内,16.0,14.0,5.11,5.42,-0.09,1.1,2.51,3.26,2.0,0.3099999999999996,1.1900000000000002,0.75
制药,池内,14.0,15.0,3.74,3.7,2.42,2.44,3.08,3.07,-1.0,-0.040000000000000036,0.020000000000000018,-0.010000000000000231
应用软件,池内,12.0,16.0,3.94,3.05,2.47,2.57,3.21,2.81,-4.0,-0.8900000000000001,0.09999999999999964,-0.3999999999999999
资产管理与托管银行,池内,8.0,17.0,5.37,5.46,1.95,0.13,3.66,2.79,-9.0,0.08999999999999986,-1.8199999999999998,-0.8700000000000001
生物科技,池内,13.0,18.0,3.63,3.46,2.72,1.93,3.17,2.69,-5.0,-0.16999999999999993,-0.7900000000000003,-0.48
半导体材料与设备,退出池,1.0,,5.3,,5.35,,5.32,,,-5.3,-5.35,-5.32
汽车零件与设备,退出池,4.0,,5.92,,3.15,,4.54,,,-5.92,-3.15,-4.54
电脑硬件、储存设备及电脑周边,退出池,5.0,,5.28,,3.35,,4.32,,,-5.28,-3.35,-4.32
数据处理与外包服务,退出池,10.0,,4.45,,2.59,,3.52,,,-4.45,-2.59,-3.52
生命科学工具和服务,退出池,15.0,,5.2,,0.85,,3.02,,,-5.2,-0.85,-3.02
