行业,状态,前日排名,今日排名,前日趋势分,今日趋势分,前日动量分,今日动量分,前日总分,今日总分,排名变化,趋势分变化,动量分变化,总分变化
石油天然气,池内,2.0,1.0,5.32,4.84,5.13,4.28,5.22,4.48,1.0,-0.4800000000000004,-0.8499999999999996,-0.7399999999999993
生物医药,池内,10.0,2.0,4.53,4.52,2.11,4.15,3.32,4.28,8.0,-0.010000000000000675,2.0400000000000005,0.9600000000000004
电力,池内,12.0,3.0,4.79,4.52,1.05,2.96,2.92,3.51,9.0,-0.27000000000000046,1.91,0.5899999999999999
农业,新进池,,4.0,,5.58,,2.36,,3.49,,5.58,2.36,3.49
化学制药,池内,5.0,5.0,4.76,5.3,3.04,2.29,3.9,3.34,0.0,0.54,-0.75,-0.56
医疗器械,新进池,,6.0,,4.56,,2.37,,3.14,,4.56,2.37,3.14
教育,新进池,,7.0,,6.36,,0.75,,2.71,,6.36,0.75,2.71
计算机软件,池内,6.0,8.0,4.73,4.85,2.82,1.5,3.78,2.67,-2.0,0.11999999999999922,-1.3199999999999998,-1.1099999999999999
零售,池内,4.0,9.0,5.19,4.67,3.3,1.56,4.25,2.65,-5.0,-0.5200000000000005,-1.7399999999999998,-1.6
互联网服务,池内,3.0,10.0,5.34,4.47,3.74,1.62,4.54,2.62,-7.0,-0.8700000000000001,-2.12,-1.92
非银行金融,池内,9.0,11.0,4.22,4.18,2.5,1.67,3.36,2.55,-2.0,-0.040000000000000036,-0.8300000000000001,-0.81
银行,池内,14.0,12.0,4.24,4.39,0.42,1.13,2.33,2.27,2.0,0.14999999999999947,0.71,-0.06000000000000005
专业服务,新进池,,13.0,,5.24,,0.28,,2.02,,5.24,0.28,2.02
半导体,退出池,1.0,,4.88,,6.6,,5.74,,,-4.88,-6.6,-5.74
通信设备,退出池,7.0,,5.07,,2.39,,3.73,,,-5.07,-2.39,-3.73
港口航运,退出池,8.0,,5.73,,1.01,,3.37,,,-5.73,-1.01,-3.37
基本金属,退出池,11.0,,3.94,,2.19,,3.06,,,-3.94,-2.19,-3.06
房地产开发,退出池,13.0,,4.51,,0.7,,2.6,,,-4.51,-0.7,-2.6
