排名,industry,得分,股票数,趋势分,动量分,动量入池分,代表股,入池,趋势贡献,动量贡献,总分
1,石油天然气,352,56,5.94,3.02,42.23,"CVR Energy Inc.[CVI](8/8,+39%)、Geopark Ltd[GPRK](8/8,+29%)、Sasol Ltd.[SSL](8/8,+28%)、Petroleo Brasileiro S.A. Petrobras[PBR](8/8,+24%)、Crescent Energy Company[CRGY](8/8,+21%)、◎Sasol Ltd.[SSL](+0%)、◆Vista Energy S.A.B. de C.V. American Depositary Shares each representing one series A share with no par value[VIST](+6%)、◆W&T Offshore Inc.[WTI](+3%)、◎CVR Energy Inc.[CVI](+2%)、◆YPF Sociedad Anonima[YPF](+3%)、◆Teekay Tankers Ltd.[TNK](+2%)、◆Venture Global Inc. Class A common stock[VG](+1%)",趋势+动量,4.16,3.93,8.09
2,计算机软件,58,11,4.82,3.35,46.82,"PayPay Corporation American Depository Shares[PAYP](8/8,+22%)、Inspire Medical Systems Inc.[INSP](8/8,+17%)、PagSeguro Digital Ltd. Class A[PAGS](7/8,+16%)、Swarmer Inc[SWMR](7/8,-9%)、SharonAI Holdings Inc.[SHAZ](7/8,-17%)、◎Swarmer Inc[SWMR](+2%)、◆Digital Turbine Inc.[APPS](+7%)、◎Inspire Medical Systems Inc.[INSP](+2%)、◆Netskope Inc.[NTSK](+4%)、◆PagSeguro Digital Ltd. Class A[PAGS](+5%)、◆Booz Allen Hamilton Holding Corporation[BAH](+5%)、◆PayPay Corporation American Depository Shares[PAYP](+4%)",趋势+动量,3.37,4.36,7.73
3,互联网服务,18,3,5.83,2.22,30.96,"Meta Platforms Inc.[META](8/8,+11%)、DigitalOcean Holdings Inc.[DOCN](7/8,-2%)、Nebius Group N.V.[NBIS](6/8,-12%)、◎Bandwidth Inc.[BAND](+6%)、◎Cloudflare Inc.[NET](-1%)、◎DigitalOcean Holdings Inc.[DOCN](-1%)、◆Dropbox Inc.[DBX](+1%)、◆Wix.com Ltd.[WIX](+2%)、◎Meta Platforms Inc.[META](-1%)、◆GoDaddy Inc.[GDDY](+3%)",动量,4.08,2.89,6.97
4,医疗服务,44,8,5.44,1.94,27.17,"Progyny Inc.[PGNY](8/8,+6%)、LifeStance Health Group Inc.[LFST](8/8,+6%)、Clover Health Investments Corp.[CLOV](8/8,+4%)、Aveanna Healthcare Holdings Inc.[AVAH](6/8,+53%)、agilon health inc.[AGL](6/8,+7%)、◎Clover Health Investments Corp.[CLOV](+9%)、◆Elevance Health Inc.[ELV](+5%)、◆RadNet Inc.[RDNT](+5%)、◆LifeStance Health Group Inc.[LFST](+3%)、◆Molina Healthcare Inc[MOH](+3%)、◎Acadia Healthcare Company Inc.[ACHC](+1%)、◆HealthEquity Inc.[HQY](+2%)",趋势+动量,3.81,2.52,6.33
5,零售,22,4,5.35,1.91,26.66,"GameStop Corporation[GME](8/8,+10%)、Academy Sports and Outdoors Inc.[ASO](7/8,+10%)、Jumia Technologies AG American Depositary Shares each representing two[JMIA](6/8,+14%)、Signet Jewelers Limited[SIG](6/8,+6%)、◎Academy Sports and Outdoors Inc.[ASO](+6%)、◎Signet Jewelers Limited[SIG](-5%)、◎GameStop Corporation[GME](+3%)、◆Revolve Group Inc.[RVLV](+5%)、◆Weis Markets Inc.[WMK](+2%)、◆Pattern Group Inc. Series A[PTRN](+1%)、◆MarineMax Inc.  (FL)[HZO](+0%)",动量,3.74,2.48,6.22
6,半导体,116,26,4.32,2.37,33.27,"Qorvo Inc.[QRVO](8/8,+14%)、Skyworks Solutions Inc.[SWKS](7/8,+21%)、ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares)[ASX](7/8,+2%)、Intel Corporation[INTC](7/8,-1%)、Aehr Test Systems[AEHR](7/8,-27%)、◆Skyworks Solutions Inc.[SWKS](+10%)、◆Qorvo Inc.[QRVO](+7%)、◆Cirrus Logic Inc.[CRUS](+5%)、◎Ambarella Inc.[AMBA](-1%)、◎MaxLinear Inc.[MXL](-3%)、◎Aehr Test Systems[AEHR](-2%)、◎FormFactor Inc. FormFactor Inc.[FORM](-2%)",趋势+动量,3.02,3.08,6.1
7,非银行金融,150,29,4.39,1.75,24.43,"BitGo Holdings Inc.[BTGO](7/8,+48%)、XP Inc.[XP](7/8,+29%)、Wealthfront Corporation[WLTH](7/8,+16%)、BGC Group Inc.[BGC](7/8,+14%)、Houlihan Lokey Inc.[HLI](7/8,+11%)、◆Wealthfront Corporation[WLTH](+15%)、◆Ionic Digital Inc.[IOND](+5%)、◆NextDecade Corporation[NEXT](+2%)、◆XP Inc.[XP](+5%)、◆Grindr Inc.[GRND](+3%)、◆Credit Acceptance Corporation[CACC](+1%)、◆Northern Trust Corporation[NTRS](+1%)",趋势+动量,3.07,2.28,5.35
