industry,prefixed,m,chg1,date
专业服务,usEFOR.N,4.25,2.26,2026-09-04
专业服务,usFA.OQ,4.01,1.71,2026-09-04
专业服务,usACVA.N,3.67,4.18,2026-09-04
专业服务,usCPRT.OQ,2.43,0.42,2026-09-04
专业服务,usVSEC.OQ,2.02,0.66,2026-09-04
专业服务,usRDVT.OQ,1.92,-0.38,2026-09-04
专业服务,usOPLN.N,1.76,1.6,2026-09-04
专业服务,usMAN.N,1.49,0.76,2026-09-04
专业服务,usMGRC.OQ,1.48,1.54,2026-09-04
专业服务,usNSP.N,1.45,0.27,2026-09-04
专业服务,usBCO.N,1.37,2.37,2026-09-04
专业服务,usBAM.N,1.25,0.62,2026-09-04
专业服务,usSTN.N,1.16,0.66,2026-09-04
专业服务,usTNET.N,1.14,-0.52,2026-09-04
专业服务,usKFRC.N,0.68,1.08,2026-09-04
专业服务,usKFY.N,0.66,-0.28,2026-09-04
专业服务,usRBA.N,0.58,0.32,2026-09-04
专业服务,usTIC.N,0.51,0.75,2026-09-04
专业服务,usHCSG.OQ,0.32,0.51,2026-09-04
专业服务,usCBZ.N,0.32,-0.11,2026-09-04
专业服务,usCTAS.OQ,0.2,-0.29,2026-09-04
专业服务,usAMTM.N,0.19,-0.25,2026-09-04
专业服务,usUNF.N,-0.03,0.16,2026-09-04
专业服务,usSEZL.OQ,-0.14,-1.94,2026-09-04
专业服务,usFCN.N,-0.15,-1.08,2026-09-04
专业服务,usADT.N,-0.21,-0.67,2026-09-04
专业服务,usCART.OQ,-0.49,-1.26,2026-09-04
专业服务,usCRAI.OQ,-0.68,-0.98,2026-09-04
专业服务,usRHI.N,-1.16,-0.98,2026-09-04
专业服务,usRTO.N,-1.16,-0.79,2026-09-04
专业服务,usGRAB.OQ,-1.17,0.0,2026-09-04
专业服务,usICFI.OQ,-1.25,-2.07,2026-09-04
专业服务,usRELX.N,-1.35,-3.11,2026-09-04
专业服务,usHURN.OQ,-1.44,-1.79,2026-09-04
专业服务,usPCTY.OQ,-1.65,-1.41,2026-09-04
专业服务,usGPGI.N,-1.66,-2.36,2026-09-04
专业服务,usEXPO.OQ,-2.05,-1.99,2026-09-04
专业服务,usVRSK.OQ,-2.52,-2.52,2026-09-04
专业服务,usLZ.OQ,-3.94,-4.22,2026-09-04
专业服务,usEFX.N,-5.53,-6.37,2026-09-04
专用设备,usCNH.N,6.71,4.05,2026-09-04
专用设备,usAGCO.N,6.41,6.02,2026-09-04
专用设备,usFSS.N,2.99,1.81,2026-09-04
专用设备,usLNN.N,2.53,0.44,2026-09-04
专用设备,usTEX.N,2.39,0.75,2026-09-04
专用设备,usOSK.N,2.33,0.46,2026-09-04
专用设备,usCMI.N,2.28,2.8,2026-09-04
专用设备,usALG.N,2.14,1.18,2026-09-04
专用设备,usGBX.N,1.51,1.1,2026-09-04
专用设备,usPCAR.OQ,1.08,0.15,2026-09-04
专用设备,usTRN.N,1.05,0.75,2026-09-04
专用设备,usWAB.N,0.91,0.72,2026-09-04
专用设备,usDE.N,0.24,-0.13,2026-09-04
专用设备,usTTC.N,-2.19,1.04,2026-09-04
互联网服务,usNBIS.OQ,9.71,7.48,2026-09-04
互联网服务,usFOUR.N,5.51,3.96,2026-09-04
互联网服务,usBIDU.OQ,4.64,4.07,2026-09-04
互联网服务,usDOCU.OQ,4.4,3.7,2026-09-04
互联网服务,usDOCN.N,4.23,2.81,2026-09-04
互联网服务,usSTUB.N,4.0,1.07,2026-09-04
互联网服务,usVNET.OQ,3.75,3.58,2026-09-04
互联网服务,usMETA.OQ,3.03,1.0,2026-09-04
互联网服务,usWRD.OQ,2.99,1.53,2026-09-04
互联网服务,usOKTA.OQ,1.92,0.11,2026-09-04
互联网服务,usAPP.OQ,1.82,2.23,2026-09-04
互联网服务,usATHM.N,1.19,2.23,2026-09-04
互联网服务,usSHOP.OQ,1.16,-0.54,2026-09-04
互联网服务,usNTNX.OQ,0.94,-0.03,2026-09-04
互联网服务,usJOYY.OQ,0.71,0.55,2026-09-04
互联网服务,usGTM.OQ,0.46,0.24,2026-09-04
互联网服务,usEQIX.OQ,0.42,-0.47,2026-09-04
互联网服务,usPPLI.OQ,0.34,0.08,2026-09-04
互联网服务,usVRSN.OQ,0.26,-0.43,2026-09-04
互联网服务,usGENI.N,0.23,-1.83,2026-09-04
互联网服务,usTOST.N,0.16,0.06,2026-09-04
互联网服务,usSRAD.OQ,0.11,-1.6,2026-09-04
互联网服务,usALRM.OQ,0.06,-0.44,2026-09-04
互联网服务,usDV.N,0.06,0.07,2026-09-04
互联网服务,usBL.OQ,0.02,-1.56,2026-09-04
互联网服务,usGOOG.OQ,-0.16,-1.05,2026-09-04
互联网服务,usGOOGL.OQ,-0.2,-1.11,2026-09-04
互联网服务,usNUTX.OQ,-0.3,-2.25,2026-09-04
互联网服务,usTWLO.N,-0.36,-3.12,2026-09-04
互联网服务,usZ.OQ,-0.37,-2.12,2026-09-04
互联网服务,usBOX.N,-0.53,-2.14,2026-09-04
互联网服务,usZG.OQ,-0.54,-2.0,2026-09-04
互联网服务,usMELI.OQ,-0.59,-0.64,2026-09-04
互联网服务,usDBX.OQ,-0.6,-2.44,2026-09-04
互联网服务,usSPSC.OQ,-0.64,-1.44,2026-09-04
互联网服务,usSE.N,-0.74,-0.89,2026-09-04
互联网服务,usNET.N,-0.76,-1.96,2026-09-04
互联网服务,usAKAM.OQ,-0.8,-1.2,2026-09-04
互联网服务,usTRIP.OQ,-0.93,0.43,2026-09-04
互联网服务,usQNST.OQ,-1.05,-0.16,2026-09-04
互联网服务,usMQ.OQ,-1.1,-2.36,2026-09-04
互联网服务,usMTCH.OQ,-1.11,-1.34,2026-09-04
互联网服务,usGDDY.N,-1.13,-2.24,2026-09-04
互联网服务,usBZ.OQ,-1.14,0.48,2026-09-04
互联网服务,usCNXC.OQ,-1.32,-2.1,2026-09-04
互联网服务,usEVER.OQ,-1.42,-1.58,2026-09-04
互联网服务,usTTD.OQ,-1.49,-4.37,2026-09-04
互联网服务,usRELY.OQ,-1.76,-2.79,2026-09-04
互联网服务,usCMPR.OQ,-1.77,-1.07,2026-09-04
互联网服务,usFIVN.OQ,-1.95,-2.43,2026-09-04
互联网服务,usCARG.OQ,-2.08,-1.43,2026-09-04
互联网服务,usCSGP.OQ,-2.22,-2.43,2026-09-04
互联网服务,usEBAY.OQ,-2.38,-2.31,2026-09-04
互联网服务,usSPOT.N,-2.55,-3.16,2026-09-04
互联网服务,usYELP.N,-2.74,-2.21,2026-09-04
互联网服务,usQTWO.N,-2.96,-3.04,2026-09-04
互联网服务,usPINS.N,-3.04,-2.16,2026-09-04
互联网服务,usCLBT.OQ,-3.17,-4.1,2026-09-04
