排名,industry,得分,股票数,趋势分,动量分,总分,动量入池分,代表股,入池
1,计算机软件,680,110,5.65,4.21,4.93,58.94,"Elastic N.V.[ESTC](8/8,+42%)、Sharplink Inc.[SBET](8/8,+39%)、Salesforce Inc.[CRM](8/8,+38%)、Veeva Systems Inc.[VEEV](8/8,+38%)、Workiva Inc.[WK](8/8,+31%)、◎Elastic N.V.[ESTC](-2%)、◎PagerDuty Inc.[PD](+2%)、◎CrowdStrike Holdings Inc.[CRWD](+6%)、◎ServiceNow Inc.[NOW](+2%)、◎Salesforce Inc.[CRM](+1%)",趋势+动量
2,石油天然气,550,90,5.77,3.39,4.58,47.43,"Helmerich & Payne Inc.[HP](8/8,+28%)、CVR Energy Inc.[CVI](8/8,+28%)、Patterson-UTI Energy Inc.[PTEN](8/8,+23%)、SLB Limited[SLB](8/8,+22%)、Cheniere Energy Inc.[LNG](8/8,+13%)、◎SLB Limited[SLB](+5%)、◎Weatherford International plc[WFRD](+4%)、◎Petroleo Brasileiro S.A. Petrobras[PBR](+4%)、◎Sable Offshore Corp.[SOC](+8%)、◎Calumet Inc.[CLMT](+4%)",趋势+动量
3,互联网服务,174,30,5.63,2.69,4.16,37.63,"Appian Corporation[APPN](8/8,+55%)、Concentrix Corporation[CNXC](8/8,+21%)、DocuSign Inc.[DOCU](8/8,+20%)、Box Inc.[BOX](8/8,+13%)、Nutanix Inc.[NTNX](8/8,+12%)、◎Okta Inc.[OKTA](+4%)、◎DocuSign Inc.[DOCU](+4%)、◎Concentrix Corporation[CNXC](+2%)、◎Appian Corporation[APPN](+1%)、◎ZoomInfo Technologies Inc[GTM](+1%)",趋势+动量
4,通用设备,26,4,6.36,1.31,3.83,18.3,"Enerpac Tool Group Corp.[EPAC](8/8,+3%)、Nordson Corporation[NDSN](7/8,+6%)、Lincoln Electric Holdings Inc.[LECO](7/8,+5%)、Flowserve Corporation[FLS](7/8,+3%)、◎Standard Nuclear Inc.[STDN](+14%)、◎X-Energy Inc.[XE](+7%)、◎Mirion Technologies Inc.[MIR](+5%)、◎Enerflex Ltd[EFXT](+2%)、◎Proto Labs Inc. Common stock[PRLB](+0%)",动量
5,医疗器械,242,41,5.67,1.94,3.8,27.13,"AtriCure Inc.[ATRC](8/8,+25%)、BioLife Solutions Inc.[BLFS](8/8,+15%)、NeoGenomics Inc.[NEO](8/8,+13%)、IQVIA Holdings Inc.[IQV](8/8,+12%)、ResMed Inc.[RMD](8/8,+12%)、◎Pulse Biosciences Inc Common Stock (DE)[PLSE](+6%)、◎Heartflow Inc.[HTFL](+5%)、◎Insulet Corporation[PODD](+2%)、◎Tandem Diabetes Care Inc.[TNDM](+3%)、◎Boston Scientific Corporation[BSX](+3%)",趋势+动量
6,非银行金融,576,98,4.99,2.54,3.77,35.48,"Strive Inc.[ASST](8/8,+105%)、Hyperliquid Strategies Inc[PURR](8/8,+86%)、Circle Internet Group Inc.[CRCL](8/8,+58%)、BitMine Immersion Technologies Inc.[BMNR](8/8,+45%)、Webull Corporation[BULL](8/8,+31%)、◎Strive Inc.[ASST](+11%)、◎Circle Internet Group Inc.[CRCL](+10%)、◎StepStone Group Inc.[STEP](+5%)、◎Klarna Group plc[KLAR](+3%)、◎BitMine Immersion Technologies Inc.[BMNR](+6%)",趋势+动量
7,生物医药,296,53,5.23,1.87,3.55,26.19,"Inhibrx Biosciences Inc.[INBX](8/8,+53%)、Sarepta Therapeutics Inc. Common Stock (DE)[SRPT](8/8,+32%)、Vir Biotechnology Inc.[VIR](8/8,+23%)、Vaxcyte Inc.[PCVX](8/8,+14%)、uniQure N.V.[QURE](8/8,+10%)、◎Ascendis Pharma A/S Ordinary Share[ASND](+6%)、◎Tarsus Pharmaceuticals Inc.[TARS](+3%)、◎Attovia Therapeutics Inc.[ATTO](+3%)、◎Freenome Inc. Common stock[FRNM](+0%)、◎Legend Biotech Corporation[LEGN](+5%)",趋势+动量
8,物流,16,3,5.26,1.52,3.39,21.29,"Expeditors International of Washington Inc.[EXPD](7/8,+11%)、FedEx Corporation[FDX](7/8,+6%)、Lyft Inc.[LYFT](6/8,+3%)、◎Hertz Global Holdings Inc[HTZ](+6%)、◎Avis Budget Group Inc.[CAR](+7%)、◎XPO Inc.[XPO](+3%)、◎Werner Enterprises Inc.[WERN](+2%)、◎J.B. Hunt Transport Services Inc.[JBHT](+2%)",动量
9,零售,72,13,5.39,1.36,3.38,19.02,"Abercrombie & Fitch Company[ANF](8/8,+32%)、Urban Outfitters Inc.[URBN](8/8,+4%)、MarineMax Inc.  (FL)[HZO](7/8,+49%)、Grocery Outlet Holding Corp.[GO](7/8,+23%)、Five Below Inc.[FIVE](7/8,+14%)、◎Ollie's Bargain Outlet Holdings Inc.[OLLI](+4%)、◎Chewy Inc.[CHWY](+2%)、◎Dollar General Corporation[DG](+3%)、◎GameStop Corporation[GME](+3%)、◎Walmart Inc.[WMT](+2%)",趋势+动量
10,化学制药,186,34,5.21,1.15,3.18,16.18,"Immix Biopharma Inc.[IMMX](8/8,+67%)、Zymeworks Inc.[ZYME](8/8,+35%)、Johnson & Johnson[JNJ](8/8,+5%)、Organon & Co.[OGN](8/8,+2%)、Omeros Corporation[OMER](7/8,+50%)、◎Phathom Pharmaceuticals Inc.[PHAT](+4%)、◎Zymeworks Inc.[ZYME](+4%)、◎Perrigo Company plc[PRGO](+1%)、◎Pfizer Inc.[PFE](+2%)、◎Jazz Pharmaceuticals plc Common Stock (Ireland)[JAZZ](+3%)",趋势
11,汽车,46,9,5.0,1.32,3.16,18.52,"Versigent PLC[VGNT](7/8,+13%)、Carvana Co.[CVNA](7/8,+11%)、Honda Motor Company Ltd.[HMC](7/8,+8%)、Ferrari N.V.[RACE](7/8,+5%)、CarMax Inc[KMX](7/8,+5%)、◎Tesla Inc.[TSLA](+6%)、◎Stellantis N.V.[STLA](+1%)、◎Group 1 Automotive Inc.[GPI](+2%)、◎Toyota Motor Corporation[TM](+1%)、◎Ferrari N.V.[RACE](+0%)",动量
12,基本金属,68,13,5.15,-0.43,2.36,-6.07,"Teck Resources Ltd[TECK](8/8,+13%)、Southern Copper Corporation[SCCO](8/8,+13%)、Trekor Metals Limited[TGB](7/8,+30%)、Freeport-McMoRan Inc.[FCX](7/8,+19%)、BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares)[BHP](7/8,+13%)、◎Sigma Lithium Corporation[SGML](+3%)、◎Compass Minerals Intl Inc[CMP](+1%)、◎Century Aluminum Company[CENX](-2%)、◎Lithium Argentina AG[LAR](-1%)、◎Alcoa Corporation[AA](-1%)",趋势
13,贵金属,128,28,4.48,-1.05,1.72,-14.76,"Aya Gold & Silver Inc.[AYA](8/8,+37%)、B2Gold Corp Common shares (Canada)[BTG](7/8,+42%)、SSR Mining Inc.[SSRM](7/8,+40%)、Gold Fields Limited[GFI](7/8,+36%)、Newmont Corporation[NEM](7/8,+32%)、◎Vizsla Silver Corp.[VZLA](+1%)、◎SSR Mining Inc.[SSRM](+1%)、◎Gold Fields Limited[GFI](+1%)、◎Aya Gold & Silver Inc.[AYA](-0%)、◎Royal Gold Inc.[RGLD](-1%)",趋势
