行业,状态,前日排名,今日排名,前日趋势分,今日趋势分,前日动量分,今日动量分,前日总分,今日总分,排名变化,趋势分变化,动量分变化,总分变化
石油天然气,池内,2.0,1.0,3.79,4.16,6.62,3.93,10.41,8.09,1.0,0.3700000000000001,-2.69,-2.3200000000000003
计算机软件,池内,6.0,2.0,3.35,3.37,3.64,4.36,6.99,7.73,4.0,0.020000000000000018,0.7200000000000002,0.7400000000000002
互联网服务,池内,3.0,3.0,3.79,4.08,4.83,2.89,8.62,6.97,0.0,0.29000000000000004,-1.94,-1.6499999999999995
医疗服务,新进池,,4.0,,3.81,,2.52,,6.33,,3.81,2.52,6.33
零售,池内,4.0,5.0,3.68,3.74,4.26,2.48,7.94,6.22,-1.0,0.06000000000000005,-1.7799999999999998,-1.7200000000000006
半导体,池内,1.0,6.0,3.46,3.02,8.52,3.08,11.98,6.1,-5.0,-0.43999999999999995,-5.4399999999999995,-5.880000000000001
港口航运,池内,11.0,7.0,4.06,3.77,1.3,1.94,5.36,5.71,4.0,-0.2899999999999996,0.6399999999999999,0.34999999999999964
非银行金融,池内,8.0,8.0,2.99,3.07,3.23,2.28,6.22,5.35,0.0,0.07999999999999963,-0.9500000000000002,-0.8700000000000001
银行,池内,14.0,9.0,3.01,2.94,0.54,1.7,3.55,4.64,5.0,-0.06999999999999984,1.16,1.0899999999999999
医疗器械,新进池,,10.0,,3.27,,1.22,,4.49,,3.27,1.22,4.49
通信设备,池内,7.0,11.0,3.6,3.79,3.09,0.6,6.69,4.39,-4.0,0.18999999999999995,-2.4899999999999998,-2.3000000000000007
房地产开发,池内,13.0,12.0,3.2,3.37,0.9,0.79,4.1,4.16,1.0,0.16999999999999993,-0.10999999999999999,0.0600000000000005
电力,池内,12.0,13.0,3.4,3.49,1.36,0.03,4.76,3.52,-1.0,0.0900000000000003,-1.33,-1.2399999999999998
化学制药,退出池,5.0,,3.38,,3.92,,7.3,,,-3.38,-3.92,-7.3
生物医药,退出池,9.0,,3.26,,2.72,,5.98,,,-3.26,-2.72,-5.98
基本金属,退出池,10.0,,2.79,,2.83,,5.62,,,-2.79,-2.83,-5.62
