industry,prefixed,m,chg1,date
专业服务,usRDVT.OQ,3.55,3.28,2026-09-01
专业服务,usRTO.N,2.76,2.14,2026-09-01
专业服务,usVRSK.OQ,0.9,0.29,2026-09-01
专业服务,usBCO.N,0.34,1.0,2026-09-01
专业服务,usCBZ.N,-0.22,-0.15,2026-09-01
专业服务,usFCN.N,-0.28,0.52,2026-09-01
专业服务,usLZ.OQ,-0.47,-1.44,2026-09-01
专业服务,usICFI.OQ,-0.85,-0.33,2026-09-01
专业服务,usUNF.N,-0.89,0.32,2026-09-01
专业服务,usAMTM.N,-0.9,0.0,2026-09-01
专业服务,usCART.OQ,-0.93,-0.93,2026-09-01
专业服务,usCRAI.OQ,-1.01,-1.16,2026-09-01
专业服务,usADT.N,-1.05,-0.27,2026-09-01
专业服务,usOPLN.N,-1.07,-1.54,2026-09-01
专业服务,usKFY.N,-1.09,-1.05,2026-09-01
专业服务,usGPGI.N,-1.11,-0.98,2026-09-01
专业服务,usCTAS.OQ,-1.17,-0.59,2026-09-01
专业服务,usEXPO.OQ,-1.26,-1.0,2026-09-01
专业服务,usCPRT.OQ,-1.44,-1.58,2026-09-01
专业服务,usHURN.OQ,-1.5,-1.52,2026-09-01
专业服务,usMGRC.OQ,-1.61,-1.42,2026-09-01
专业服务,usPCTY.OQ,-1.94,-2.62,2026-09-01
专业服务,usRELX.N,-2.02,-2.0,2026-09-01
专业服务,usHCSG.OQ,-2.19,-0.77,2026-09-01
专业服务,usMAN.N,-2.3,-2.8,2026-09-01
专业服务,usEFX.N,-2.34,-1.56,2026-09-01
专业服务,usSTN.N,-2.8,-1.64,2026-09-01
专业服务,usTIC.N,-2.86,-2.0,2026-09-01
专业服务,usRBA.N,-2.97,-2.16,2026-09-01
专业服务,usGRAB.OQ,-3.1,-2.26,2026-09-01
专业服务,usNSP.N,-3.18,-3.66,2026-09-01
专业服务,usPRSU.N,-3.22,-1.65,2026-09-01
专业服务,usBAM.N,-3.67,-3.57,2026-09-01
专业服务,usRHI.N,-3.77,-3.95,2026-09-01
专业服务,usFA.OQ,-3.99,-4.04,2026-09-01
专业服务,usTNET.N,-4.55,-4.77,2026-09-01
专业服务,usACVA.N,-4.87,-3.84,2026-09-01
专业服务,usKFRC.N,-5.04,-4.67,2026-09-01
专业服务,usEFOR.N,-5.73,-6.6,2026-09-01
专业服务,usSEZL.OQ,-6.61,-5.0,2026-09-01
专业服务,usVSEC.OQ,-7.0,-5.0,2026-09-01
专用设备,usCNH.N,6.81,5.66,2026-09-01
专用设备,usAGCO.N,6.12,3.39,2026-09-01
专用设备,usDE.N,5.51,3.23,2026-09-01
专用设备,usLNN.N,0.31,-0.08,2026-09-01
专用设备,usALG.N,-0.36,-0.29,2026-09-01
专用设备,usTTC.N,-0.55,0.15,2026-09-01
专用设备,usPLOW.N,-1.95,-0.9,2026-09-01
专用设备,usPCAR.OQ,-2.01,-1.35,2026-09-01
专用设备,usCMI.N,-2.69,-2.35,2026-09-01
专用设备,usWAB.N,-3.52,-2.14,2026-09-01
专用设备,usFSS.N,-3.72,-2.9,2026-09-01
专用设备,usTRN.N,-4.21,-3.33,2026-09-01
专用设备,usOSK.N,-4.46,-4.17,2026-09-01
专用设备,usASTE.OQ,-4.48,-3.22,2026-09-01
