排名,industry,得分,股票数,趋势分,动量分,动量入池分,代表股,入池,趋势贡献,动量贡献,总分,池内,出池原因
11,生物医药,96,19,4.74,3.24,45.47,"Janux Therapeutics Inc.[JANX](8/8,+22%)、Verastem Inc.[VSTM](8/8,+19%)、Ascendis Pharma A/S Ordinary Share[ASND](8/8,+6%)、Novavax Inc.[NVAX](7/8,+29%)、Tarsus Pharmaceuticals Inc.[TARS](7/8,+29%)、◆Roivant Sciences Ltd.[ROIV](+19%)、◎Climb Bio Inc.[CLYM](+2%)、◆Glaukos Corporation[GKOS](+4%)、◆MannKind Corporation[MNKD](+2%)、◆Cytokinetics Incorporated[CYTK](+4%)、◆Scholar Rock Holding Corporation[SRRK](+4%)、◆Spyre Therapeutics Inc.[SYRE](+2%)",趋势,5.14,2.97,8.11,1,
,通用设备,34,5,6.65,2.28,31.98,"Enerflex Ltd[EFXT](8/8,+10%)、Tennant Company[TNC](8/8,+6%)、Mirion Technologies Inc.[MIR](7/8,+12%)、Albany International Corporation[AIN](7/8,+3%)、Kennametal Inc.[KMT](7/8,-3%)、◆X-Energy Inc.[XE](+8%)、◎ACM Research Inc.[ACMR](+3%)、◆Tennant Company[TNC](+2%)、◎Graham Corporation[GHM](+1%)、◎Enerflex Ltd[EFXT](+1%)、◆Caterpillar Inc.[CAT](+1%)、◆Xylem Inc. Common Stock New[XYL](+3%)",—,7.21,2.09,9.3,0,腿池外
,建筑施工,38,8,4.7,3.91,54.67,"Fluor Corporation[FLR](7/8,+8%)、Arcosa Inc.[ACA](7/8,+1%)、IES Holdings Inc.[IESC](7/8,-9%)、Valmont Industries Inc.[VMI](6/8,-2%)、Sterling Infrastructure Inc.[STRL](6/8,-5%)、◆Legence Corp. Class A Common stock[LGN](+8%)、◎IES Holdings Inc.[IESC](+6%)、◎Cardinal Infrastructure Group Inc.[CDNL](+5%)、◎Sterling Infrastructure Inc.[STRL](+3%)、◆Argan Inc.[AGX](+4%)、◎Ameresco Inc.[AMRC](+3%)、◆MasTec Inc.[MTZ](+4%)",—,5.1,3.58,8.68,0,腿池外
,电子元件,32,6,5.3,2.83,39.52,"Amphenol Corporation[APH](8/8,-2%)、Corning Incorporated[GLW](7/8,+5%)、Impinj Inc.[PI](7/8,-2%)、Vishay Intertechnology Inc.[VSH](6/8,-5%)、Belden Inc[BDC](6/8,-10%)、◎Corning Incorporated[GLW](+8%)、◎Coherent Corp.[COHR](+7%)、◎Ouster Inc.[OUST](+3%)、◆Enovix Corporation[ENVX](+5%)、◆Keysight Technologies Inc.[KEYS](+2%)、◎Rogers Corporation[ROG](+1%)、◎Belden Inc[BDC](-0%)",—,5.75,2.59,8.34,0,腿池外
,计算机硬件,36,8,4.46,3.33,46.71,"Quantum Corporation[QMCO](7/8,+108%)、Dell Technologies Inc.[DELL](7/8,+17%)、Sandisk Corporation[SNDK](6/8,+40%)、Super Micro Computer Inc.[SMCI](6/8,+28%)、Seagate Technology Holdings PLC Ordinary Shares (Ireland)[STX](6/8,+13%)、◎Seagate Technology Holdings PLC Ordinary Shares (Ireland)[STX](+6%)、◆Hewlett Packard Enterprise Company[HPE](+8%)、◎Sandisk Corporation[SNDK](-0%)、◎Western Digital Corporation[WDC](+2%)、◎Super Micro Computer Inc.[SMCI](+2%)、◆IonQ Inc.[IONQ](+2%)、◎Dell Technologies Inc.[DELL](+2%)",—,4.84,3.05,7.89,0,腿池外
,互联网服务,24,5,4.66,2.95,41.29,"Meta Platforms Inc.[META](8/8,+3%)、Nebius Group N.V.[NBIS](6/8,+32%)、DocuSign Inc.[DOCU](6/8,+9%)、The Trade Desk Inc.[TTD](6/8,+5%)、DigitalOcean Holdings Inc.[DOCN](6/8,-2%)、◎DigitalOcean Holdings Inc.[DOCN](+13%)、◎Nebius Group N.V.[NBIS](+8%)、◎VNET Group Inc.[VNET](+6%)、◆WeRide Inc.[WRD](+2%)、◆Cloudflare Inc.[NET](+2%)、◆Sea Limited American Depositary Shares each representing one Class A Ordinary Share[SE](+1%)、◆Equinix Inc. Common Stock REIT[EQIX](+0%)",—,5.05,2.7,7.75,0,腿池外
,休闲服务,26,5,5.03,2.12,29.7,"Target Hospitality Corp.[TH](7/8,+26%)、Chagee Holdings Limited[CHA](7/8,+23%)、Rush Street Interactive Inc.[RSI](7/8,+9%)、Flutter Entertainment plc[FLUT](6/8,+7%)、Madison Square Garden Sports Corp. Class A Common Stock (New)[MSGS](6/8,-0%)、◆Chagee Holdings Limited[CHA](+8%)、◎Target Hospitality Corp.[TH](+4%)、◆First Watch Restaurant Group Inc.[FWRG](+2%)、◎Sweetgreen Inc.[SG](+2%)、◎Six Flags Entertainment Corporation Common Stock New[FUN](+1%)、◆BJ's Restaurants Inc.[BJRI](+2%)、◆Rush Street Interactive Inc.[RSI](+1%)",—,5.45,1.94,7.39,0,腿池外
,医疗器械,54,10,5.19,1.86,26.12,"AtriCure Inc.[ATRC](8/8,+29%)、Avantor Inc.[AVTR](8/8,+11%)、Neogen Corporation[NEOG](7/8,+4%)、Integer Holdings Corporation[ITGR](7/8,+1%)、STAAR Surgical Company[STAA](7/8,-4%)、◆10x Genomics Inc.[TXG](+5%)、◆Enovis Corporation[ENOV](+8%)、◎Warby Parker Inc.[WRBY](+2%)、◆AtriCure Inc.[ATRC](+4%)、◆STAAR Surgical Company[STAA](+3%)、◎Establishment Labs Holdings Inc.[ESTA](+1%)、◆Avantor Inc.[AVTR](+2%)",趋势,5.63,1.7,7.33,0,动量<2
,化肥农药,14,2,6.98,-0.3,-2.08,"Nutrien Ltd.[NTR](8/8,+22%)、Mosaic Company (The)[MOS](7/8,+13%)、◎Mosaic Company (The)[MOS](+3%)、◎Nutrien Ltd.[NTR](+2%)、◎CF Industries Holdings Inc.[CF](+1%)、◎Sociedad Quimica y Minera S.A.[SQM](+1%)、◎Scotts Miracle-Gro Company (The)[SMG](-3%)",—,7.57,-0.27,7.3,0,腿池外
,其他家电,4,1,4.0,3.16,4.42,"Newell Brands Inc.[NWL](6/8,+9%)、◎Newell Brands Inc.[NWL](+4%)",—,4.34,2.89,7.23,0,腿池外
