行业,状态,前日排名,今日排名,前日趋势分,今日趋势分,前日动量分,今日动量分,前日总分,今日总分,排名变化,趋势分变化,动量分变化,总分变化
计算机软件,池内,11.0,1.0,4.28,5.65,2.82,4.21,3.55,4.93,10.0,1.37,1.3900000000000001,1.38
石油天然气,池内,2.0,2.0,6.12,5.77,5.13,3.39,5.62,4.58,0.0,-0.35000000000000053,-1.7399999999999998,-1.04
互联网服务,池内,4.0,3.0,4.78,5.63,3.74,2.69,4.26,4.16,1.0,0.8499999999999996,-1.0500000000000003,-0.09999999999999964
通用设备,新进池,,4.0,,6.36,,1.31,,3.83,,6.36,1.31,3.83
医疗器械,池内,13.0,5.0,5.5,5.67,1.09,1.94,3.29,3.8,8.0,0.16999999999999993,0.8499999999999999,0.5099999999999998
非银行金融,池内,9.0,6.0,5.02,4.99,2.5,2.54,3.76,3.77,3.0,-0.02999999999999936,0.040000000000000036,0.010000000000000231
生物医药,池内,10.0,7.0,4.99,5.23,2.11,1.87,3.55,3.55,3.0,0.2400000000000002,-0.23999999999999977,0.0
物流,新进池,,8.0,,5.26,,1.52,,3.39,,5.26,1.52,3.39
零售,池内,3.0,9.0,5.29,5.39,3.3,1.36,4.29,3.38,-6.0,0.09999999999999964,-1.9399999999999997,-0.9100000000000001
化学制药,池内,5.0,10.0,5.42,5.21,3.04,1.15,4.23,3.18,-5.0,-0.20999999999999996,-1.8900000000000001,-1.0500000000000003
汽车,新进池,,11.0,,5.0,,1.32,,3.16,,5.0,1.32,3.16
基本金属,池内,8.0,12.0,5.74,5.15,2.19,-0.43,3.96,2.36,-4.0,-0.5899999999999999,-2.62,-1.6
贵金属,池内,12.0,13.0,5.79,4.48,1.24,-1.05,3.52,1.72,-1.0,-1.3099999999999996,-2.29,-1.8
半导体,退出池,1.0,,5.82,,6.6,,6.21,,,-5.82,-6.6,-6.21
通信设备,退出池,6.0,,5.92,,2.39,,4.16,,,-5.92,-2.39,-4.16
港口航运,退出池,7.0,,7.27,,1.01,,4.14,,,-7.27,-1.01,-4.14
银行,退出池,14.0,,6.1,,0.42,,3.26,,,-6.1,-0.42,-3.26
