industry,prefixed,m,chg1,date
专业服务,usGPGI.N,8.28,8.86,2026-09-02
专业服务,usLZ.OQ,5.69,6.19,2026-09-02
专业服务,usSEZL.OQ,2.86,6.1,2026-09-02
专业服务,usCART.OQ,2.47,2.96,2026-09-02
专业服务,usADT.N,1.09,1.63,2026-09-02
专业服务,usRTO.N,0.59,-0.7,2026-09-02
专业服务,usGRAB.OQ,0.48,2.02,2026-09-02
专业服务,usPRSU.N,0.31,1.86,2026-09-02
专业服务,usCBZ.N,0.01,0.09,2026-09-02
专业服务,usSTN.N,-0.11,1.2,2026-09-02
专业服务,usTIC.N,-0.51,0.65,2026-09-02
专业服务,usAMTM.N,-0.76,-0.45,2026-09-02
专业服务,usICFI.OQ,-0.96,-0.55,2026-09-02
专业服务,usHCSG.OQ,-1.01,-0.23,2026-09-02
专业服务,usUNF.N,-1.02,-0.8,2026-09-02
专业服务,usEXPO.OQ,-1.03,-0.39,2026-09-02
专业服务,usFCN.N,-1.06,-0.91,2026-09-02
专业服务,usEFOR.N,-1.1,1.98,2026-09-02
专业服务,usRBA.N,-1.24,0.18,2026-09-02
专业服务,usHURN.OQ,-1.27,-0.52,2026-09-02
专业服务,usCRAI.OQ,-1.5,-0.87,2026-09-02
专业服务,usEFX.N,-1.63,-0.39,2026-09-02
专业服务,usOPLN.N,-1.68,-1.2,2026-09-02
专业服务,usCPRT.OQ,-1.74,-0.95,2026-09-02
专业服务,usCTAS.OQ,-1.77,-1.25,2026-09-02
专业服务,usTNET.N,-1.78,0.61,2026-09-02
专业服务,usBAM.N,-1.81,0.02,2026-09-02
专业服务,usMGRC.OQ,-1.9,-1.23,2026-09-02
专业服务,usPCTY.OQ,-1.93,-0.91,2026-09-02
专业服务,usKFY.N,-1.94,-1.25,2026-09-02
专业服务,usACVA.N,-2.12,0.15,2026-09-02
专业服务,usBCO.N,-2.19,-2.32,2026-09-02
专业服务,usNSP.N,-2.44,-0.55,2026-09-02
专业服务,usFA.OQ,-2.53,-0.5,2026-09-02
专业服务,usRELX.N,-2.59,-1.54,2026-09-02
专业服务,usMAN.N,-2.71,-1.5,2026-09-02
专业服务,usVRSK.OQ,-2.84,-3.18,2026-09-02
专业服务,usRHI.N,-3.42,-1.49,2026-09-02
专业服务,usRDVT.OQ,-3.9,-5.41,2026-09-02
专业服务,usVSEC.OQ,-3.95,-0.85,2026-09-02
专业服务,usKFRC.N,-4.02,-1.55,2026-09-02
专用设备,usCNH.N,12.59,9.2,2026-09-02
专用设备,usAGCO.N,6.26,3.57,2026-09-02
专用设备,usDE.N,5.8,3.3,2026-09-02
专用设备,usLNN.N,4.76,4.61,2026-09-02
专用设备,usALG.N,4.15,4.39,2026-09-02
专用设备,usPLOW.N,1.46,2.29,2026-09-02
专用设备,usOSK.N,1.39,3.53,2026-09-02
专用设备,usTTC.N,1.04,1.21,2026-09-02
专用设备,usASTE.OQ,0.73,2.77,2026-09-02
专用设备,usTEX.N,0.72,4.25,2026-09-02
专用设备,usFSS.N,-0.33,1.33,2026-09-02
专用设备,usPCAR.OQ,-1.13,-0.26,2026-09-02
专用设备,usCMI.N,-1.23,-0.05,2026-09-02
专用设备,usTRN.N,-1.47,0.5,2026-09-02
专用设备,usWAB.N,-1.49,0.0,2026-09-02
专用设备,usGBX.N,-2.03,1.79,2026-09-02
互联网服务,usTTD.OQ,6.05,5.59,2026-09-02
互联网服务,usFOUR.N,5.34,7.67,2026-09-02
互联网服务,usCNXC.OQ,4.44,0.28,2026-09-02
互联网服务,usSRAD.OQ,3.63,4.96,2026-09-02
互联网服务,usMQ.OQ,3.17,4.02,2026-09-02
互联网服务,usMETA.OQ,2.82,2.47,2026-09-02
互联网服务,usGDDY.N,2.73,1.31,2026-09-02
互联网服务,usSPOT.N,2.7,2.8,2026-09-02
互联网服务,usMELI.OQ,2.6,2.19,2026-09-02
互联网服务,usCMPR.OQ,2.46,3.12,2026-09-02
互联网服务,usRELY.OQ,2.45,4.32,2026-09-02
互联网服务,usMTCH.OQ,2.37,1.26,2026-09-02
互联网服务,usNUTX.OQ,2.05,2.49,2026-09-02
互联网服务,usAPP.OQ,1.93,2.34,2026-09-02
互联网服务,usEBAY.OQ,1.93,1.64,2026-09-02
互联网服务,usEVER.OQ,1.3,2.7,2026-09-02
互联网服务,usPPLI.OQ,0.87,0.99,2026-09-02
互联网服务,usZ.OQ,0.76,3.38,2026-09-02
互联网服务,usZG.OQ,0.64,3.14,2026-09-02
互联网服务,usDOCU.OQ,0.62,1.16,2026-09-02
互联网服务,usTRIP.OQ,0.55,1.59,2026-09-02
互联网服务,usQNST.OQ,0.39,1.43,2026-09-02
互联网服务,usJOYY.OQ,0.33,0.7,2026-09-02
互联网服务,usNBIS.OQ,0.33,2.28,2026-09-02
互联网服务,usVRSN.OQ,0.32,0.55,2026-09-02
互联网服务,usGENI.N,0.18,3.34,2026-09-02
互联网服务,usWRD.OQ,0.1,1.94,2026-09-02
互联网服务,usALRM.OQ,-0.0,1.69,2026-09-02
互联网服务,usTOST.N,-0.01,1.34,2026-09-02
互联网服务,usDV.N,-0.19,-0.07,2026-09-02
互联网服务,usGOOG.OQ,-0.41,0.53,2026-09-02
互联网服务,usYELP.N,-0.41,0.31,2026-09-02
互联网服务,usGOOGL.OQ,-0.43,0.63,2026-09-02
互联网服务,usQTWO.N,-0.74,0.16,2026-09-02
互联网服务,usGDYN.OQ,-0.79,0.0,2026-09-02
互联网服务,usDBX.OQ,-0.91,0.7,2026-09-02
互联网服务,usBIDU.OQ,-1.14,-0.55,2026-09-02
互联网服务,usATHM.N,-1.19,-0.77,2026-09-02
互联网服务,usSE.N,-1.2,0.14,2026-09-02
互联网服务,usNTNX.OQ,-1.3,0.24,2026-09-02
互联网服务,usBZ.OQ,-1.38,-1.42,2026-09-02
互联网服务,usBL.OQ,-1.47,-0.09,2026-09-02
互联网服务,usSPSC.OQ,-1.47,-0.13,2026-09-02
互联网服务,usBRZE.OQ,-1.65,0.49,2026-09-02
互联网服务,usEQIX.OQ,-1.68,-0.81,2026-09-02
互联网服务,usWIX.OQ,-1.7,-1.91,2026-09-02
互联网服务,usFIVN.OQ,-1.76,-1.29,2026-09-02
互联网服务,usSHOP.OQ,-1.83,1.47,2026-09-02
互联网服务,usSTUB.N,-1.91,0.32,2026-09-02
互联网服务,usGTM.OQ,-1.95,-0.73,2026-09-02
互联网服务,usBOX.N,-2.03,-1.62,2026-09-02
互联网服务,usAKAM.OQ,-2.06,-1.29,2026-09-02
互联网服务,usCARG.OQ,-2.12,-0.4,2026-09-02
互联网服务,usAPPF.OQ,-2.37,-0.45,2026-09-02
