行业,状态,前日排名,今日排名,前日趋势分,今日趋势分,前日动量分,今日动量分,前日总分,今日总分,排名变化,趋势分变化,动量分变化,总分变化
半导体,池内,1.0,1.0,4.88,1.98,6.6,3.94,5.99,5.92,0.0,-2.9,-2.6599999999999997,-0.07000000000000028
非银行金融,池内,8.0,2.0,4.22,1.85,2.5,3.39,3.11,5.24,6.0,-2.3699999999999997,0.8900000000000001,2.1300000000000003
其他电气设备,新进池,,3.0,,2.19,,2.79,,4.98,,2.19,2.79,4.98
计算机软件,池内,6.0,4.0,4.73,2.19,2.82,2.41,3.5,4.6,2.0,-2.5400000000000005,-0.4099999999999997,1.0999999999999996
生物医药,池内,9.0,5.0,4.53,2.13,2.11,2.4,2.97,4.53,4.0,-2.4000000000000004,0.29000000000000004,1.56
汽车,新进池,,6.0,,2.19,,2.06,,4.25,,2.19,2.06,4.25
计算机硬件,新进池,,7.0,,2.15,,2.1,,4.25,,2.15,2.1,4.25
化学制药,池内,5.0,8.0,4.76,2.14,3.04,2.08,3.65,4.22,-3.0,-2.6199999999999997,-0.96,0.5699999999999998
物流,新进池,,9.0,,2.33,,1.75,,4.08,,2.33,1.75,4.08
互联网服务,池内,3.0,10.0,5.34,2.34,3.74,1.71,4.31,4.05,-7.0,-3.0,-2.0300000000000002,-0.2599999999999998
电力,池内,12.0,11.0,4.79,2.04,1.05,1.62,2.38,3.66,1.0,-2.75,0.5700000000000001,1.2800000000000002
医疗器械,新进池,,12.0,,2.5,,1.1,,3.6,,2.5,1.1,3.6
银行,池内,14.0,13.0,4.24,2.15,0.42,1.41,1.78,3.56,1.0,-2.0900000000000003,0.99,1.78
石油天然气,池内,2.0,14.0,5.32,2.05,5.13,1.44,5.2,3.49,-12.0,-3.2700000000000005,-3.69,-1.71
零售,退出池,4.0,,5.19,,3.3,,3.97,,,-5.19,-3.3,-3.97
通信设备,退出池,7.0,,5.07,,2.39,,3.34,,,-5.07,-2.39,-3.34
基本金属,退出池,10.0,,3.94,,2.19,,2.81,,,-3.94,-2.19,-2.81
港口航运,退出池,11.0,,5.73,,1.01,,2.69,,,-5.73,-1.01,-2.69
房地产开发,退出池,13.0,,4.51,,0.7,,2.05,,,-4.51,-0.7,-2.05
