ticker,prefixed,name,sector,industry,date,close,chg20,m,chg1,uptrend,market_cap
AAPL,usAAPL.OQ,Apple Inc. Common Stock,科技,计算机硬件,2026-08-31,316.85,4.5,-0.01,-0.89,6/8,4574545721000.0
ADSK,usADSK.OQ,Autodesk Inc. Common Stock,科技,计算机软件,2026-08-31,258.53,10.1,-1.45,-0.82,6/8,53756470000.0
AGYS,usAGYS.OQ,Agilysys Inc. Common Stock (DE),科技,电子器件,2026-08-31,116.41,6.1,-1.33,-1.25,6/8,3232665363.0
ADP,usADP.OQ,Automatic Data Processing Inc. Common Stock,科技,计算机软件,2026-08-31,286.16,6.1,0.27,-0.46,6/8,111785761564.0
ADBE,usADBE.OQ,Adobe Inc. Common Stock,科技,计算机软件,2026-08-31,292.79,16.5,2.01,0.44,8/8,108704325000.0
ACIW,usACIW.OQ,ACI Worldwide Inc. Common Stock,科技,计算机软件,2026-08-31,53.28,-7.1,-0.95,-1.02,6/8,5354665983.0
AGIO,usAGIO.OQ,Agios Pharmaceuticals Inc. Common Stock,医疗保健,生物医药,2026-08-31,33.68,10.3,-0.17,1.08,5/8,2029266969.0
ALKT,usALKT.OQ,Alkami Technology Inc. Common Stock,科技,计算机软件,2026-08-31,20.4,8.5,0.57,0.89,5/8,2176269293.0
ALNY,usALNY.OQ,Alnylam Pharmaceuticals Inc. Common Stock,医疗保健,生物医药,2026-08-31,240.69,9.2,1.42,1.51,6/8,31980379202.0
ALRM,usALRM.OQ,Alarm.com Holdings Inc. Common Stock,科技,互联网服务,2026-08-31,57.56,3.6,0.36,0.16,7/8,2783906830.0
AMPL,usAMPL.OQ,Amplitude Inc. Class A Common Stock,科技,计算机软件,2026-08-31,14.1,48.1,0.68,-1.4,7/8,1618912215.0
APPN,usAPPN.OQ,Appian Corporation Class A Common Stock,科技,互联网服务,2026-08-31,42.95,55.0,3.98,1.04,7/8,2754081105.0
APPF,usAPPF.OQ,AppFolio Inc. Class A Common Stock,科技,互联网服务,2026-08-31,234.21,22.2,1.21,-0.12,8/8,7904364275.0
APP,usAPP.OQ,Applovin Corporation Class A Common Stock,科技,互联网服务,2026-08-31,312.06,-23.2,-0.7,-1.79,6/8,103109319610.0
APGE,usAPGE.OQ,Apogee Therapeutics Inc. Common Stock,医疗保健,生物医药,2026-08-31,135.08,0.7,0.09,0.08,6/8,10214059838.0
ASST,usASST.OQ,Strive Inc. Class A Common Stock,科技,非银行金融,2026-08-31,24.22,105.3,9.66,11.41,8/8,1928193595.0
ARCC,usARCC.OQ,Ares Capital Corporation Common Stock,金融,非银行金融,2026-08-31,20.07,4.7,0.76,0.6,5/8,14288654616.0
AYA,usAYA.OQ,Aya Gold & Silver Inc. Common Shares,基础材料,贵金属,2026-08-31,27.92,37.3,-1.38,-0.18,6/8,3999884385.0
AXGN,usAXGN.OQ,Axogen Inc. Common Stock,医疗保健,医疗器械,2026-08-31,50.76,11.0,-1.57,-1.38,6/8,2773018841.0
AVT,usAVT.OQ,Avnet Inc. Common Stock,科技,电子器件,2026-08-31,89.2,0.8,-0.28,1.04,5/8,7410369274.0
BIDU,usBIDU.OQ,Baidu Inc. ADS,科技,互联网服务,2026-08-31,95.28,-15.7,-1.03,-1.89,6/8,31731962978.0
AVPT,usAVPT.OQ,AvePoint Inc. Class A Common Stock,科技,计算机软件,2026-08-31,13.92,4.2,-0.01,-0.57,5/8,2794779277.0
BGC,usBGC.OQ,BGC Group Inc. Class A Common Stock,金融,非银行金融,2026-08-31,12.01,5.6,-0.49,-0.91,6/8,5658051612.0
BKR,usBKR.OQ,Baker Hughes Company Class A Common Stock,非必需消费,石油天然气,2026-08-31,63.55,4.9,2.11,1.83,6/8,61545792402.0
AVGO,usAVGO.OQ,Broadcom Inc. Common Stock,科技,半导体,2026-08-31,370.34,-5.6,0.94,0.42,6/8,1691747942607.0
BL,usBL.OQ,BlackLine Inc. Common Stock,科技,互联网服务,2026-08-31,33.22,1.3,1.13,0.73,7/8,1820483456.0
BBNX,usBBNX.OQ,Beta Bionics Inc. Common Stock,医疗保健,医疗器械,2026-08-31,19.95,49.4,1.84,1.17,6/8,870100566.0
BLKB,usBLKB.OQ,Blackbaud Inc. Common Stock,科技,计算机软件,2026-08-31,48.06,8.3,-0.48,-1.15,6/8,2137419668.0
BLFS,usBLFS.OQ,BioLife Solutions Inc. Common Stock,医疗保健,医疗器械,2026-08-31,37.07,15.3,0.88,1.9,5/8,1809548048.0
BRZE,usBRZE.OQ,Braze Inc. Class A Common Stock,科技,互联网服务,2026-08-31,34.04,32.5,1.34,-1.42,7/8,3776683607.0
BULL,usBULL.OQ,Webull Corporation Class A Ordinary Shares,金融,非银行金融,2026-08-31,9.48,30.6,1.9,1.17,6/8,4651331529.0
CACC,usCACC.OQ,Credit Acceptance Corporation Common Stock,金融,非银行金融,2026-08-31,599.74,4.7,0.58,0.82,6/8,6162327511.0
CAPR,usCAPR.OQ,Capricor Therapeutics Inc. Common Stock,医疗保健,生物医药,2026-08-31,9.91,136.0,2.4,3.34,6/8,544180937.0
BZ,usBZ.OQ,KANZHUN LIMITED American Depository Shares,科技,互联网服务,2026-08-31,17.36,5.5,-3.87,-2.47,5/8,8719259445.0
CCC,usCCC.OQ,CCC Intelligent Solutions Holdings Inc. Common Stock,科技,计算机软件,2026-08-31,7.46,18.4,-0.31,-0.4,6/8,4299661339.0
CAR,usCAR.OQ,Avis Budget Group Inc. Common Stock,非必需消费,物流,2026-08-31,147.49,6.2,5.6,6.78,6/8,5086908576.0
CDNA,usCDNA.OQ,CareDx Inc. Common Stock,医疗保健,生物医药,2026-08-31,50.11,4.7,-1.3,0.64,7/8,2636376004.0
CDNS,usCDNS.OQ,Cadence Design Systems Inc. Common Stock,科技,计算机软件,2026-08-31,338.78,0.8,-0.75,-0.47,5/8,92168529240.0
CDW,usCDW.OQ,CDW Corporation Common Stock,非必需消费,电子器件,2026-08-31,151.58,3.1,3.27,2.63,8/8,17684965082.0
CENX,usCENX.OQ,Century Aluminum Company Common Stock,工业,基本金属,2026-08-31,45.77,1.3,-0.13,-1.76,5/8,4350755315.0
CHEF,usCHEF.OQ,The Chefs' Warehouse Inc. Common Stock,非必需消费,贸易,2026-08-31,112.47,1.1,-0.69,-2.2,6/8,4569569257.0
CHKP,usCHKP.OQ,Check Point Software Technologies Ltd. Ordinary Shares,科技,计算机软件,2026-08-31,138.91,13.0,3.02,0.43,6/8,13176086818.0
CHYM,usCHYM.OQ,Chime Financial Inc. Class A Common Stock,金融,非银行金融,2026-08-31,33.11,36.5,-0.38,-0.27,6/8,12550096430.0
CMPR,usCMPR.OQ,Cimpress plc Ordinary Shares (Ireland),非必需消费,互联网服务,2026-08-31,89.11,-10.2,0.37,-0.19,5/8,2124491781.0
CINF,usCINF.OQ,Cincinnati Financial Corporation Common Stock,金融,非银行金融,2026-08-31,169.9,-4.6,-1.35,-1.2,6/8,26456545397.0
CHRD,usCHRD.OQ,Chord Energy Corporation Common Stock,能源,石油天然气,2026-08-31,147.11,6.5,1.61,0.76,6/8,7665359782.0
CHRW,usCHRW.OQ,C.H. Robinson Worldwide Inc. Common Stock,工业,物流,2026-08-31,149.02,1.8,-0.81,-0.48,6/8,17729841376.0
CLBT,usCLBT.OQ,Cellebrite DI Ltd. Ordinary Shares,科技,互联网服务,2026-08-31,12.0,-20.4,-0.01,0.08,5/8,2898490674.0
